state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Clay Center,3 replications,CI1442,1,2873,78.7,104
Nebraska,Clay Center,3 replications,CI13996,2,3629,80,102
Nebraska,Clay Center,3 replications,PI495594,3,4360,80,81
Nebraska,Clay Center,3 replications,OK88767-11,4,3902,81.3,71
Nebraska,Clay Center,3 replications,OK88767-02,5,3391,81.3,69
Nebraska,Clay Center,3 replications,OK90604,6,3764,81.3,76
Nebraska,Clay Center,3 replications,OK90649,7,3602,81.3,81
Nebraska,Clay Center,3 replications,OK91783,8,4161,81.3,84
Nebraska,Clay Center,3 replications,HBZ374C,9,3939,81.3,86
Nebraska,Clay Center,3 replications,TX90D9277,10,3952,81.3,76
Nebraska,Clay Center,3 replications,TX89A7137,11,4465,81.3,76
Nebraska,Clay Center,3 replications,TX91V4931,12,3855,83.9,84
Nebraska,Clay Center,3 replications,TX90V8410,13,3683,83.9,81
Nebraska,Clay Center,3 replications,TX90V7911,14,3648,83.9,76
Nebraska,Clay Center,3 replications,TX91V3308,15,3654,80,76
Nebraska,Clay Center,3 replications,TX89A7141,16,4080,81.3,76
Nebraska,Clay Center,3 replications,TX90V6313,17,4387,81.3,76
Nebraska,Clay Center,3 replications,TX92V4135,18,4152,83.9,76
Nebraska,Clay Center,3 replications,HBE0726-1,19,3899,83.9,71
Nebraska,Clay Center,3 replications,CO880169,20,4093,81.3,86
Nebraska,Clay Center,3 replications,CO880210,21,4052,82.6,76
Nebraska,Clay Center,3 replications,CO910927,22,4148,78.7,79
Nebraska,Clay Center,3 replications,KS92PO59E,23,4482,77.4,76
Nebraska,Clay Center,3 replications,KS92PO263-137,24,4159,80,79
Nebraska,Clay Center,3 replications,KS92PO363-134,25,4315,81.3,76
Nebraska,Clay Center,3 replications,KS92PO425-155,26,4460,78.7,76
Nebraska,Clay Center,3 replications,KS84063-9-39-3,27,4428,77.4,84
Nebraska,Clay Center,3 replications,KS93U206,28,4372,80,86
Nebraska,Clay Center,3 replications,N87V106,29,3981,80,79
Nebraska,Clay Center,3 replications,NE90479,30,4256,83.9,84
Nebraska,Clay Center,3 replications,NE90524,31,4125,82.6,91
Nebraska,Clay Center,3 replications,NE91608,32,4190,82.6,89
Nebraska,Clay Center,3 replications,NE91635,33,4432,80,86
Nebraska,Clay Center,3 replications,NE91651,34,3683,81.3,79
Nebraska,Clay Center,3 replications,XH1520,35,4487,82.6,86
Nebraska,Clay Center,3 replications,XH1529,36,4034,82.6,71
Nebraska,Clay Center,3 replications,XH1689,37,4826,82.6,86
Nebraska,Clay Center,3 replications,XH1693,38,5129,81.3,89
Nebraska,Clay Center,3 replications,XH1706,39,5085,80,89
Nebraska,Clay Center,3 replications,WI89-273-13,40,4371,83.9,76
Nebraska,Clay Center,3 replications,WI89-189-14,41,4719,82.6,74
Nebraska,Clay Center,3 replications,T4731,42,4096,74.8,79
Nebraska,Clay Center,3 replications,T4732,43,4526,74.8,86
Nebraska,Clay Center,3 replications,T81,44,4712,80,79
Nebraska,Clay Center,3 replications,T83,45,4431,80,81
