state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
OKLAHOMA,LAHOMA,3,OK88767-24,7,3335,69.7,83,127
OKLAHOMA,LAHOMA,3,OK88767-11,4,3146,69.4,85,127
OKLAHOMA,LAHOMA,3,TX91V3308,16,3046,64.2,85,130
OKLAHOMA,LAHOMA,3,OK88767-15,6,3038,72,75,127
OKLAHOMA,LAHOMA,3,OK88767-02,5,3021,73.3,83,127
OKLAHOMA,LAHOMA,3,KS92PO363-134,26,2917,65.8,93,131
OKLAHOMA,LAHOMA,3,XH1529,37,2901,68,90,126
OKLAHOMA,LAHOMA,3,XH1455,34,2816,68.5,88,129
OKLAHOMA,LAHOMA,3,KS92PO263-137,25,2773,66.3,90,131
OKLAHOMA,LAHOMA,3,KS831374-142,22,2649,67.5,80,127
OKLAHOMA,LAHOMA,3,TX90D9277,10,2589,67.3,88,131
OKLAHOMA,LAHOMA,3,KS92PO59E,24,2581,62.7,90,130
OKLAHOMA,LAHOMA,3,XH1610,38,2579,66.3,88,129
OKLAHOMA,LAHOMA,3,N87V106,29,2538,64.5,85,130
OKLAHOMA,LAHOMA,3,KS84063-9-7,23,2443,62,93,131
OKLAHOMA,LAHOMA,3,WI89-055,40,2438,71.7,80,128
OKLAHOMA,LAHOMA,3,TX89A7141,17,2363,64.8,83,127
OKLAHOMA,LAHOMA,3,KS92PO425-155,27,2347,61.9,78,132
OKLAHOMA,LAHOMA,3,XH1485,35,2346,64.4,88,130
OKLAHOMA,LAHOMA,3,T4731,42,2346,59.9,83,131
OKLAHOMA,LAHOMA,3,TX89A7137,11,2314,62.8,83,128
OKLAHOMA,LAHOMA,3,TH905,45,2292,65.7,85,129
OKLAHOMA,LAHOMA,3,W87-017-44,39,2279,63.9,83,132
OKLAHOMA,LAHOMA,3,XH1520,36,2246,65.1,88,127
OKLAHOMA,LAHOMA,3,TX91V4931,12,2173,70.6,83,127
OKLAHOMA,LAHOMA,3,T70,43,2147,63.2,83,129
OKLAHOMA,LAHOMA,3,KS89H48-1,28,2076,65,88,132
OKLAHOMA,LAHOMA,3,NE90524,32,2069,66.4,95,132
OKLAHOMA,LAHOMA,3,TAM-107,3,2055,61.5,83,127
OKLAHOMA,LAHOMA,3,TX90V8410,13,2024,65.9,85,129
OKLAHOMA,LAHOMA,3,NE90479,31,1992,69.9,98,132
OKLAHOMA,LAHOMA,3,TX90V7911,14,1985,63.6,90,133
OKLAHOMA,LAHOMA,3,CO880054,18,1964,60.1,85,128
OKLAHOMA,LAHOMA,3,CO880210,20,1896,60.6,83,131
OKLAHOMA,LAHOMA,3,TX88A6533,9,1875,61.5,80,132
OKLAHOMA,LAHOMA,3,NE90574,33,1790,62.4,100,134
OKLAHOMA,LAHOMA,3,NE88584,30,1786,64.8,90,131
OKLAHOMA,LAHOMA,3,T64,44,1756,62.6,93,132
OKLAHOMA,LAHOMA,3,TX88A6480,8,1741,59,83,129
OKLAHOMA,LAHOMA,3,TX91V5739,15,1666,55.3,85,128
OKLAHOMA,LAHOMA,3,CO880169,19,1643,61.7,93,131
OKLAHOMA,LAHOMA,3,T13,41,1553,60.2,90,131
OKLAHOMA,LAHOMA,3,CO880240,21,1051,62.4,95,138
OKLAHOMA,LAHOMA,3,Scout66,2,935,65.5,100,136
OKLAHOMA,LAHOMA,3,Kharkof,1,315,61.9,105,141
