state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK93617,4,
,,,OK94P549,5,
,,,OK94P461,6,
,,,TX91D6825,7,
,,,TX91D6856,8,
,,,HBG0358,9,
,,,TX94V2327,10,
,,,TX94V3329,11,
,,,TX95V4926,12,
,,,TX95V4933,13,
,,,TX95V5332,14,
,,,TX94V2130,15,
,,,CO910424,16,
,,,CO920696,17,
,,,CO940700,18,
,,,KS94H147,19,
,,,KS941064-6,20,
,,,KS940935-125-5-2,21,
,,,KS85W663-11-6-MB,22,
,,,KS84W063-9-39-3-MB,23,
,,,N95L158,24,
,,,NE93405,25,
,,,NE93427,26,
,,,NE93496,27,
,,,NE94632,28,
,,,W94-042,29,
,,,W94-137,30,
,,,W94-320,31,
,,,W94-245,32,
,,,W94-435,33,
,,,WX94-3504,34,
,,,WX94-1604,35,
,,,XH1877,36,
,,,XH1881,37,
,,,WX95-2401,38,
,,,T89,39,
,,,T86,40,
,,,T93,41,
,,,T94,42,
,,,G1594,43,
,,,G1720,44,
,,,G12017,45,
