state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
NEBRASKA,HEMINGFORD,3,TX89V4138,14,3842,82.2,58
NEBRASKA,HEMINGFORD,3,CO860235,20,3740,79.3,55
NEBRASKA,HEMINGFORD,3,NE88584,32,3674,77.7,65
NEBRASKA,HEMINGFORD,3,XH1437,36,3672,80.1,66
NEBRASKA,HEMINGFORD,3,CO860094,19,3585,79.9,55
NEBRASKA,HEMINGFORD,3,KHARKOF,1,3560,81.1,70
NEBRASKA,HEMINGFORD,3,NE88595,30,3520,79.9,64
NEBRASKA,HEMINGFORD,3,XH1497,37,3415,79.5,61
NEBRASKA,HEMINGFORD,3,T13,41,3369,79.5,53
NEBRASKA,HEMINGFORD,3,NE88427,31,3344,81.7,62
NEBRASKA,HEMINGFORD,3,OK89421,7,3316,78.9,61
NEBRASKA,HEMINGFORD,3,SCOUT66,2,3311,80.1,69
NEBRASKA,HEMINGFORD,3,TAM-107,3,3292,78.8,56
NEBRASKA,HEMINGFORD,3,TX87V1613,12,3282,81.3,61
NEBRASKA,HEMINGFORD,3,T67,42,3234,80.2,65
NEBRASKA,HEMINGFORD,3,CO860086,18,3227,82,57
NEBRASKA,HEMINGFORD,3,TX88V4636,8,3184,79.1,55
NEBRASKA,HEMINGFORD,3,TX88V4635,11,3156,79.5,57
NEBRASKA,HEMINGFORD,3,HBC302E,25,3107,79.5,58
NEBRASKA,HEMINGFORD,3,NE88588,33,3031,82,64
NEBRASKA,HEMINGFORD,3,OK89399,6,3030,79.2,61
NEBRASKA,HEMINGFORD,3,XH1436,35,3028,78.7,60
NEBRASKA,HEMINGFORD,3,CO870449,21,3021,78.9,57
NEBRASKA,HEMINGFORD,3,TX88A6533,17,2987,79.2,53
NEBRASKA,HEMINGFORD,3,W87-018,38,2953,78.9,52
NEBRASKA,HEMINGFORD,3,N87V106,29,2869,78,62
NEBRASKA,HEMINGFORD,3,OK89499,5,2833,80.6,60
NEBRASKA,HEMINGFORD,3,TX84V1418HF,9,2826,80.2,61
NEBRASKA,HEMINGFORD,3,OK88W833,4,2819,79.6,57
NEBRASKA,HEMINGFORD,3,T21-3,43,2813,77.3,60
NEBRASKA,HEMINGFORD,3,KS84170E-8-3,24,2806,77.4,60
NEBRASKA,HEMINGFORD,3,KS89H50-4,28,2750,77.4,61
NEBRASKA,HEMINGFORD,3,TX88A6480,16,2730,76.6,51
NEBRASKA,HEMINGFORD,3,XH1319,34,2693,78.8,69
NEBRASKA,HEMINGFORD,3,KSSB-369-7,22,2578,79.5,53
NEBRASKA,HEMINGFORD,3,TH901,44,2516,77.1,64
NEBRASKA,HEMINGFORD,3,TX88V5433,15,2456,77.4,52
NEBRASKA,HEMINGFORD,3,TX88V4524,13,2377,78.7,52
NEBRASKA,HEMINGFORD,3,KS831374-142,23,2365,74.6,53
NEBRASKA,HEMINGFORD,3,KS89H48-1,27,2273,,60
NEBRASKA,HEMINGFORD,3,TH902,45,2271,77.4,62
NEBRASKA,HEMINGFORD,3,WI88-181,39,2224,81,51
NEBRASKA,HEMINGFORD,3,TX88V5440,10,2196,74.8,55
NEBRASKA,HEMINGFORD,3,KS87H325-2,26,2027,76.9,56
NEBRASKA,HEMINGFORD,3,WI88-028,40,1819,80,48
