state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
South Dakota,Brookings,3 replications,CI1442,1,2044,75.3,106,153
South Dakota,Brookings,3 replications,CI13996,2,3284,77.1,87,150
South Dakota,Brookings,3 replications,PI495594,3,2573,69.3,67,148
South Dakota,Brookings,3 replications,OK87W663,4,2782,73.3,69,148
South Dakota,Brookings,3 replications,OK87542,5,4213,74.8,76,149
South Dakota,Brookings,3 replications,OK87630,6,3672,72.8,68,149
South Dakota,Brookings,3 replications,OK88767,7,3611,74.8,70,150
South Dakota,Brookings,3 replications,OK88W833,8,3341,74.8,69,148
South Dakota,Brookings,3 replications,TX88V4636,9,3361,70.4,69,150
South Dakota,Brookings,3 replications,TX84V1418HF,10,3615,76,73,150
South Dakota,Brookings,3 replications,TX88V5440,11,3596,74.4,71,148
South Dakota,Brookings,3 replications,TX88V4635,12,3360,68.4,70,150
South Dakota,Brookings,3 replications,TX87V1613,13,3298,76.8,75,151
South Dakota,Brookings,3 replications,TX88V4524,14,2921,76.2,64,148
South Dakota,Brookings,3 replications,TX89V4138,15,2726,74.6,68,150
South Dakota,Brookings,3 replications,TX88V5433,16,3514,75.5,67,149
South Dakota,Brookings,3 replications,TX86D1310,17,3513,76.4,75,150
South Dakota,Brookings,3 replications,TX86D1332,18,3419,77.3,71,150
South Dakota,Brookings,3 replications,TX88D3424,19,1323,64.9,54,150
South Dakota,Brookings,3 replications,C0850034,20,2192,69.1,71,150
South Dakota,Brookings,3 replications,C0850061,21,2230,70,65,150
South Dakota,Brookings,3 replications,C0860086,22,3003,67.3,61,151
South Dakota,Brookings,3 replications,C0860094,23,3216,71.3,79,152
South Dakota,Brookings,3 replications,KSSB-369-7,24,3173,77.3,65,148
South Dakota,Brookings,3 replications,KSSB-192-3,25,1727,70.2,59,150
South Dakota,Brookings,3 replications,HBC197F,26,3657,71.5,62,150
South Dakota,Brookings,3 replications,KS87H6,27,4091,74.6,74,150
South Dakota,Brookings,3 replications,KS88H12-1,28,3520,71.8,72,151
South Dakota,Brookings,3 replications,KS88H12-2,29,3420,70.8,71,151
South Dakota,Brookings,3 replications,NE87615,30,4119,74.2,69,151
South Dakota,Brookings,3 replications,NE87409,31,3879,74.4,77,149
South Dakota,Brookings,3 replications,NE87451,32,3977,74.2,66,150
South Dakota,Brookings,3 replications,NE88595,33,3642,71.7,76,150
South Dakota,Brookings,3 replications,NE88427,34,3871,75.7,77,150
South Dakota,Brookings,3 replications,XH900,35,3460,71.7,73,150
South Dakota,Brookings,3 replications,XH1231,36,3702,73.7,72,150
South Dakota,Brookings,3 replications,XH1322,37,3263,73.3,75,150
South Dakota,Brookings,3 replications,XH1514,38,3413,72,73,151
South Dakota,Brookings,3 replications,WI88-083,39,4065,73.5,72,150
South Dakota,Brookings,3 replications,WI88-024,40,3520,76.8,76,151
South Dakota,Brookings,3 replications,T19-3,41,3861,74.8,77,148
South Dakota,Brookings,3 replications,T67,42,3768,75.3,77,150
South Dakota,Brookings,3 replications,T21-3,43,4175,72.2,76,150
South Dakota,Brookings,3 replications,TH901,44,3306,72.8,74,149
South Dakota,Brookings,3 replications,TH902,45,3341,70.9,73,149
