state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
Texas,Chillicothe,3 replications,CI1442,1,2284,71.8,105,121
Texas,Chillicothe,3 replications,CI13996,2,2688,77.3,87,115
Texas,Chillicothe,3 replications,PI495594,3,4004,78.4,60,109
Texas,Chillicothe,3 replications,OK88767-11,4,3351,78.6,62,110
Texas,Chillicothe,3 replications,OK88767-02,5,3082,80,70,112
Texas,Chillicothe,3 replications,OK90604,6,3766,79.9,71,112
Texas,Chillicothe,3 replications,OK90649,7,3535,80.4,76,110
Texas,Chillicothe,3 replications,OK91783,8,37330,77.9,76,110
Texas,Chillicothe,3 replications,HBZ374C,9,3788,80.4,71,111
Texas,Chillicothe,3 replications,TX90D9277,10,4147,78.7,72,111
Texas,Chillicothe,3 replications,TX89A7137,11,3459,77.5,71,108
Texas,Chillicothe,3 replications,TX91V4931,12,3735,82.2,71,111
Texas,Chillicothe,3 replications,TX90V8410,13,3611,80,64,113
Texas,Chillicothe,3 replications,TX90V7911,14,3894,77.8,68,113
Texas,Chillicothe,3 replications,TX91V3308,15,3957,78.1,73,112
Texas,Chillicothe,3 replications,TX89A7141,16,3730,77,72,108
Texas,Chillicothe,3 replications,TX90V6313,17,3903,79.7,71,108
Texas,Chillicothe,3 replications,TX92V4135,18,3795,79.5,72,108
Texas,Chillicothe,3 replications,HBE0726-1,19,4190,78.3,68,111
Texas,Chillicothe,3 replications,CO880169,20,3869,77.9,75,111
Texas,Chillicothe,3 replications,CO880210,21,4109,80.6,66,112
Texas,Chillicothe,3 replications,CO910927,22,3723,77.3,70,108
Texas,Chillicothe,3 replications,KS92PO59E,23,3932,77.9,70,111
Texas,Chillicothe,3 replications,KS92PO263-137,24,4013,79.6,72,112
Texas,Chillicothe,3 replications,KS92PO363-134,25,4042,77.7,70,112
Texas,Chillicothe,3 replications,KS92PO425-155,26,4468,77.5,64,112
Texas,Chillicothe,3 replications,KS84063-9-39-3,27,3887,79.3,83,110
Texas,Chillicothe,3 replications,KS93U206,28,3806,78.6,80,109
Texas,Chillicothe,3 replications,N87V106,29,3524,78.5,80,110
Texas,Chillicothe,3 replications,NE90479,30,3732,79.7,85,113
Texas,Chillicothe,3 replications,NE90524,31,4082,79.9,80,113
Texas,Chillicothe,3 replications,NE91608,32,3477,78.5,83,113
Texas,Chillicothe,3 replications,NE91635,33,3441,78.2,75,111
Texas,Chillicothe,3 replications,NE91651,34,4156,77.7,72,110
Texas,Chillicothe,3 replications,XH1520,35,4268,79.3,78,110
Texas,Chillicothe,3 replications,XH1529,36,4277,82.1,88,119
Texas,Chillicothe,3 replications,XH1689,37,4524,79.6,96,129
Texas,Chillicothe,3 replications,XH1693,38,4369,80.7,92,125
Texas,Chillicothe,3 replications,XH1706,39,4138,77.9,91,124
Texas,Chillicothe,3 replications,WI89-273-13,40,4039,80.9,79,126
Texas,Chillicothe,3 replications,WI89-189-14,41,3607,79.8,81,118
Texas,Chillicothe,3 replications,T4731,42,4261,77.1,80,125
Texas,Chillicothe,3 replications,T4732,43,3925,77.2,93,125
Texas,Chillicothe,3 replications,T81,44,4302,79.6,87,122
Texas,Chillicothe,3 replications,T83,45,4331,77.6,89,123
