state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,days to heading from 1/1
COLORADO,FORT COLLINS,3,TX88A6480,16,12425,74.8,138
COLORADO,FORT COLLINS,3,TX88V4524,13,11928,77.9,137
COLORADO,FORT COLLINS,3,TAM-107,3,11443,75.4,136
COLORADO,FORT COLLINS,3,KSSB-369-7,22,11431,77.2,136
COLORADO,FORT COLLINS,3,HBC302E,25,11263,75.5,140
COLORADO,FORT COLLINS,3,T13,41,11263,75,140
COLORADO,FORT COLLINS,3,TX88A6533,17,11047,78,139
COLORADO,FORT COLLINS,3,XH1437,36,10860,77.4,139
COLORADO,FORT COLLINS,3,T21-3,43,10838,73.5,140
COLORADO,FORT COLLINS,3,OK89499,5,10666,74.5,142
COLORADO,FORT COLLINS,3,OK89421,7,10461,76,138
COLORADO,FORT COLLINS,3,OK89399,6,10427,75.3,140
COLORADO,FORT COLLINS,3,WI88-181,39,10427,76.7,137
COLORADO,FORT COLLINS,3,TX87V1613,12,10338,76.8,139
COLORADO,FORT COLLINS,3,XH1436,35,10323,74.2,140
COLORADO,FORT COLLINS,3,XH1497,37,10282,75.8,138
COLORADO,FORT COLLINS,3,W87-018,38,10278,5.6,137
COLORADO,FORT COLLINS,3,KS84170E-8-3,24,10226,77,140
COLORADO,FORT COLLINS,3,TAM-200,46,10185,77.5,140
COLORADO,FORT COLLINS,3,T67,42,10114,76.4,142
COLORADO,FORT COLLINS,3,OK88W833,4,10054,78.2,137
COLORADO,FORT COLLINS,3,NE88427,31,10046,74.8,141
COLORADO,FORT COLLINS,3,CO860086,18,9912,74,144
COLORADO,FORT COLLINS,3,KS89H48-1,27,9744,75.4,138
COLORADO,FORT COLLINS,3,TH902,45,9718,73.6,138
COLORADO,FORT COLLINS,3,XH1319,34,9707,75.9,139
COLORADO,FORT COLLINS,3,TX88V5440,10,9636,74.6,139
COLORADO,FORT COLLINS,3,TX84v1418HF,9,9613,76.7,140
COLORADO,FORT COLLINS,3,TH901,44,9550,73,138
COLORADO,FORT COLLINS,3,CO870499,21,9531,75.3,139
COLORADO,FORT COLLINS,3,TX89V4138,14,9486,73.9,138
COLORADO,FORT COLLINS,3,MV16-85,50,9430,74.4,141
COLORADO,FORT COLLINS,3,TX88V4635,11,9401,75.8,136
COLORADO,FORT COLLINS,3,TX88V5433,15,9307,72.4,141
COLORADO,FORT COLLINS,3,WI88-028,40,9307,77.3,139
COLORADO,FORT COLLINS,3,KSWGRC10,49,9121,75.6,137
COLORADO,FORT COLLINS,3,CO860094,19,8938,74.1,145
COLORADO,FORT COLLINS,3,SANDY,47,8919,76.3,145
COLORADO,FORT COLLINS,3,NE88595,30,8878,75.5,140
COLORADO,FORT COLLINS,3,KS831374-142,23,8564,74.3,136
COLORADO,FORT COLLINS,3,NE88588,33,8501,77,139
COLORADO,FORT COLLINS,3,N87V106,29,8463,74.5,135
COLORADO,FORT COLLINS,3,KS87H325-2,26,8407,74.9,136
COLORADO,FORT COLLINS,3,CO860235,20,8266,73.2,144
COLORADO,FORT COLLINS,3,NE88584,32,8262,75.9,140
COLORADO,FORT COLLINS,3,TX88V4636,8,7971,72.6,142
COLORADO,FORT COLLINS,3,KS89H50-4,28,7922,75.5,138
COLORADO,FORT COLLINS,3,CO840186,48,7668,75.2,141
COLORADO,FORT COLLINS,3,SCOUT66,2,6970,74.5,140
COLORADO,FORT COLLINS,3,KHARKOF,1,5372,74.2,147
