state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),days to heading from 1/1
Colorado,Fort Collins,3 replications,CI1442,1,5372,74.2,147
Colorado,Fort Collins,3 replications,CI13996,2,6970,74.5,140
Colorado,Fort Collins,3 replications,PI495594,3,11443,75.4,136
Colorado,Fort Collins,3 replications,OK88W833,4,10054,78.2,137
Colorado,Fort Collins,3 replications,OK89499,5,10666,74.5,142
Colorado,Fort Collins,3 replications,OK89399,6,10427,75.3,140
Colorado,Fort Collins,3 replications,OK89421,7,10461,76,138
Colorado,Fort Collins,3 replications,TX88V4636,8,7971,72.6,142
Colorado,Fort Collins,3 replications,TX84V1418HF,9,9613,76.7,140
Colorado,Fort Collins,3 replications,TX88V5440,10,9636,74.6,139
Colorado,Fort Collins,3 replications,TX88V4635,11,9401,75.8,136
Colorado,Fort Collins,3 replications,TX87V1613,12,10338,76.8,139
Colorado,Fort Collins,3 replications,TX88V4524,13,11928,77.9,137
Colorado,Fort Collins,3 replications,TX89V4138,14,9486,73.9,138
Colorado,Fort Collins,3 replications,TX88V5433,15,9307,72.4,141
Colorado,Fort Collins,3 replications,TX88A6480,16,12425,74.8,138
Colorado,Fort Collins,3 replications,TX88A6533,17,11047,78,139
Colorado,Fort Collins,3 replications,C0860086,18,9912,74,144
Colorado,Fort Collins,3 replications,C0860094,19,8938,74.1,145
Colorado,Fort Collins,3 replications,C0860235,20,8266,73.2,144
Colorado,Fort Collins,3 replications,C0870449,21,9531,75.3,139
Colorado,Fort Collins,3 replications,KSSB-369-7,22,11431,77.2,136
Colorado,Fort Collins,3 replications,KS831374-142,23,8564,74.3,136
Colorado,Fort Collins,3 replications,KS84170E-8-3,24,10226,77,140
Colorado,Fort Collins,3 replications,HBC302E,25,11263,75.5,140
Colorado,Fort Collins,3 replications,KS87H325-2,26,8407,74.9,136
Colorado,Fort Collins,3 replications,KS89H48-1,27,9744,75.4,138
Colorado,Fort Collins,3 replications,KS89H50-4,28,7922,75.5,138
Colorado,Fort Collins,3 replications,N87V106,29,8463,74.5,135
Colorado,Fort Collins,3 replications,NE88595,30,8878,75.5,140
Colorado,Fort Collins,3 replications,NE88427,31,10046,74.8,141
Colorado,Fort Collins,3 replications,NE88584,32,8262,75.9,140
Colorado,Fort Collins,3 replications,NE88588,33,8501,77,139
Colorado,Fort Collins,3 replications,XH1319,34,9707,75.9,139
Colorado,Fort Collins,3 replications,XH1436,35,10323,74.2,140
Colorado,Fort Collins,3 replications,XH1437,36,10860,77.4,139
Colorado,Fort Collins,3 replications,XH1497,37,10282,75.8,138
Colorado,Fort Collins,3 replications,W87-018,38,10278,75.6,137
Colorado,Fort Collins,3 replications,WI88-181,39,10427,76.7,137
Colorado,Fort Collins,3 replications,WI88-028,40,9307,77.3,139
Colorado,Fort Collins,3 replications,T13,41,11263,75,140
Colorado,Fort Collins,3 replications,T67,42,10114,76.4,142
Colorado,Fort Collins,3 replications,T21-3,43,10838,73.5,140
Colorado,Fort Collins,3 replications,TH901,44,9550,73,138
Colorado,Fort Collins,3 replications,TH902,45,9718,73.6,138
