state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Burlington,3 replications,CI1442,1,2371,75.5
Colorado,Burlington,3 replications,CI13996,2,2800,74.5
Colorado,Burlington,3 replications,PI495594,3,2660,73.8
Colorado,Burlington,3 replications,OK88767-11,4,3126,77.5
Colorado,Burlington,3 replications,OK88767-02,5,3193,78.2
Colorado,Burlington,3 replications,OK90604,6,2857,75.4
Colorado,Burlington,3 replications,OK90649,7,3159,75.5
Colorado,Burlington,3 replications,OK91783,8,2999,75.3
Colorado,Burlington,3 replications,HBZ374C,9,3177,76.1
Colorado,Burlington,3 replications,TX90D9277,10,3049,71.6
Colorado,Burlington,3 replications,TX89A7137,11,3245,72.7
Colorado,Burlington,3 replications,TX91V4931,12,2934,77.7
Colorado,Burlington,3 replications,TX90V8410,13,3135,69.5
Colorado,Burlington,3 replications,TX90V7911,14,2955,73.5
Colorado,Burlington,3 replications,TX91V3308,15,2947,72.5
Colorado,Burlington,3 replications,TX89A7141,16,3120,73.5
Colorado,Burlington,3 replications,TX90V6313,17,2806,72.1
Colorado,Burlington,3 replications,TX92V4135,18,2904,76.4
Colorado,Burlington,3 replications,HBE0726-1,19,3410,71.1
Colorado,Burlington,3 replications,CO880169,20,3045,73.9
Colorado,Burlington,3 replications,CO880210,21,2831,74.3
Colorado,Burlington,3 replications,CO910927,22,2935,72.6
Colorado,Burlington,3 replications,KS92PO59E,23,3255,71.1
Colorado,Burlington,3 replications,KS92PO263-137,24,3317,74
Colorado,Burlington,3 replications,KS92PO363-134,25,3158,70.4
Colorado,Burlington,3 replications,KS92PO425-155,26,2724,69.4
Colorado,Burlington,3 replications,KS84063-9-39-3,27,3208,75.8
Colorado,Burlington,3 replications,KS93U206,28,3257,76.1
Colorado,Burlington,3 replications,N87V106,29,2028,73.8
Colorado,Burlington,3 replications,NE90479,30,3238,75.6
Colorado,Burlington,3 replications,NE90524,31,3335,74.1
Colorado,Burlington,3 replications,NE91608,32,3115,74.4
Colorado,Burlington,3 replications,NE91635,33,3344,73.5
Colorado,Burlington,3 replications,NE91651,34,3261,72.2
Colorado,Burlington,3 replications,XH1520,35,3054,74.9
Colorado,Burlington,3 replications,XH1529,36,3622,76.1
Colorado,Burlington,3 replications,XH1689,37,3665,73.5
Colorado,Burlington,3 replications,XH1693,38,2999,74.9
Colorado,Burlington,3 replications,XH1706,39,3650,72.8
Colorado,Burlington,3 replications,WI89-273-13,40,2822,75.7
Colorado,Burlington,3 replications,WI89-189-14,41,2792,77.8
Colorado,Burlington,3 replications,T4731,42,3270,67.7
Colorado,Burlington,3 replications,T4732,43,3142,68.4
Colorado,Burlington,3 replications,T81,44,3042,74.3
Colorado,Burlington,3 replications,T83,45,3159,74.5
