state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
Oklahoma,Stillwater,3 replications,CI1442,1,1483,74.8,63,.
Oklahoma,Stillwater,3 replications,CI13996,2,2026,75.6,62,123
Oklahoma,Stillwater,3 replications,PI495594,3,2629,74.4,52,115
Oklahoma,Stillwater,3 replications,KS93U206,4,2292,75.1,52,116
Oklahoma,Stillwater,3 replications,OK91P648,5,2245,73,47,118
Oklahoma,Stillwater,3 replications,OK93P735,6,2577,77.1,52,118
Oklahoma,Stillwater,3 replications,OK93P634,7,2217,77,52,119
Oklahoma,Stillwater,3 replications,OK92403,8,2224,77,45,117
Oklahoma,Stillwater,3 replications,TX91D6913,9,1980,71.7,48,121
Oklahoma,Stillwater,3 replications,TX91D6991,10,2371,75.3,50,118
Oklahoma,Stillwater,3 replications,TX92V3108,11,2407,79.9,57,118
Oklahoma,Stillwater,3 replications,HBI0531-A2,12,1983,73.7,48,120
Oklahoma,Stillwater,3 replications,TX93V5919,13,2163,76.4,48,119
Oklahoma,Stillwater,3 replications,TX93V5922,14,1433,77.7,47,120
Oklahoma,Stillwater,3 replications,TX93V4927,15,1679,76.1,47,126
Oklahoma,Stillwater,3 replications,TX92V2519,16,1747,75.1,43,124
Oklahoma,Stillwater,3 replications,TXGH12588-105,17,2591,74.2,57,118
Oklahoma,Stillwater,3 replications,CO910424,18,2376,77.9,55,119
Oklahoma,Stillwater,3 replications,CO910748,19,1779,75.7,50,125
Oklahoma,Stillwater,3 replications,KS91H153-2,20,2208,76.9,52,121
Oklahoma,Stillwater,3 replications,KS941064-3,21,2435,74.9,48,119
Oklahoma,Stillwater,3 replications,KS941064-6,22,2495,75.3,48,119
Oklahoma,Stillwater,3 replications,KS940935-7-2-1,23,2240,77.3,50,119
Oklahoma,Stillwater,3 replications,KS940935-125-5-2,24,2649,75.5,52,119
Oklahoma,Stillwater,3 replications,KS85W663-11-6-MB,25,2055,76.6,50,123
Oklahoma,Stillwater,3 replications,KS84W063-9-39-3-MB,26,2538,75.9,58,120
Oklahoma,Stillwater,3 replications,NE90476,27,2590,73.7,53,122
Oklahoma,Stillwater,3 replications,NE92458,28,2676,76.8,53,117
Oklahoma,Stillwater,3 replications,NE92646,29,2287,75.9,53,124
Oklahoma,Stillwater,3 replications,NE93405,30,2559,77.4,53,119
Oklahoma,Stillwater,3 replications,NE93427,31,2480,78.2,53,118
Oklahoma,Stillwater,3 replications,WX92-0408,32,2505,75.3,48,120
Oklahoma,Stillwater,3 replications,W93-460,33,1783,74.3,48,122
Oklahoma,Stillwater,3 replications,T702,34,2568,75.7,50,118
Oklahoma,Stillwater,3 replications,T834,35,2378,73.8,58,122
Oklahoma,Stillwater,3 replications,T812,36,2500,74.9,52,116
Oklahoma,Stillwater,3 replications,T861,37,2663,74,48,116
Oklahoma,Stillwater,3 replications,T89,38,2387,74.8,50,116
Oklahoma,Stillwater,3 replications,G1878,39,2091,79.7,50,120
