state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Oklahoma,Goodwell,3 replications,CI1442,1,3435,74.3
Oklahoma,Goodwell,3 replications,CI13996,2,5028,75.3
Oklahoma,Goodwell,3 replications,PI495594,3,5905,74.2
Oklahoma,Goodwell,3 replications,OK88W833,4,6350,77.1
Oklahoma,Goodwell,3 replications,OK89499,5,6624,74.4
Oklahoma,Goodwell,3 replications,OK89399,6,6407,74.2
Oklahoma,Goodwell,3 replications,OK89421,7,6301,74.9
Oklahoma,Goodwell,3 replications,TX88V4636,8,6751,72.4
Oklahoma,Goodwell,3 replications,TX84V1418HF,9,6185,75.1
Oklahoma,Goodwell,3 replications,TX88V5440,10,6373,74.7
Oklahoma,Goodwell,3 replications,TX88V4635,11,6477,73
Oklahoma,Goodwell,3 replications,TX87V1613,12,6436,73.9
Oklahoma,Goodwell,3 replications,TX88V4524,13,7052,74.2
Oklahoma,Goodwell,3 replications,TX89V4138,14,6733,75.3
Oklahoma,Goodwell,3 replications,TX88V5433,15,6574,75.1
Oklahoma,Goodwell,3 replications,TX88A6480,16,6872,73.7
Oklahoma,Goodwell,3 replications,TX88A6533,17,6978,73.9
Oklahoma,Goodwell,3 replications,C0860086,18,5701,69.9
Oklahoma,Goodwell,3 replications,C0860094,19,6040,71.7
Oklahoma,Goodwell,3 replications,C0860235,20,5670,73.5
Oklahoma,Goodwell,3 replications,C0870449,21,6884,73.9
Oklahoma,Goodwell,3 replications,KSSB-369-7,22,7302,76.4
Oklahoma,Goodwell,3 replications,KS831374-142,23,6783,75.9
Oklahoma,Goodwell,3 replications,KS84170E-8-3,24,6845,75.1
Oklahoma,Goodwell,3 replications,HBC302E,25,7022,74.3
Oklahoma,Goodwell,3 replications,KS87H325-2,26,6465,76.1
Oklahoma,Goodwell,3 replications,KS89H48-1,27,6884,74.7
Oklahoma,Goodwell,3 replications,KS89H50-4,28,6506,74.6
Oklahoma,Goodwell,3 replications,N87V106,29,5870,75.3
Oklahoma,Goodwell,3 replications,NE88595,30,6422,72.2
Oklahoma,Goodwell,3 replications,NE88427,31,6017,73.5
Oklahoma,Goodwell,3 replications,NE88584,32,5159,74.6
Oklahoma,Goodwell,3 replications,NE88588,33,6173,76
Oklahoma,Goodwell,3 replications,XH1319,34,6583,74
Oklahoma,Goodwell,3 replications,XH1436,35,7313,73.9
Oklahoma,Goodwell,3 replications,XH1437,36,7043,75.5
Oklahoma,Goodwell,3 replications,XH1497,37,6828,75.6
Oklahoma,Goodwell,3 replications,W87-018,38,6807,73.7
Oklahoma,Goodwell,3 replications,WI88-181,39,7062,76
Oklahoma,Goodwell,3 replications,WI88-028,40,6309,73.3
Oklahoma,Goodwell,3 replications,T13,41,6085,72.5
Oklahoma,Goodwell,3 replications,T67,42,5209,77.3
Oklahoma,Goodwell,3 replications,T21-3,43,7072,73
Oklahoma,Goodwell,3 replications,TH901,44,6829,74.3
Oklahoma,Goodwell,3 replications,TH902,45,6978,72.4
