state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl
OKLAHOMA,GOODWELL,3,XH1436,35,7313,73.9
OKLAHOMA,GOODWELL,3,KSSB-369-7,22,7302,76.4
OKLAHOMA,GOODWELL,3,T21-3,43,7072,73
OKLAHOMA,GOODWELL,3,WI88-181,39,7062,76
OKLAHOMA,GOODWELL,3,TX88V4524,13,7052,74.2
OKLAHOMA,GOODWELL,3,XH1437,36,7043,75.5
OKLAHOMA,GOODWELL,3,HBC302E,25,7022,74.3
OKLAHOMA,GOODWELL,3,TX88A6533,17,6978,73.9
OKLAHOMA,GOODWELL,3,TH902,45,6978,72.4
OKLAHOMA,GOODWELL,3,CO870449,21,6884,73.9
OKLAHOMA,GOODWELL,3,KS89H48-1,27,6884,74.7
OKLAHOMA,GOODWELL,3,TX88A6480,16,6872,73.7
OKLAHOMA,GOODWELL,3,KS84170E-8-3,24,6845,75.1
OKLAHOMA,GOODWELL,3,TH901,44,6829,74.3
OKLAHOMA,GOODWELL,3,XH1497,37,6828,75.6
OKLAHOMA,GOODWELL,3,W87-018,38,6807,73.7
OKLAHOMA,GOODWELL,3,KS831374-142,23,6783,75.9
OKLAHOMA,GOODWELL,3,TX88V4636,8,6751,72.4
OKLAHOMA,GOODWELL,3,TX89V4138,14,6733,75.3
OKLAHOMA,GOODWELL,3,OK89499,5,6624,74.4
OKLAHOMA,GOODWELL,3,XH1319,34,6583,74
OKLAHOMA,GOODWELL,3,TX88V5433,15,6574,75.1
OKLAHOMA,GOODWELL,3,KS89H50-4,28,6506,74.6
OKLAHOMA,GOODWELL,3,TX88V4635,11,6477,73
OKLAHOMA,GOODWELL,3,KS87H325-2,26,6465,76.1
OKLAHOMA,GOODWELL,3,TX87V1613,12,6436,73.9
OKLAHOMA,GOODWELL,3,NE88595,30,6422,72.2
OKLAHOMA,GOODWELL,3,OK89399,6,6407,74.2
OKLAHOMA,GOODWELL,3,TX88V5440,10,6373,74.7
OKLAHOMA,GOODWELL,3,OK88W833,4,6350,77.1
OKLAHOMA,GOODWELL,3,WI88-028,40,6309,73.3
OKLAHOMA,GOODWELL,3,OK89421,7,6301,74.9
OKLAHOMA,GOODWELL,3,TX84V1418HF,9,6185,75.1
OKLAHOMA,GOODWELL,3,NE88588,33,6173,76
OKLAHOMA,GOODWELL,3,T13,41,6085,72.5
OKLAHOMA,GOODWELL,3,CO860094,19,6040,71.7
OKLAHOMA,GOODWELL,3,NE88427,31,6017,73.5
OKLAHOMA,GOODWELL,3,TAM-107,3,5905,74.2
OKLAHOMA,GOODWELL,3,N87V106,29,5870,75.3
OKLAHOMA,GOODWELL,3,CO860086,18,5701,69.9
OKLAHOMA,GOODWELL,3,Co860235,20,5670,73.5
OKLAHOMA,GOODWELL,3,T67,42,5209,77.3
OKLAHOMA,GOODWELL,3,NE88584,32,5159,74.6
OKLAHOMA,GOODWELL,3,SCOUT66,2,5028,75.3
OKLAHOMA,GOODWELL,3,KHARKOF,1,3435,74.3
