state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
New Mexico,Clovis (Irr.),3 replications,CI1442,1,5411,74.6,113,123
New Mexico,Clovis (Irr.),3 replications,CI13996,2,371,74.6,110,119
New Mexico,Clovis (Irr.),3 replications,PI495594,3,7232,73.2,101,116
New Mexico,Clovis (Irr.),3 replications,OK88W833,4,2969,74.3,102,114
New Mexico,Clovis (Irr.),3 replications,OK89499,5,4330,72.2,102,117
New Mexico,Clovis (Irr.),3 replications,OK89399,6,6835,72.5,103,114
New Mexico,Clovis (Irr.),3 replications,OK89421,7,6712,73,106,117
New Mexico,Clovis (Irr.),3 replications,TX88V4636,8,4906,72,100,118
New Mexico,Clovis (Irr.),3 replications,TX84V1418HF,9,4740,72.9,108,117
New Mexico,Clovis (Irr.),3 replications,TX88V5440,10,5672,72,93,117
New Mexico,Clovis (Irr.),3 replications,TX88V4635,11,4729,72.5,102,117
New Mexico,Clovis (Irr.),3 replications,TX87V1613,12,7263,74,107,114
New Mexico,Clovis (Irr.),3 replications,TX88V4524,13,4901,74.5,95,113
New Mexico,Clovis (Irr.),3 replications,TX89V4138,14,3270,72.9,104,116
New Mexico,Clovis (Irr.),3 replications,TX88V5433,15,6953,73.4,94,118
New Mexico,Clovis (Irr.),3 replications,TX88A6480,16,4647,72.7,94,114
New Mexico,Clovis (Irr.),3 replications,TX88A6533,17,8254,74.9,86,113
New Mexico,Clovis (Irr.),3 replications,C0860086,18,4130,73.6,113,118
New Mexico,Clovis (Irr.),3 replications,C0860094,19,4914,72.7,90,119
New Mexico,Clovis (Irr.),3 replications,C0860235,20,4566,73.4,94,120
New Mexico,Clovis (Irr.),3 replications,C0870449,21,4519,71.9,97,117
New Mexico,Clovis (Irr.),3 replications,KSSB-369-7,22,6864,74.1,101,112
New Mexico,Clovis (Irr.),3 replications,KS831374-142,23,4576,60.3,91,115
New Mexico,Clovis (Irr.),3 replications,KS84170E-8-3,24,4873,73.7,114,118
New Mexico,Clovis (Irr.),3 replications,HBC302E,25,9482,76,109,118
New Mexico,Clovis (Irr.),3 replications,KS87H325-2,26,6402,73.5,104,117
New Mexico,Clovis (Irr.),3 replications,KS89H48-1,27,6260,73.3,104,116
New Mexico,Clovis (Irr.),3 replications,KS89H50-4,28,5126,73.7,108,117
New Mexico,Clovis (Irr.),3 replications,N87V106,29,6093,74.3,106,112
New Mexico,Clovis (Irr.),3 replications,NE88595,30,3668,71.9,103,116
New Mexico,Clovis (Irr.),3 replications,NE88427,31,5481,73.7,103,119
New Mexico,Clovis (Irr.),3 replications,NE88584,32,3758,74.3,103,118
New Mexico,Clovis (Irr.),3 replications,NE88588,33,5017,75.1,105,118
New Mexico,Clovis (Irr.),3 replications,XH1319,34,6405,73.3,111,117
New Mexico,Clovis (Irr.),3 replications,XH1436,35,6968,73.5,113,117
New Mexico,Clovis (Irr.),3 replications,XH1437,36,6535,74.3,111,119
New Mexico,Clovis (Irr.),3 replications,XH1497,37,7491,74.9,107,117
New Mexico,Clovis (Irr.),3 replications,W87-018,38,5039,73.4,101,112
New Mexico,Clovis (Irr.),3 replications,WI88-181,39,7898,74,101,112
New Mexico,Clovis (Irr.),3 replications,WI88-028,40,7060,74.3,87,115
New Mexico,Clovis (Irr.),3 replications,T13,41,6493,71.6,108,116
New Mexico,Clovis (Irr.),3 replications,T67,42,4859,76.3,109,119
New Mexico,Clovis (Irr.),3 replications,T21-3,43,4721,70.1,104,119
New Mexico,Clovis (Irr.),3 replications,TH901,44,5223,72,102,116
New Mexico,Clovis (Irr.),3 replications,TH902,45,6409,71.8,103,113
