state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
Kansas,Colby,3 replications,CI1442,1,2295,77,119,156,37
Kansas,Colby,3 replications,CI13996,2,2054,76.8,103,149,50
Kansas,Colby,3 replications,PI495594,3,2872,76.2,86,144,0
Kansas,Colby,3 replications,HBZ374C,4,3951,80.5,92,150,0
Kansas,Colby,3 replications,OK91P648,5,3773,76.4,78,145,3
Kansas,Colby,3 replications,OK93P735,6,3421,77.9,84,147,0
Kansas,Colby,3 replications,OK93P656,7,3473,79.1,86,146,0
Kansas,Colby,3 replications,OK93P727,8,3790,80.1,86,147,0
Kansas,Colby,3 replications,TX91D6913,9,4879,77.1,95,151,0
Kansas,Colby,3 replications,TX91D6991,10,3863,77.5,87,148,0
Kansas,Colby,3 replications,TX90V6313,11,2544,75.6,79,148,7
Kansas,Colby,3 replications,TX92V4135,12,2894,77.5,83,146,3
Kansas,Colby,3 replications,HBE0726-1,13,4117,77.2,89,151,0
Kansas,Colby,3 replications,TX92V3108,14,3984,81.4,94,147,0
Kansas,Colby,3 replications,HBI0531-A2,15,4352,77.7,84,146,3
Kansas,Colby,3 replications,TX93V5919,16,3801,77.2,91,149,0
Kansas,Colby,3 replications,TX93V5922,17,3654,78.9,86,147,0
Kansas,Colby,3 replications,TX93V4927,18,3541,77.6,78,148,3
Kansas,Colby,3 replications,TX92V2519,19,3354,79,78,147,0
Kansas,Colby,3 replications,CO890323,20,3736,80.1,89,147,10
Kansas,Colby,3 replications,CO900166,21,3098,77.6,87,148,7
Kansas,Colby,3 replications,KS92PO263-137,22,4760,79.1,97,149,0
Kansas,Colby,3 replications,KS93U206,23,2946,76.9,87,145,0
Kansas,Colby,3 replications,KS91H153-2,24,3102,79.3,83,146,0
Kansas,Colby,3 replications,N93L058,25,3127,75.2,85,148,0
Kansas,Colby,3 replications,NE91651,26,3377,76.6,91,147,3
Kansas,Colby,3 replications,NE90476,27,3658,77.4,91,146,0
Kansas,Colby,3 replications,NE92458,28,3312,78.1,91,146,3
Kansas,Colby,3 replications,NE92614,29,3313,78.3,102,151,3
Kansas,Colby,3 replications,NE92646,30,3160,76.7,94,146,0
Kansas,Colby,3 replications,XH1706,31,3275,75.9,93,145,3
Kansas,Colby,3 replications,XH1752,32,4010,79,98,146,0
Kansas,Colby,3 replications,XH1778,33,3224,77.4,78,147,0
Kansas,Colby,3 replications,XH1798,34,3613,79.2,85,145,0
Kansas,Colby,3 replications,W91-091,35,3813,80.5,80,145,0
Kansas,Colby,3 replications,W91-287,36,2996,77.8,84,146,0
Kansas,Colby,3 replications,AP 7501,37,3833,78,88,148,0
Kansas,Colby,3 replications,WX92-0408,38,3934,78.2,85,147,0
Kansas,Colby,3 replications,WI89-163W,39,3981,82.5,89,149,0
Kansas,Colby,3 replications,WI90-540W,40,2219,73.2,883,145,0
Kansas,Colby,3 replications,W88-2619W,41,3975,79.2,87,148,0
Kansas,Colby,3 replications,T702,42,4024,78.8,82,148,0
Kansas,Colby,3 replications,T834,43,4094,79.3,91,148,0
Kansas,Colby,3 replications,T812,44,3672,79.2,86,144,0
Kansas,Colby,3 replications,T861,45,3144,76.9,88,144,0
