state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
OKLAHOMA,GOODWELL,3,OK88767-11,4,7033,78.8,86,131
OKLAHOMA,GOODWELL,3,TX88A6480,8,6813,76.4,89,132
OKLAHOMA,GOODWELL,3,XH1529,37,6714,80.9,91,132
OKLAHOMA,GOODWELL,3,XH1485,35,6603,78.8,97,137
OKLAHOMA,GOODWELL,3,XH1520,36,6471,79.2,94,133
OKLAHOMA,GOODWELL,3,XH1610,38,6467,76.4,98,138
OKLAHOMA,GOODWELL,3,WI89-055,40,6456,80.1,86,137
OKLAHOMA,GOODWELL,3,XH1455,4,6380,77.5,96,138
OKLAHOMA,GOODWELL,3,OK88767-02,5,6240,79.1,92,133
OKLAHOMA,GOODWELL,3,TX90V7911,14,6180,77.1,93,139
OKLAHOMA,GOODWELL,3,TX91V4931,12,6138,80.6,95,138
OKLAHOMA,GOODWELL,3,KS92PO263-137,25,6117,79.5,97,137
OKLAHOMA,GOODWELL,3,NE90524,32,6087,78.7,107,138
OKLAHOMA,GOODWELL,3,NE90479,31,6082,79.3,103,136
OKLAHOMA,GOODWELL,3,T64,4,6077,78.6,99,138
OKLAHOMA,GOODWELL,3,W87-017-44,39,6074,79.2,92,136
OKLAHOMA,GOODWELL,3,OK88767-24,7,6051,77.1,87,133
OKLAHOMA,GOODWELL,3,TX89A7137,11,6050,76.4,92,135
OKLAHOMA,GOODWELL,3,KS92PO425-155,27,5970,74.8,87,137
OKLAHOMA,GOODWELL,3,TX90V8410,13,5947,76.9,90,138
OKLAHOMA,GOODWELL,3,OK88767-15,6,5915,78.3,80,138
OKLAHOMA,GOODWELL,3,KS92PO59E,24,5914,77.8,93,138
OKLAHOMA,GOODWELL,3,TX91V3308,16,5887,76.1,93,139
OKLAHOMA,GOODWELL,3,CO880210,20,5881,76.1,96,137
OKLAHOMA,GOODWELL,3,TX88A6533,9,5871,77.5,86,136
OKLAHOMA,GOODWELL,3,T4731,42,5869,71.9,91,137
OKLAHOMA,GOODWELL,3,KS92PO363-134,26,5849,77.4,94,138
OKLAHOMA,GOODWELL,3,NE90574,33,5804,74.6,104,140
OKLAHOMA,GOODWELL,3,CO880169,19,5760,76.1,99,139
OKLAHOMA,GOODWELL,3,TH905,45,5757,77.5,96,133
OKLAHOMA,GOODWELL,3,KS89H48-1,28,5754,78.7,95,138
OKLAHOMA,GOODWELL,3,KS831374-142,22,5719,78.6,88,133
OKLAHOMA,GOODWELL,3,TAM-107,3,5716,75.6,90,132
OKLAHOMA,GOODWELL,3,CO880054,18,5684,76.1,93,140
OKLAHOMA,GOODWELL,3,TX90D9277,10,5565,74.7,91,140
OKLAHOMA,GOODWELL,3,KS84063-9-7,23,5510,77.1,94,139
OKLAHOMA,GOODWELL,3,T70,43,5478,77,89,139
OKLAHOMA,GOODWELL,3,TX91V5739,15,5404,77.5,94,133
OKLAHOMA,GOODWELL,3,TX89A7141,17,5377,77,86,132
OKLAHOMA,GOODWELL,3,T13,41,5343,73.9,97,137
OKLAHOMA,GOODWELL,3,N87V106,29,5242,77.8,94,136
OKLAHOMA,GOODWELL,3,CO880240,21,5195,76,97,142
OKLAHOMA,GOODWELL,3,Scout66,2,5141,77.8,105,138
OKLAHOMA,GOODWELL,3,NE88584,30,5029,79.5,110,141
OKLAHOMA,GOODWELL,3,Kharkof,1,3147,74.6,106,144
