state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
Kansas,Colby,3 replications,CI1442,1,2785,72.1,79,139,3
Kansas,Colby,3 replications,CI13996,2,2715,71.2,86,141,7
Kansas,Colby,3 replications,PI495594,3,3403,72.2,75,137,0
Kansas,Colby,3 replications,OK88767-11,4,3193,71.9,72,138,0
Kansas,Colby,3 replications,OK88767-02,5,2885,70,75,138,3
Kansas,Colby,3 replications,OK90604,6,2888,69.7,72,138,3
Kansas,Colby,3 replications,OK90649,7,3016,72.2,75,138,0
Kansas,Colby,3 replications,OK91783,8,2984,72.3,72,138,0
Kansas,Colby,3 replications,HBZ374C,9,3345,71.3,74,138,0
Kansas,Colby,3 replications,TX90D9277,10,2967,69,73,138,3
Kansas,Colby,3 replications,TX89A7137,11,3971,72.6,75,138,0
Kansas,Colby,3 replications,TX91V4931,12,3342,74,74,137,3
Kansas,Colby,3 replications,TX90V8410,13,3320,73,75,138,3
Kansas,Colby,3 replications,TX90V7911,14,3307,72.5,74,138,0
Kansas,Colby,3 replications,TX91V3308,15,3497,69.7,75,137,0
Kansas,Colby,3 replications,TX89A7141,16,3308,68.1,72,139,0
Kansas,Colby,3 replications,TX90V6313,17,3578,71.6,76,138,3
Kansas,Colby,3 replications,TX92V4135,18,2854,71.3,69,140,7
Kansas,Colby,3 replications,HBE0726-1,19,3673,70.6,78,139,0
Kansas,Colby,3 replications,CO880169,20,3603,72.2,71,138,0
Kansas,Colby,3 replications,CO880210,21,3777,71.4,78,139,3
Kansas,Colby,3 replications,CO910927,22,3610,73.2,78,139,3
Kansas,Colby,3 replications,KS92PO59E,23,3629,72.4,71,138,0
Kansas,Colby,3 replications,KS92PO263-137,24,3566,69.7,76,139,3
Kansas,Colby,3 replications,KS92PO363-134,25,3283,70.8,73,137,3
Kansas,Colby,3 replications,KS92PO425-155,26,3494,73.5,75,139,3
Kansas,Colby,3 replications,KS84063-9-39-3,27,3365,71.7,73,137,3
Kansas,Colby,3 replications,KS93U206,28,3881,73.8,75,137,7
Kansas,Colby,3 replications,N87V106,29,2993,71.4,84,138,0
Kansas,Colby,3 replications,NE90479,30,3230,72.9,77,138,0
Kansas,Colby,3 replications,NE90524,31,3421,71.2,80,138,0
Kansas,Colby,3 replications,NE91608,32,3258,72.3,73,138,3
Kansas,Colby,3 replications,NE91635,33,3152,71.1,74,138,3
Kansas,Colby,3 replications,NE91651,34,3151,70.3,73,139,0
Kansas,Colby,3 replications,XH1520,35,3594,70.9,74,138,3
Kansas,Colby,3 replications,XH1529,36,3205,72.2,75,138,3
Kansas,Colby,3 replications,XH1689,37,3558,70.4,79,139,0
Kansas,Colby,3 replications,XH1693,38,3207,70.6,78,138,0
Kansas,Colby,3 replications,XH1706,39,3313,72.3,74,138,17
Kansas,Colby,3 replications,WI89-273-13,40,3744,74,73,137,0
Kansas,Colby,3 replications,WI89-189-14,41,3231,73.9,72,138,7
Kansas,Colby,3 replications,T4731,42,3006,69.5,74,139,7
Kansas,Colby,3 replications,T4732,43,3181,69.7,80,139,0
Kansas,Colby,3 replications,T81,44,3763,72.1,77,137,3
Kansas,Colby,3 replications,T83,45,3872,72.3,76,137,0
