state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Hemingford,3 replications,CI1442,1,2950,78,119
Nebraska,Hemingford,3 replications,CI13996,2,3549,81.9,114
Nebraska,Hemingford,3 replications,PI495594,3,5165,79.6,98
Nebraska,Hemingford,3 replications,HBZ374C,4,6348,82.7,103
Nebraska,Hemingford,3 replications,OK91P648,5,5237,75.5,86
Nebraska,Hemingford,3 replications,OK93P735,6,5290,80.1,95
Nebraska,Hemingford,3 replications,OK93P656,7,5748,81.4,100
Nebraska,Hemingford,3 replications,OK93P727,8,5813,82.3,95
Nebraska,Hemingford,3 replications,TX91D6913,9,5745,78.4,98
Nebraska,Hemingford,3 replications,TX91D6991,10,5694,77.3,95
Nebraska,Hemingford,3 replications,TX90V6313,11,4746,78.3,90
Nebraska,Hemingford,3 replications,TX92V4135,12,5091,77.4,88
Nebraska,Hemingford,3 replications,HBE0726-1,13,5349,75.9,93
Nebraska,Hemingford,3 replications,TX92V3108,14,5254,80.5,102
Nebraska,Hemingford,3 replications,HBI0531-A2,15,4732,74.6,93
Nebraska,Hemingford,3 replications,TX93V5919,16,5938,74.7,95
Nebraska,Hemingford,3 replications,TX93V5922,17,5277,82.9,94
Nebraska,Hemingford,3 replications,TX93V4927,18,4353,81,81
Nebraska,Hemingford,3 replications,TX92V2519,19,5187,79.6,84
Nebraska,Hemingford,3 replications,CO890323,20,4954,80.5,95
Nebraska,Hemingford,3 replications,CO900166,21,5411,81.1,93
Nebraska,Hemingford,3 replications,KS92PO263-137,22,5358,78.3,98
Nebraska,Hemingford,3 replications,KS93U206,23,5562,80.2,93
Nebraska,Hemingford,3 replications,KS91H153-2,24,4907,.,85
Nebraska,Hemingford,3 replications,N93L058,25,5503,82.8,89
Nebraska,Hemingford,3 replications,NE91651,26,6142,80.6,103
Nebraska,Hemingford,3 replications,NE90476,27,5402,81.5,94
Nebraska,Hemingford,3 replications,NE92458,28,5573,82.8,95
Nebraska,Hemingford,3 replications,NE92614,29,4907,79.9,113
Nebraska,Hemingford,3 replications,NE92646,30,5584,82.7,97
Nebraska,Hemingford,3 replications,XH1706,31,6189,81.8,91
Nebraska,Hemingford,3 replications,XH1752,32,5535,81.8,103
Nebraska,Hemingford,3 replications,XH1778,33,6005,82,88
Nebraska,Hemingford,3 replications,XH1798,34,6169,84.2,97
Nebraska,Hemingford,3 replications,W91-091,35,5187,80.5,74
Nebraska,Hemingford,3 replications,W91-287,36,5369,81.3,88
Nebraska,Hemingford,3 replications,AP 7501,37,5557,78.9,86
Nebraska,Hemingford,3 replications,WX92-0408,38,5669,80.8,85
Nebraska,Hemingford,3 replications,WI89-163W,39,5077,83.7,89
Nebraska,Hemingford,3 replications,WI90-540W,40,4817,82.2,89
Nebraska,Hemingford,3 replications,W88-2619W,41,5441,83.2,84
Nebraska,Hemingford,3 replications,T702,42,5645,83.1,88
Nebraska,Hemingford,3 replications,T834,43,5391,81.4,95
Nebraska,Hemingford,3 replications,T812,44,5378,82.3,83
Nebraska,Hemingford,3 replications,T861,45,4997,81.1,94
Nebraska,Hemingford,3 replications,JAGGER,46,6319,81.8,90
Nebraska,Hemingford,3 replications,RAWHIDE-1B,47,5178,80.8,100
Nebraska,Hemingford,3 replications,NEKOTA,48,5642,83.2,95
