state,city,reps,line,entry no.,entry yield (kg/ha),volume weight (kg/hl),plant heigh (cm),days to heading from 1/1
SOUTH DAKOTA,BROOKINGS,3,OK87542,5,4213,74.8,76,149
SOUTH DAKOTA,BROOKINGS,3,T21-3,43,4175,72.2,76,150
SOUTH DAKOTA,BROOKINGS,3,NE87615,30,4119,74.2,69,151
SOUTH DAKOTA,BROOKINGS,3,KS87H6,27,4091,74.6,74,150
SOUTH DAKOTA,BROOKINGS,3,WI88-083,39,4065,73.5,72,150
SOUTH DAKOTA,BROOKINGS,3,NE87451 ,32,3977,74.2,66,150
SOUTH DAKOTA,BROOKINGS,3,NE87409 ,31,3879,74.4,77,149
SOUTH DAKOTA,BROOKINGS,3,NE88427,34,3871,75.7,77,150
SOUTH DAKOTA,BROOKINGS,3,T19-3,41,3861,74.8,77,148
SOUTH DAKOTA,BROOKINGS,3,T67,42,3768,75.3,77,150
SOUTH DAKOTA,BROOKINGS,3,XH1231,36,3702,73.7,72,150
SOUTH DAKOTA,BROOKINGS,3,OK87630,6,3672,72.8,68,149
SOUTH DAKOTA,BROOKINGS,3,HBC197F,26,3657,71.5,62,150
SOUTH DAKOTA,BROOKINGS,3,NE88595,33,3642,71.7,76,150
SOUTH DAKOTA,BROOKINGS,3,TX84V1418HF,10,3615,76,73,150
SOUTH DAKOTA,BROOKINGS,3,OK88767 ,7,3611,74.8,70,150
SOUTH DAKOTA,BROOKINGS,3,TX88V5440,11,3596,74.4,71,148
SOUTH DAKOTA,BROOKINGS,3,KS88H12-1,28,3520,71.8,72,151
SOUTH DAKOTA,BROOKINGS,3,WI88-024,40,3520,76.8,76,151
SOUTH DAKOTA,BROOKINGS,3,TX88V5433,16,3514,75.5,67,149
SOUTH DAKOTA,BROOKINGS,3,TX86D1310,1,3513,76.4,5,150
SOUTH DAKOTA,BROOKINGS,3,XH900,5,3460,71.7,3,150
SOUTH DAKOTA,BROOKINGS,3,KS88H12-2,29,3420,70.8,71,151
SOUTH DAKOTA,BROOKINGS,3,TX86D1332,18,3419,77.3,71,150
SOUTH DAKOTA,BROOKINGS,3,XH1514,38,3413,72,73,151
SOUTH DAKOTA,BROOKINGS,3,TX88V4636,9,3361,70.4,69,150
SOUTH DAKOTA,BROOKINGS,3,TX88V4635,12,3360,68.4,70,150
SOUTH DAKOTA,BROOKINGS,3,OK88W833,8,3341,74.8,69,148
SOUTH DAKOTA,BROOKINGS,3,TH902,45,3341,70.9,73,149
SOUTH DAKOTA,BROOKINGS,3,TH901,44,3306,72.8,74,149
SOUTH DAKOTA,BROOKINGS,3,TX87V1613,13,3298,76.8,75,151
SOUTH DAKOTA,BROOKINGS,3,CI13996,2,3284,77.1,87,150
SOUTH DAKOTA,BROOKINGS,3,XH1322,37,3263,73.3,75,150
SOUTH DAKOTA,BROOKINGS,3,CO860094,23,3216,71.3,79,152
SOUTH DAKOTA,BROOKINGS,3,KSSB-369-7,24,3173,77.3,65,148
SOUTH DAKOTA,BROOKINGS,3,CO860086,22,3003,67.3,61,151
SOUTH DAKOTA,BROOKINGS,3,TX88V4524,14,2921,76.2,64,148
SOUTH DAKOTA,BROOKINGS,3,OK87W663,4,2782,73.3,69,148
SOUTH DAKOTA,BROOKINGS,3,TX89V4138,15,2726,74.6,68,150
SOUTH DAKOTA,BROOKINGS,3,PI495594,3,2573,69.3,67,148
SOUTH DAKOTA,BROOKINGS,3,CO850061,21,2230,70,65,150
SOUTH DAKOTA,BROOKINGS,3,CO850034,20,2192,69.1,71,150
SOUTH DAKOTA,BROOKINGS,3,CI1442,1,2044,75.3,106,153
SOUTH DAKOTA,BROOKINGS,3,KSSB-192-3,25,1727,70.2,59,250
SOUTH DAKOTA,BROOKINGS,3,TX88D3424,19,1323,64.9,54,150
