state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Akron,3 replications,CI1442,1,1134,70
Colorado,Akron,3 replications,CI13996,2,1953,73.5
Colorado,Akron,3 replications,PI495594,3,1684,66.2
Colorado,Akron,3 replications,OK88767-11,4,1835,69.1
Colorado,Akron,3 replications,OK88767-02,5,1667,73.6
Colorado,Akron,3 replications,OK90604,6,1652,67.3
Colorado,Akron,3 replications,OK90649,7,2108,71.5
Colorado,Akron,3 replications,OK91783,8,1300,68.3
Colorado,Akron,3 replications,HBZ374C,9,1673,68.8
Colorado,Akron,3 replications,TX90D9277,10,1566,64.9
Colorado,Akron,3 replications,TX89A7137,11,2047,67.8
Colorado,Akron,3 replications,TX91V4931,12,1670,69.9
Colorado,Akron,3 replications,TX90V8410,13,1705,71.8
Colorado,Akron,3 replications,TX90V7911,14,1560,65.4
Colorado,Akron,3 replications,TX91V3308,15,1808,66.6
Colorado,Akron,3 replications,TX89A7141,16,1910,66.9
Colorado,Akron,3 replications,TX90V6313,17,1805,70.8
Colorado,Akron,3 replications,TX92V4135,18,1867,68.1
Colorado,Akron,3 replications,HBE0726-1,19,1729,63.1
Colorado,Akron,3 replications,CO880169,20,1587,67.4
Colorado,Akron,3 replications,CO880210,21,1843,69
Colorado,Akron,3 replications,CO910927,22,1746,63.8
Colorado,Akron,3 replications,KS92PO59E,23,1949,66.9
Colorado,Akron,3 replications,KS92PO263-137,24,1830,66.7
Colorado,Akron,3 replications,KS92PO363-134,25,1628,63.1
Colorado,Akron,3 replications,KS92PO425-155,26,1732,63.5
Colorado,Akron,3 replications,KS84063-9-39-3,27,2079,66.6
Colorado,Akron,3 replications,KS93U206,28,1659,66.2
Colorado,Akron,3 replications,N87V106,29,1409,65.3
Colorado,Akron,3 replications,NE90479,30,1723,71.6
Colorado,Akron,3 replications,NE90524,31,1410,64.8
Colorado,Akron,3 replications,NE91608,32,1473,69.4
Colorado,Akron,3 replications,NE91635,33,2055,65.5
Colorado,Akron,3 replications,NE91651,34,1602,62.1
Colorado,Akron,3 replications,XH1520,35,1764,66.3
Colorado,Akron,3 replications,XH1529,36,1742,65.6
Colorado,Akron,3 replications,XH1689,37,1991,66.5
Colorado,Akron,3 replications,XH1693,38,1631,65.7
Colorado,Akron,3 replications,XH1706,39,2080,66.4
Colorado,Akron,3 replications,WI89-273-13,40,2142,71
Colorado,Akron,3 replications,WI89-189-14,41,2238,71.9
Colorado,Akron,3 replications,T4731,42,1724,60.9
Colorado,Akron,3 replications,T4732,43,1993,65.7
Colorado,Akron,3 replications,T81,44,1650,66
Colorado,Akron,3 replications,T83,45,1847,66.1
Colorado,Akron,3 replications,PI559720,46,1772,64.8
Colorado,Akron,3 replications,CO860094,47,1154,60
Colorado,Akron,3 replications,PI5559719,48,1739,70.6
Colorado,Akron,3 replications,NE84557,49,1847,70.1
Colorado,Akron,3 replications,MV16-85,50,1771,61.3
