state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Walsh,3 replications,CI1442,1,1102,75.2
Colorado,Walsh,3 replications,CI13996,2,1228,75.8
Colorado,Walsh,3 replications,PI495594,3,1696,75.3
Colorado,Walsh,3 replications,OK88767-11,4,1762,75.3
Colorado,Walsh,3 replications,OK88767-02,5,1475,77.8
Colorado,Walsh,3 replications,OK90604,6,1404,74.5
Colorado,Walsh,3 replications,OK90649,7,1189,76.3
Colorado,Walsh,3 replications,OK91783,8,1280,72.2
Colorado,Walsh,3 replications,HBZ374C,9,1381,75.7
Colorado,Walsh,3 replications,TX90D9277,10,1468,71.4
Colorado,Walsh,3 replications,TX89A7137,11,1669,71.9
Colorado,Walsh,3 replications,TX91V4931,12,1979,80.8
Colorado,Walsh,3 replications,TX90V8410,13,2038,75.3
Colorado,Walsh,3 replications,TX90V7911,14,1408,72.9
Colorado,Walsh,3 replications,TX91V3308,15,1093,70
Colorado,Walsh,3 replications,TX89A7141,16,1761,73.2
Colorado,Walsh,3 replications,TX90V6313,17,1620,73.7
Colorado,Walsh,3 replications,TX92V4135,18,1095,73.9
Colorado,Walsh,3 replications,HBE0726-1,19,1071,69.6
Colorado,Walsh,3 replications,CO880169,20,1745,75
Colorado,Walsh,3 replications,CO880210,21,1764,77.7
Colorado,Walsh,3 replications,CO910927,22,1759,75.4
Colorado,Walsh,3 replications,KS92PO59E,23,1636,73.5
Colorado,Walsh,3 replications,KS92PO263-137,24,1577,73.7
Colorado,Walsh,3 replications,KS92PO363-134,25,1416,68.8
Colorado,Walsh,3 replications,KS92PO425-155,26,1436,69.8
Colorado,Walsh,3 replications,KS84063-9-39-3,27,1456,74.1
Colorado,Walsh,3 replications,KS93U206,28,1795,76.8
Colorado,Walsh,3 replications,N87V106,29,1010,74.5
Colorado,Walsh,3 replications,NE90479,30,1721,76.4
Colorado,Walsh,3 replications,NE90524,31,1723,74.5
Colorado,Walsh,3 replications,NE91608,32,1528,74.7
Colorado,Walsh,3 replications,NE91635,33,1366,72.2
Colorado,Walsh,3 replications,NE91651,34,1418,71.4
Colorado,Walsh,3 replications,XH1520,35,1702,75.4
Colorado,Walsh,3 replications,XH1529,36,2020,76.4
Colorado,Walsh,3 replications,XH1689,37,1852,74.4
Colorado,Walsh,3 replications,XH1693,38,1644,77.3
Colorado,Walsh,3 replications,XH1706,39,1863,77.4
Colorado,Walsh,3 replications,WI89-273-13,40,1692,75.4
Colorado,Walsh,3 replications,WI89-189-14,41,1434,76.1
Colorado,Walsh,3 replications,T4731,42,1365,70.7
Colorado,Walsh,3 replications,T4732,43,1164,69.5
Colorado,Walsh,3 replications,T81,44,1478,76.7
Colorado,Walsh,3 replications,T83,45,1475,75.7
