state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Texas,Bushland (Drly.),3 replications,CI1442,1,1704,76.2
Texas,Bushland (Drly.),3 replications,CI13996,2,2959,74.6
Texas,Bushland (Drly.),3 replications,PI495594,3,3428,76.4
Texas,Bushland (Drly.),3 replications,OK88W833,4,2757,76.1
Texas,Bushland (Drly.),3 replications,OK89499,5,2800,74.8
Texas,Bushland (Drly.),3 replications,OK89399,6,2892,73.5
Texas,Bushland (Drly.),3 replications,OK89421,7,3497,74.4
Texas,Bushland (Drly.),3 replications,TX88V4636,8,3165,72.8
Texas,Bushland (Drly.),3 replications,TX84V1418HF,9,2881,76
Texas,Bushland (Drly.),3 replications,TX88V5440,10,3017,73.1
Texas,Bushland (Drly.),3 replications,TX88V4635,11,2907,72.5
Texas,Bushland (Drly.),3 replications,TX87V1613,12,3185,76.1
Texas,Bushland (Drly.),3 replications,TX88V4524,13,3470,75.7
Texas,Bushland (Drly.),3 replications,TX89V4138,14,3286,76.2
Texas,Bushland (Drly.),3 replications,TX88V5433,15,2890,74.2
Texas,Bushland (Drly.),3 replications,TX88A6480,16,3210,74.4
Texas,Bushland (Drly.),3 replications,TX88A6533,17,3318,76.6
Texas,Bushland (Drly.),3 replications,C0860086,18,3049,75.3
Texas,Bushland (Drly.),3 replications,C0860094,19,2385,68.6
Texas,Bushland (Drly.),3 replications,C0860235,20,2629,73.1
Texas,Bushland (Drly.),3 replications,C0870449,21,3015,72.8
Texas,Bushland (Drly.),3 replications,KSSB-369-7,22,3371,75.3
Texas,Bushland (Drly.),3 replications,KS831374-142,23,3241,74.7
Texas,Bushland (Drly.),3 replications,KS84170E-8-3,24,3448,76.5
Texas,Bushland (Drly.),3 replications,HBC302E,25,3235,74.8
Texas,Bushland (Drly.),3 replications,KS87H325-2,26,3259,77.1
Texas,Bushland (Drly.),3 replications,KS89H48-1,27,3212,72.6
Texas,Bushland (Drly.),3 replications,KS89H50-4,28,3026,74.3
Texas,Bushland (Drly.),3 replications,N87V106,29,3329,74.2
Texas,Bushland (Drly.),3 replications,NE88595,30,2643,72.9
Texas,Bushland (Drly.),3 replications,NE88427,31,3152,74.6
Texas,Bushland (Drly.),3 replications,NE88584,32,2661,74.9
Texas,Bushland (Drly.),3 replications,NE88588,33,2446,76.9
Texas,Bushland (Drly.),3 replications,XH1319,34,3165,73.9
Texas,Bushland (Drly.),3 replications,XH1436,35,2708,72.1
Texas,Bushland (Drly.),3 replications,XH1437,36,2928,74.4
Texas,Bushland (Drly.),3 replications,XH1497,37,3275,74.3
Texas,Bushland (Drly.),3 replications,W87-018,38,2800,74.8
Texas,Bushland (Drly.),3 replications,WI88-181,39,3017,74
Texas,Bushland (Drly.),3 replications,WI88-028,40,2961,73.4
Texas,Bushland (Drly.),3 replications,T13,41,3345,75.3
Texas,Bushland (Drly.),3 replications,T67,42,2457,73.9
Texas,Bushland (Drly.),3 replications,T21-3,43,3044,70.6
Texas,Bushland (Drly.),3 replications,TH901,44,3013,74.4
Texas,Bushland (Drly.),3 replications,TH902,45,2430,75.2
