state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK94P549,4,
,,,OK95548,5,
,,,OK95571,6,
,,,OK95593,7,
,,,OK95G701,8,
,,,TX91D6825,9,
,,,TX91D6856,10,
,,,TX94V2327,11,
,,,TX95V4926,12,
,,,TX95V4933,13,
,,,TX95V5332,14,
,,,TX94V2130,15,
,,,CO940700,16,
,,,KS95HW62-6,17,
,,,KS95H167-3,18,
,,,KS95H176-1,19,
,,,KS90175-3,20,
,,,KS89180B-2-1,21,
,,,KS97P0630-4-5,22,
,,,KS97W0935-29-15,23,
,,,KS91W009-6-11,24,
,,,N95L158,25,
,,,NE93496,26,
,,,NE94632,27,
,,,W95-210,28,
,,,W95-188,29,
,,,W94-244-132,30,
,,,W95-301,31,
,,,W95-221,32,
,,,WX94-3504,33,
,,,XH1881,34,
,,,XH1875,35,
,,,WH1872,36,
,,,T99,37,
,,,T100,38,
,,,T101,39,
,,,T102,40,
,,,G14264,41,
,,,G15048,42,
,,,G15011,43,
,,,G15458,44,
,,,G15111,45,
