state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Akron,3 replications,CI1442,1,3751,78.4
Colorado,Akron,3 replications,CI13996,2,4348,77.5
Colorado,Akron,3 replications,PI495594,3,4983,75.6
Colorado,Akron,3 replications,KS93U206,4,4614,76.7
Colorado,Akron,3 replications,OK91P648,5,5141,75.8
Colorado,Akron,3 replications,OK93P735,6,5278,79.7
Colorado,Akron,3 replications,OK93P634,7,4613,78.7
Colorado,Akron,3 replications,OK92403,8,4206,79.1
Colorado,Akron,3 replications,TX91D6913,9,5215,76.2
Colorado,Akron,3 replications,TX91D6991,10,5161,76.3
Colorado,Akron,3 replications,TX92V3108,11,4668,78
Colorado,Akron,3 replications,HBI0531-A2,12,5140,76.8
Colorado,Akron,3 replications,TX93V5919,13,5180,80.2
Colorado,Akron,3 replications,TX93V5922,14,5040,79.3
Colorado,Akron,3 replications,TX93V4927,15,4698,79.8
Colorado,Akron,3 replications,TX92V2519,16,4537,78.2
Colorado,Akron,3 replications,TXGH12588-105,17,4800,76.8
Colorado,Akron,3 replications,CO910424,18,4749,77.1
Colorado,Akron,3 replications,CO910748,19,5428,77.7
Colorado,Akron,3 replications,KS91H153-2,20,4784,77.5
Colorado,Akron,3 replications,KS941064-3,21,3866,74.1
Colorado,Akron,3 replications,KS941064-6,22,4399,74.4
Colorado,Akron,3 replications,KS940935-7-2-1,23,3798,75.8
Colorado,Akron,3 replications,KS940935-125-5-2,24,4430,75.1
Colorado,Akron,3 replications,KS85W663-11-6-MB,25,4963,78.1
Colorado,Akron,3 replications,KS84W063-9-39-3-MB,26,4331,77.6
Colorado,Akron,3 replications,NE90476,27,5153,76
Colorado,Akron,3 replications,NE92458,28,4857,77.5
Colorado,Akron,3 replications,NE92646,29,6008,78
Colorado,Akron,3 replications,NE93405,30,4567,79.7
Colorado,Akron,3 replications,NE93427,31,4349,77.9
Colorado,Akron,3 replications,WX92-0408,32,4685,78.9
Colorado,Akron,3 replications,W93-460,33,4712,79.2
Colorado,Akron,3 replications,T702,34,4705,79.3
Colorado,Akron,3 replications,T834,35,5320,76.7
Colorado,Akron,3 replications,T812,36,4766,76.9
Colorado,Akron,3 replications,T861,37,4127,74.8
Colorado,Akron,3 replications,T89,38,4674,74.5
Colorado,Akron,3 replications,G1878,39,4806,79
