state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl
COLORADO,WALSH,3,T13,41,1795,76.9
COLORADO,WALSH,3,TX88A6533,17,1794,76.8
COLORADO,WALSH,3,CO870449,21,1737,75.1
COLORADO,WALSH,3,XH1497,37,1690,76.6
COLORADO,WALSH,3,NE88595,30,1687,73.8
COLORADO,WALSH,3,OK89421,7,1686,76.2
COLORADO,WALSH,3,SANDY,47,1678,76.4
COLORADO,WALSH,3,TX88V4524,13,1634,79.2
COLORADO,WALSH,3,CO860094,19,1631,75
COLORADO,WALSH,3,NE88584,32,1619,75.1
COLORADO,WALSH,3,CO860086,18,1610,76
COLORADO,WALSH,3,KSWGRC10,49,1606,74.6
COLORADO,WALSH,3,TAM-107,3,1561,76.1
COLORADO,WALSH,3,TAM-200,46,1557,78.9
COLORADO,WALSH,3,KS89H48-1,27,1535,75.9
COLORADO,WALSH,3,NE88427,31,1506,76.8
COLORADO,WALSH,3,SCOUT66,2,1474,76.4
COLORADO,WALSH,3,TX87V1613,12,1454,76
COLORADO,WALSH,3,T67,42,1430,77.8
COLORADO,WALSH,3,NE88588,33,1429,77.1
COLORADO,WALSH,3,TX88V4636,8,1416,74.4
COLORADO,WALSH,3,KSSB-369-7,22,1410,76.1
COLORADO,WALSH,3,T21-3,43,1405,75.3
COLORADO,WALSH,3,KS89H50-4,28,1380,76.3
COLORADO,WALSH,3,KS87H325-2,26,1366,75.9
COLORADO,WALSH,3,XH1437,36,1366,76.8
COLORADO,WALSH,3,HBC302E,25,1332,77.5
COLORADO,WALSH,3,KHARKOF,1,1304,76.9
COLORADO,WALSH,3,TH902,45,1302,75.7
COLORADO,WALSH,3,OK88W833,4,1298,77.3
COLORADO,WALSH,3,XH1436,35,1296,75.4
COLORADO,WALSH,3,KS831374-142,23,1293,75.2
COLORADO,WALSH,3,TX88A6480,16,1292,74.6
COLORADO,WALSH,3,CO860235,20,1292,75.2
COLORADO,WALSH,3,TH901,44,1262,75.9
COLORADO,WALSH,3,TX84V1418HF,9,1254,76.7
COLORADO,WALSH,3,TX89V4138,14,1246,74
COLORADO,WALSH,3,TX88V5440,10,1213,74.6
COLORADO,WALSH,3,OK89499,5,1212,76.2
COLORADO,WALSH,3,OK89399,6,1196,74.9
COLORADO,WALSH,3,TX88V5433,15,1195,74.5
COLORADO,WALSH,3,KS84170E-8-3,24,1186,75.6
COLORADO,WALSH,3,XH1319,34,1185,75.4
COLORADO,WALSH,3,TX88V4635,11,1129,74.4
COLORADO,WALSH,3,W87-018,38,1109,75.4
COLORADO,WALSH,3,N87V106,29,1098,75.2
COLORADO,WALSH,3,MV16-85,50,1088,73
COLORADO,WALSH,3,CO840186,48,1074,78.4
COLORADO,WALSH,3,WI88-181,39,969,77
COLORADO,WALSH,3,WI88-028,40,848,79.4
