state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Walsh,3 replications,CI1442,1,1304,76.9
Colorado,Walsh,3 replications,CI13996,2,1474,76.4
Colorado,Walsh,3 replications,PI495594,3,1561,76.1
Colorado,Walsh,3 replications,OK88W833,4,1298,77.3
Colorado,Walsh,3 replications,OK89499,5,1212,76.2
Colorado,Walsh,3 replications,OK89399,6,1196,74.9
Colorado,Walsh,3 replications,OK89421,7,1686,76.2
Colorado,Walsh,3 replications,TX88V4636,8,1416,74.4
Colorado,Walsh,3 replications,TX84V1418HF,9,1254,76.7
Colorado,Walsh,3 replications,TX88V5440,10,1213,74.6
Colorado,Walsh,3 replications,TX88V4635,11,1129,74.4
Colorado,Walsh,3 replications,TX87V1613,12,1454,76
Colorado,Walsh,3 replications,TX88V4524,13,1634,79.2
Colorado,Walsh,3 replications,TX89V4138,14,1246,74
Colorado,Walsh,3 replications,TX88V5433,15,1195,74.5
Colorado,Walsh,3 replications,TX88A6480,16,1292,74.6
Colorado,Walsh,3 replications,TX88A6533,17,1794,76.8
Colorado,Walsh,3 replications,C0860086,18,1610,76
Colorado,Walsh,3 replications,C0860094,19,1631,75
Colorado,Walsh,3 replications,C0860235,20,1292,75.2
Colorado,Walsh,3 replications,C0870449,21,1737,75.1
Colorado,Walsh,3 replications,KSSB-369-7,22,1410,76.1
Colorado,Walsh,3 replications,KS831374-142,23,1293,75.2
Colorado,Walsh,3 replications,KS84170E-8-3,24,1186,75.6
Colorado,Walsh,3 replications,HBC302E,25,1332,77.5
Colorado,Walsh,3 replications,KS87H325-2,26,1366,75.9
Colorado,Walsh,3 replications,KS89H48-1,27,1535,75.9
Colorado,Walsh,3 replications,KS89H50-4,28,1380,76.3
Colorado,Walsh,3 replications,N87V106,29,1098,75.2
Colorado,Walsh,3 replications,NE88595,30,1687,73.8
Colorado,Walsh,3 replications,NE88427,31,1506,76.8
Colorado,Walsh,3 replications,NE88584,32,1619,75.1
Colorado,Walsh,3 replications,NE88588,33,1429,77.1
Colorado,Walsh,3 replications,XH1319,34,1185,75.4
Colorado,Walsh,3 replications,XH1436,35,1296,75.4
Colorado,Walsh,3 replications,XH1437,36,1366,76.8
Colorado,Walsh,3 replications,XH1497,37,1690,76.6
Colorado,Walsh,3 replications,W87-018,38,1109,75.4
Colorado,Walsh,3 replications,WI88-181,39,969,77
Colorado,Walsh,3 replications,WI88-028,40,848,79.4
Colorado,Walsh,3 replications,T13,41,1795,76.9
Colorado,Walsh,3 replications,T67,42,1430,77.8
Colorado,Walsh,3 replications,T21-3,43,1405,75.3
Colorado,Walsh,3 replications,TH901,44,1262,75.9
Colorado,Walsh,3 replications,TH902,45,1302,75.7
