state,city,reps,line,entry,yield (kg/ha),volume height kg/hl,plant height cm,days to heading from 1/1
KANSAS,GARDEN CITY,3,XH1497,37,2618,74.6,61,129
KANSAS,GARDEN CITY,3,OK89421,7,2562,75.6,62,129
KANSAS,GARDEN CITY,3,KS831374-142,23,2524,73.3,62,128
KANSAS,GARDEN CITY,3,KS89H48-1,27,2468,75.2,64,130
KANSAS,GARDEN CITY,3,NE88584,32,2446,73.6,70,132
KANSAS,GARDEN CITY,3,KS89H50-4,28,2374,75.2,65,130
KANSAS,GARDEN CITY,3,NE88595,30,2369,72.8,61,133
KANSAS,GARDEN CITY,3,TX88A6480,16,2349,73.7,58,129
KANSAS,GARDEN CITY,3,TX89V4138,14,2300,74.6,64,132
KANSAS,GARDEN CITY,3,TAM-107,3,2287,73.2,56,129
KANSAS,GARDEN CITY,3,NE88427,31,2269,73.1,59,132
KANSAS,GARDEN CITY,3,TX88V5433,15,2260,72.4,61,128
KANSAS,GARDEN CITY,3,XH1436,35,2242,72,62,131
KANSAS,GARDEN CITY,3,T67,42,2217,74.8,64,130
KANSAS,GARDEN CITY,3,CO860086,18,2199,69.1,58,135
KANSAS,GARDEN CITY,3,TX88A6533,17,2195,75.6,58,133
KANSAS,GARDEN CITY,3,TX88V4636,8,2192,73.1,60,131
KANSAS,GARDEN CITY,3,XH1437,36,2179,75.3,65,131
KANSAS,GARDEN CITY,3,TH901,44,2177,73.8,63,129
KANSAS,GARDEN CITY,3,T13,41,2174,71,58,133
KANSAS,GARDEN CITY,3,NE88588,33,2168,75.5,68,131
KANSAS,GARDEN CITY,3,SCOUT66,2,2141,73.2,71,133
KANSAS,GARDEN CITY,3,KS87H325-2,26,2123,74.9,59,129
KANSAS,GARDEN CITY,3,OK89499,5,2118,73.2,54,134
KANSAS,GARDEN CITY,3,TX88V4635,11,2118,72.2,60,131
KANSAS,GARDEN CITY,3,XH1319,34,2118,73.2,64,130
KANSAS,GARDEN CITY,3,OK88W833,4,2112,73,57,129
KANSAS,GARDEN CITY,3,CO870499,21,2042,71.5,61,132
KANSAS,GARDEN CITY,3,HBC302E,25,1979,75.1,62,132
KANSAS,GARDEN CITY,3,T21-3,43,1970,69.1,67,130
KANSAS,GARDEN CITY,3,KSSB-369-7,22,1966,74.1,58,130
KANSAS,GARDEN CITY,3,OK89399,6,1961,71.5,53,131
KANSAS,GARDEN CITY,3,TX88V5440,10,1901,71.4,59,128
KANSAS,GARDEN CITY,3,TX88V4524,13,1890,75.3,56,131
KANSAS,GARDEN CITY,3,TX87V1613,12,1876,73.9,63,130
KANSAS,GARDEN CITY,3,KS84170E-8-3,24,1872,74.1,61,133
KANSAS,GARDEN CITY,3,TH902,45,1849,73.1,63,129
KANSAS,GARDEN CITY,3,CO860235,20,1847,67,59,136
KANSAS,GARDEN CITY,3,TX84V1418HF,9,1827,73.3,61,129
KANSAS,GARDEN CITY,3,W87-018,38,1766,72.1,52,132
KANSAS,GARDEN CITY,3,CO860094,19,1715,64.2,59,137
KANSAS,GARDEN CITY,3,N87V106,29,1701,72,58,133
KANSAS,GARDEN CITY,3,WI88-181,39,1636,74,54,131
KANSAS,GARDEN CITY,3,WI88-028,40,1553,69.9,48,136
KANSAS,GARDEN CITY,3,KHARKOF,1,1332,65.4,73,138
