state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Hemingford,3 replications,CI1442,1,3441,78.3,104
Nebraska,Hemingford,3 replications,CI13996,2,3117,77.4,97
Nebraska,Hemingford,3 replications,PI495594,3,4143,77.9,69
Nebraska,Hemingford,3 replications,OK88767-11,4,4191,80.4,71
Nebraska,Hemingford,3 replications,OK88767-02,5,3637,81,76
Nebraska,Hemingford,3 replications,OK90604,6,4289,78.6,79
Nebraska,Hemingford,3 replications,OK90649,7,4056,76.9,81
Nebraska,Hemingford,3 replications,OK91783,8,4033,78.8,86
Nebraska,Hemingford,3 replications,HBZ374C,9,3735,78,76
Nebraska,Hemingford,3 replications,TX90D9277,10,3784,78,76
Nebraska,Hemingford,3 replications,TX89A7137,11,4410,78.2,74
Nebraska,Hemingford,3 replications,TX91V4931,12,4064,81.9,76
Nebraska,Hemingford,3 replications,TX90V8410,13,4369,79.2,81
Nebraska,Hemingford,3 replications,TX90V7911,14,3250,77.1,79
Nebraska,Hemingford,3 replications,TX91V3308,15,3972,75.3,81
Nebraska,Hemingford,3 replications,TX89A7141,16,4167,77.8,79
Nebraska,Hemingford,3 replications,TX90V6313,17,3731,79.5,76
Nebraska,Hemingford,3 replications,TX92V4135,18,4313,78.6,71
Nebraska,Hemingford,3 replications,HBE0726-1,19,4297,75.2,76
Nebraska,Hemingford,3 replications,CO880169,20,4441,78,84
Nebraska,Hemingford,3 replications,CO880210,21,4121,77.4,76
Nebraska,Hemingford,3 replications,CO910927,22,4293,74.9,76
Nebraska,Hemingford,3 replications,KS92PO59E,23,4321,72.5,79
Nebraska,Hemingford,3 replications,KS92PO263-137,24,4140,77.7,81
Nebraska,Hemingford,3 replications,KS92PO363-134,25,4223,72.8,79
Nebraska,Hemingford,3 replications,KS92PO425-155,26,4258,72.4,74
Nebraska,Hemingford,3 replications,KS84063-9-39-3,27,4214,69.1,79
Nebraska,Hemingford,3 replications,KS93U206,28,3954,77.9,79
Nebraska,Hemingford,3 replications,N87V106,29,3713,77.4,81
Nebraska,Hemingford,3 replications,NE90479,30,4507,81,86
Nebraska,Hemingford,3 replications,NE90524,31,4152,78.8,89
Nebraska,Hemingford,3 replications,NE91608,32,3589,77.5,89
Nebraska,Hemingford,3 replications,NE91635,33,4198,76.5,86
Nebraska,Hemingford,3 replications,NE91651,34,4394,76,84
Nebraska,Hemingford,3 replications,XH1520,35,3847,79.1,84
Nebraska,Hemingford,3 replications,XH1529,36,4823,79.5,79
Nebraska,Hemingford,3 replications,XH1689,37,4771,76.9,89
Nebraska,Hemingford,3 replications,XH1693,38,4451,76.4,79
Nebraska,Hemingford,3 replications,XH1706,39,4753,77.9,81
Nebraska,Hemingford,3 replications,WI89-273-13,40,4213,78.7,74
Nebraska,Hemingford,3 replications,WI89-189-14,41,4279,78.4,71
Nebraska,Hemingford,3 replications,T4731,42,3675,74.8,81
Nebraska,Hemingford,3 replications,T4732,43,3976,71.7,79
Nebraska,Hemingford,3 replications,T81,44,4609,78.8,81
Nebraska,Hemingford,3 replications,T83,45,4444,77.1,84
