"state","city","reps","line","entry","yield (kg/ha)","volume weight (kg/hl)","plant height (cm)","days to heading from 1/1"
"KANSAS","GARDEN CITY","3","CI1442",1,3293,77.1,100,139
"KANSAS","GARDEN CITY","3","CI13996",2,3990,81.2,89,133
"KANSAS","GARDEN CITY","3","PI495594",3,3625,79.6,71,131
"KANSAS","GARDEN CITY","3","OK87W663",4,3266,80.8,71,130
"KANSAS","GARDEN CITY","3","OK87542",5,3916,80.6,75,131
"KANSAS","GARDEN CITY","3","OK87630",6,3239,79.6,75,130
"KANSAS","GARDEN CITY","3","OK88767",7,3584,80.7,75,131
"KANSAS","GARDEN CITY","3","OK88W833",8,3616,81.1,75,130
"KANSAS","GARDEN CITY","3","TX88V4636",9,4403,79.5,74,133
"KANSAS","GARDEN CITY","3","TX84V1418HF",10,3495,80.5,75,132
"KANSAS","GARDEN CITY","3","TX88V5440",11,3378,79.9,71,129
"KANSAS","GARDEN CITY","3","TX88V4635",12,4546,79.5,79,133
"KANSAS","GARDEN CITY","3","TX87V1613",13,3909,82.1,80,132
"KANSAS","GARDEN CITY","3","TX88V4524",14,3750,82.3,69,130
"KANSAS","GARDEN CITY","3","TX89V4138",15,4102,81.7,77,131
"KANSAS","GARDEN CITY","3","TX88V5433",16,3632,80.9,71,131
"KANSAS","GARDEN CITY","3","TX86D1310",17,3407,81.9,78,132
"KANSAS","GARDEN CITY","3","TX86D1332",18,3643,82,82,132
"KANSAS","GARDEN CITY","3","TX88D3424",19,3445,78.3,67,130
"KANSAS","GARDEN CITY","3","CO850034",20,4013,79.5,78,133
"KANSAS","GARDEN CITY","3","CO850061",21,4551,80.5,76,132
"KANSAS","GARDEN CITY","3","CO860086",22,4304,78.2,73,135
"KANSAS","GARDEN CITY","3","CO860094",23,4580,76.8,75,138
"KANSAS","GARDEN CITY","3","KSSB-369-7",24,3791,82,69,129
"KANSAS","GARDEN CITY","3","KSSB-192-3",25,3842,80.8,75,131
"KANSAS","GARDEN CITY","3","HBC197F",26,4432,80.8,75,134
"KANSAS","GARDEN CITY","3","KS87H6",27,4098,81.2,77,133
"KANSAS","GARDEN CITY","3","KS88H12-1",28,4403,80.6,78,134
"KANSAS","GARDEN CITY","3","KS88H12-2",29,4344,80.1,75,134
"KANSAS","GARDEN CITY","3","NE87615",30,4533,78.9,72,135
"KANSAS","GARDEN CITY","3","NE87409",31,4492,81.3,81,134
"KANSAS","GARDEN CITY","3","NE87451",32,4528,80.1,70,134
"KANSAS","GARDEN CITY","3","NE88595",33,4741,79.2,76,133
"KANSAS","GARDEN CITY","3","NE88427",34,4360,79.9,75,134
"KANSAS","GARDEN CITY","3","XH900",35,4651,79.2,82,132
"KANSAS","GARDEN CITY","3","XH1231",36,4882,79.1,80,133
"KANSAS","GARDEN CITY","3","XH1322",37,3954,79.2,80,132
"KANSAS","GARDEN CITY","3","XH1514",38,4326,77.1,86,134
"KANSAS","GARDEN CITY","3","WI88-083",39,4553,80.2,75,133
"KANSAS","GARDEN CITY","3","WI88-024",40,4064,80.7,81,133
"KANSAS","GARDEN CITY","3","T19-3",41,4235,81.6,79,132
"KANSAS","GARDEN CITY","3","T67",42,3835,80.6,79,133
"KANSAS","GARDEN CITY","3","T21-3",43,4463,80.5,84,133
"KANSAS","GARDEN CITY","3","TH901",44,4035,80.2,79,132
"KANSAS","GARDEN CITY","3","TH902",45,3927,79.6,83,132
"KANSAS","GARDEN CITY","3","KS8010-72-4",46,4035,80.5,79,132
"KANSAS","GARDEN CITY","3","KS8010-72-8",47,3782,80.1,77,132
"KANSAS","GARDEN CITY","3","KS831374-74",48,3407,80.9,75,130
"KANSAS","GARDEN CITY","3","KS831374-142",49,3735,81.1,76,130
