state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl
COLORADO,AKRON,3,TX89V4138,14,2972,80.7
COLORADO,AKRON,3,T13,41,2943,78.2
COLORADO,AKRON,3,CO860094,19,2612,79.2
COLORADO,AKRON,3,CO860086,18,2589,79.2
COLORADO,AKRON,3,TAM-107,3,2489,78.9
COLORADO,AKRON,3,WI88-028,40,2432,81.1
COLORADO,AKRON,3,TAM-200,46,2398,81.4
COLORADO,AKRON,3,KSWGRC10,49,2344,79.5
COLORADO,AKRON,3,TX88A6533,17,2242,78
COLORADO,AKRON,3,TX88A6480,16,2177,78.7
COLORADO,AKRON,3,XH1497,37,2121,79.7
COLORADO,AKRON,3,MV16-85,50,2121,75.7
COLORADO,AKRON,3,KS84170E-8-3,24,2114,78.8
COLORADO,AKRON,3,SANDY,47,2107,80.3
COLORADO,AKRON,3,T21-3,43,1959,77.4
COLORADO,AKRON,3,OK89421,7,1876,79.3
COLORADO,AKRON,3,HBC302E,25,1813,78.3
COLORADO,AKRON,3,KS89H48-1,27,1804,76.6
COLORADO,AKRON,3,XH1319,34,1799,78.2
COLORADO,AKRON,3,CO840186,48,1737,79.7
COLORADO,AKRON,3,TX88V4636,8,1726,77.7
COLORADO,AKRON,3,CO860235,20,1712,77
COLORADO,AKRON,3,W87-018,38,1700,79.2
COLORADO,AKRON,3,XH1436,35,1678,78.7
COLORADO,AKRON,3,KHARKOF,1,1658,77.1
COLORADO,AKRON,3,WI88-181,39,1647,80.9
COLORADO,AKRON,3,KS831374-142,23,1608,76.6
COLORADO,AKRON,3,KSSB-369-7,22,1607,81.7
COLORADO,AKRON,3,OK89499,6,1589,75.5
COLORADO,AKRON,3,TX88V4635,11,1585,76.1
COLORADO,AKRON,3,KS87H325-2,26,1542,78
COLORADO,AKRON,3,OK89499,5,1521,78
COLORADO,AKRON,3,SCOUT66,2,1511,79.4
COLORADO,AKRON,3,NE88427,31,1478,78.8
COLORADO,AKRON,3,OK88W833,4,1457,79.9
COLORADO,AKRON,3,TX88V5440,10,1455,75.1
COLORADO,AKRON,3,KS89H50-4,28,1428,76.6
COLORADO,AKRON,3,TX84V1418HF,9,1389,78.8
COLORADO,AKRON,3,T67,42,1348,78.6
COLORADO,AKRON,3,TH902,45,1343,78.7
COLORADO,AKRON,3,XH1437,36,1299,80.5
COLORADO,AKRON,3,TX87V1613,12,1265,79.3
COLORADO,AKRON,3,TX88V4524,13,1236,78.5
COLORADO,AKRON,3,N87V106,29,1198,79.5
COLORADO,AKRON,3,TX88V5433,15,1195,75.7
COLORADO,AKRON,3,NE88595,30,1192,80
COLORADO,AKRON,3,CO870449,21,1178,79.7
COLORADO,AKRON,3,NE88584,32,1057,79.1
COLORADO,AKRON,3,NE88588,33,1048,79.9
COLORADO,AKRON,3,TH901,44,839,77.7
