state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Akron,3 replications,CI1442,1,1658,77.1
Colorado,Akron,3 replications,CI13996,2,1511,79.4
Colorado,Akron,3 replications,PI495594,3,2489,78.9
Colorado,Akron,3 replications,OK88W833,4,1457,79.9
Colorado,Akron,3 replications,OK89499,5,1521,78
Colorado,Akron,3 replications,OK89399,6,1589,75.5
Colorado,Akron,3 replications,OK89421,7,1876,79.3
Colorado,Akron,3 replications,TX88V4636,8,1726,77.7
Colorado,Akron,3 replications,TX84V1418HF,9,1389,78.8
Colorado,Akron,3 replications,TX88V5440,10,1455,75.1
Colorado,Akron,3 replications,TX88V4635,11,1585,76.1
Colorado,Akron,3 replications,TX87V1613,12,1265,79.3
Colorado,Akron,3 replications,TX88V4524,13,1236,78.5
Colorado,Akron,3 replications,TX89V4138,14,2972,80.7
Colorado,Akron,3 replications,TX88V5433,15,1195,75.7
Colorado,Akron,3 replications,TX88A6480,16,2177,78.7
Colorado,Akron,3 replications,TX88A6533,17,2242,78
Colorado,Akron,3 replications,C0860086,18,2589,79.2
Colorado,Akron,3 replications,C0860094,19,2612,79.2
Colorado,Akron,3 replications,C0860235,20,1712,77
Colorado,Akron,3 replications,C0870449,21,1178,79.7
Colorado,Akron,3 replications,KSSB-369-7,22,1607,81.7
Colorado,Akron,3 replications,KS831374-142,23,1608,76.6
Colorado,Akron,3 replications,KS84170E-8-3,24,2114,78.8
Colorado,Akron,3 replications,HBC302E,25,1813,78.3
Colorado,Akron,3 replications,KS87H325-2,26,1542,78
Colorado,Akron,3 replications,KS89H48-1,27,1804,76.6
Colorado,Akron,3 replications,KS89H50-4,28,1428,76.6
Colorado,Akron,3 replications,N87V106,29,1198,79.5
Colorado,Akron,3 replications,NE88595,30,1192,80
Colorado,Akron,3 replications,NE88427,31,1478,78.8
Colorado,Akron,3 replications,NE88584,32,1057,79.1
Colorado,Akron,3 replications,NE88588,33,1048,79.9
Colorado,Akron,3 replications,XH1319,34,1799,78.2
Colorado,Akron,3 replications,XH1436,35,1678,78.7
Colorado,Akron,3 replications,XH1437,36,1299,80.5
Colorado,Akron,3 replications,XH1497,37,2121,79.7
Colorado,Akron,3 replications,W87-018,38,1700,79.2
Colorado,Akron,3 replications,WI88-181,39,1647,80.9
Colorado,Akron,3 replications,WI88-028,40,2432,81.1
Colorado,Akron,3 replications,T13,41,2943,78.2
Colorado,Akron,3 replications,T67,42,1348,78.6
Colorado,Akron,3 replications,T21-3,43,1959,77.4
Colorado,Akron,3 replications,TH901,44,839,77.7
Colorado,Akron,3 replications,TH902,45,1343,78.7
