state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
New Mexico,Clovis (Dryl.),3 replications,CI1442,1,1206,74.5,47,125
New Mexico,Clovis (Dryl.),3 replications,CI13996,2,2140,73.1,50,118
New Mexico,Clovis (Dryl.),3 replications,PI495594,3,1780,72.1,42,117
New Mexico,Clovis (Dryl.),3 replications,KS93U206,4,1554,72.6,42,117
New Mexico,Clovis (Dryl.),3 replications,OK91P648,5,1734,72.2,40,116
New Mexico,Clovis (Dryl.),3 replications,OK93P735,6,1574,74.2,40,120
New Mexico,Clovis (Dryl.),3 replications,OK93P634,7,1026,72.9,38,118
New Mexico,Clovis (Dryl.),3 replications,OK92403,8,1286,72.4,36,120
New Mexico,Clovis (Dryl.),3 replications,TX91D6913,9,1424,70.1,41,118
New Mexico,Clovis (Dryl.),3 replications,TX91D6991,10,1440,72,41,118
New Mexico,Clovis (Dryl.),3 replications,TX92V3108,11,1643,73.7,41,120
New Mexico,Clovis (Dryl.),3 replications,HBI0531-A2,12,1681,71.6,43,116
New Mexico,Clovis (Dryl.),3 replications,TX93V5919,13,1650,73.4,45,122
New Mexico,Clovis (Dryl.),3 replications,TX93V5922,14,1543,73.1,47,118
New Mexico,Clovis (Dryl.),3 replications,TX93V4927,15,1329,72.7,42,115
New Mexico,Clovis (Dryl.),3 replications,TX92V2519,16,1309,72.3,43,114
New Mexico,Clovis (Dryl.),3 replications,TXGH12588-105,17,1409,71.5,41,116
New Mexico,Clovis (Dryl.),3 replications,CO910424,18,1949,72.9,47,118
New Mexico,Clovis (Dryl.),3 replications,CO910748,19,1478,73.5,38,119
New Mexico,Clovis (Dryl.),3 replications,KS91H153-2,20,1968,73.3,43,119
New Mexico,Clovis (Dryl.),3 replications,KS941064-3,21,965,67.7,36,122
New Mexico,Clovis (Dryl.),3 replications,KS941064-6,22,1401,72.7,41,118
New Mexico,Clovis (Dryl.),3 replications,KS940935-7-2-1,23,1164,73.1,38,119
New Mexico,Clovis (Dryl.),3 replications,KS940935-125-5-2,24,1382,72.7,42,118
New Mexico,Clovis (Dryl.),3 replications,KS85W663-11-6-MB,25,1145,73.9,40,120
New Mexico,Clovis (Dryl.),3 replications,KS84W063-9-39-3-MB,26,1030,68.5,39,122
New Mexico,Clovis (Dryl.),3 replications,NE90476,27,1551,72.8,44,120
New Mexico,Clovis (Dryl.),3 replications,NE92458,28,1497,72.9,42,119
New Mexico,Clovis (Dryl.),3 replications,NE92646,29,2018,73.7,47,118
New Mexico,Clovis (Dryl.),3 replications,NE93405,30,1861,73.7,51,116
New Mexico,Clovis (Dryl.),3 replications,NE93427,31,1405,73.4,41,116
New Mexico,Clovis (Dryl.),3 replications,WX92-0408,32,1731,72.6,41,120
New Mexico,Clovis (Dryl.),3 replications,W93-460,33,1336,73.4,41,120
New Mexico,Clovis (Dryl.),3 replications,T702,34,1509,72.9,41,121
New Mexico,Clovis (Dryl.),3 replications,T834,35,1463,72.4,46,114
New Mexico,Clovis (Dryl.),3 replications,T812,36,1987,72.7,44,115
New Mexico,Clovis (Dryl.),3 replications,T861,37,1750,73.3,47,116
New Mexico,Clovis (Dryl.),3 replications,T89,38,1907,72.7,45,120
New Mexico,Clovis (Dryl.),3 replications,G1878,39,1405,74.6,43,118
