state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Kansas,Hays,3 replications,CI1442,1,1356,77.7
Kansas,Hays,3 replications,CI13996,2,1773,76.7
Kansas,Hays,3 replications,PI495594,3,1722,72.7
Kansas,Hays,3 replications,HBZ374C,4,2901,77.2
Kansas,Hays,3 replications,OK91P648,5,3129,73.8
Kansas,Hays,3 replications,OK93P735,6,2318,76.5
Kansas,Hays,3 replications,OK93P656,7,2589,77.7
Kansas,Hays,3 replications,OK93P727,8,2246,78.9
Kansas,Hays,3 replications,TX91D6913,9,3257,72.7
Kansas,Hays,3 replications,TX91D6991,10,2780,74.2
Kansas,Hays,3 replications,TX90V6313,11,2053,74.3
Kansas,Hays,3 replications,TX92V4135,12,2071,75.3
Kansas,Hays,3 replications,HBE0726-1,13,2533,74.4
Kansas,Hays,3 replications,TX92V3108,14,2282,79
Kansas,Hays,3 replications,HBI0531-A2,15,2842,74.9
Kansas,Hays,3 replications,TX93V5919,16,2493,72
Kansas,Hays,3 replications,TX93V5922,17,2233,75.9
Kansas,Hays,3 replications,TX93V4927,18,2356,74
Kansas,Hays,3 replications,TX92V2519,19,2233,76
Kansas,Hays,3 replications,CO890323,20,2378,76.2
Kansas,Hays,3 replications,CO900166,21,1984,75.6
Kansas,Hays,3 replications,KS92PO263-137,22,2508,75.3
Kansas,Hays,3 replications,KS93U206,23,2215,77.4
Kansas,Hays,3 replications,KS91H153-2,24,2235,79.3
Kansas,Hays,3 replications,N93L058,25,2659,74.3
Kansas,Hays,3 replications,NE91651,26,2262,74
Kansas,Hays,3 replications,NE90476,27,2587,74
Kansas,Hays,3 replications,NE92458,28,2811,76.3
Kansas,Hays,3 replications,NE92614,29,2367,76.3
Kansas,Hays,3 replications,NE92646,30,2486,74.7
Kansas,Hays,3 replications,XH1706,31,2726,74.5
Kansas,Hays,3 replications,XH1752,32,2616,75.2
Kansas,Hays,3 replications,XH1778,33,2742,76
Kansas,Hays,3 replications,XH1798,34,2645,79
Kansas,Hays,3 replications,W91-091,35,2869,73.9
Kansas,Hays,3 replications,W91-287,36,2464,77.3
Kansas,Hays,3 replications,AP 7501,37,3111,75.3
Kansas,Hays,3 replications,WX92-0408,38,3470,77.2
Kansas,Hays,3 replications,WI89-163W,39,2688,78.4
Kansas,Hays,3 replications,WI90-540W,40,1589,72.3
Kansas,Hays,3 replications,W88-2619W,41,2849,74.8
Kansas,Hays,3 replications,T702,42,2475,75.1
Kansas,Hays,3 replications,T834,43,2712,75.2
Kansas,Hays,3 replications,T812,44,2464,76.8
Kansas,Hays,3 replications,T861,45,2278,75.4
