state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Fort Collins,3 replications,CI1442,1,5136,77.8
Colorado,Fort Collins,3 replications,CI13996,2,4135,76.7
Colorado,Fort Collins,3 replications,PI495594,3,4471,75.1
Colorado,Fort Collins,3 replications,HBZ374C,4,5685,78.2
Colorado,Fort Collins,3 replications,OK91P648,5,5781,75.2
Colorado,Fort Collins,3 replications,OK93P735,6,5609,77.8
Colorado,Fort Collins,3 replications,OK93P656,7,5248,77.8
Colorado,Fort Collins,3 replications,OK93P727,8,4117,78
Colorado,Fort Collins,3 replications,TX91D6913,9,6855,76.2
Colorado,Fort Collins,3 replications,TX91D6991,10,4814,75.1
Colorado,Fort Collins,3 replications,TX90V6313,11,4876,77.1
Colorado,Fort Collins,3 replications,TX92V4135,12,5115,77.4
Colorado,Fort Collins,3 replications,HBE0726-1,13,5830,76.5
Colorado,Fort Collins,3 replications,TX92V3108,14,4595,79
Colorado,Fort Collins,3 replications,HBI0531-A2,15,5659,76.4
Colorado,Fort Collins,3 replications,TX93V5919,16,6563,78.3
Colorado,Fort Collins,3 replications,TX93V5922,17,4954,78.7
Colorado,Fort Collins,3 replications,TX93V4927,18,4590,76.3
Colorado,Fort Collins,3 replications,TX92V2519,19,4620,76.6
Colorado,Fort Collins,3 replications,CO890323,20,5130,79
Colorado,Fort Collins,3 replications,CO900166,21,5897,78.6
Colorado,Fort Collins,3 replications,KS92PO263-137,22,5056,77.8
Colorado,Fort Collins,3 replications,KS93U206,23,4257,75.1
Colorado,Fort Collins,3 replications,KS91H153-2,24,3472,78.1
Colorado,Fort Collins,3 replications,N93L058,25,4173,75.5
Colorado,Fort Collins,3 replications,NE91651,26,5152,76.1
Colorado,Fort Collins,3 replications,NE90476,27,4922,76.5
Colorado,Fort Collins,3 replications,NE92458,28,5450,78.1
Colorado,Fort Collins,3 replications,NE92614,29,5929,78.2
Colorado,Fort Collins,3 replications,NE92646,30,6474,78.4
Colorado,Fort Collins,3 replications,XH1706,31,6506,77.8
Colorado,Fort Collins,3 replications,XH1752,32,5403,77.5
Colorado,Fort Collins,3 replications,XH1778,33,5331,77.4
Colorado,Fort Collins,3 replications,XH1798,34,5566,78.1
Colorado,Fort Collins,3 replications,W91-091,35,5496,77.9
Colorado,Fort Collins,3 replications,W91-287,36,5047,76.5
Colorado,Fort Collins,3 replications,AP 7501,37,5786,77.7
Colorado,Fort Collins,3 replications,WX92-0408,38,6330,77.6
Colorado,Fort Collins,3 replications,WI89-163W,39,4904,78.8
Colorado,Fort Collins,3 replications,WI90-540W,40,3342,76
Colorado,Fort Collins,3 replications,W88-2619W,41,5693,78.5
Colorado,Fort Collins,3 replications,T702,42,6104,78
Colorado,Fort Collins,3 replications,T834,43,4899,75.6
Colorado,Fort Collins,3 replications,T812,44,4787,75.8
Colorado,Fort Collins,3 replications,T861,45,3595,75.4
