state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Oklahoma,Lahoma,3 replications,CI1442,1,1139,68,93
Oklahoma,Lahoma,3 replications,CI13996,2,967,65.9,77
Oklahoma,Lahoma,3 replications,PI495594,3,1886,64.8,84
Oklahoma,Lahoma,3 replications,OK88W833,4,2576,71.3,78
Oklahoma,Lahoma,3 replications,OK89499,5,2864,67.9,85
Oklahoma,Lahoma,3 replications,OK89399,6,2496,68.2,80
Oklahoma,Lahoma,3 replications,OK89421,7,2632,70.3,92
Oklahoma,Lahoma,3 replications,TX88V4636,8,2920,67.2,80
Oklahoma,Lahoma,3 replications,TX84V1418HF,9,2557,70,88
Oklahoma,Lahoma,3 replications,TX88V5440,10,3262,70.4,83
Oklahoma,Lahoma,3 replications,TX88V4635,11,3159,68.1,93
Oklahoma,Lahoma,3 replications,TX87V1613,12,1514,63.3,87
Oklahoma,Lahoma,3 replications,TX88V4524,13,3252,71,85
Oklahoma,Lahoma,3 replications,TX89V4138,14,1783,65.9,78
Oklahoma,Lahoma,3 replications,TX88V5433,15,4215,73.3,87
Oklahoma,Lahoma,3 replications,TX88A6480,16,2454,66,88
Oklahoma,Lahoma,3 replications,TX88A6533,17,2564,68.1,82
Oklahoma,Lahoma,3 replications,C0860086,18,2593,62.8,87
Oklahoma,Lahoma,3 replications,C0860094,19,2043,60.9,85
Oklahoma,Lahoma,3 replications,C0860235,20,1804,61,83
Oklahoma,Lahoma,3 replications,C0870449,21,2531,65.5,83
Oklahoma,Lahoma,3 replications,KSSB-369-7,22,2386,65.8,85
Oklahoma,Lahoma,3 replications,KS831374-142,23,3027,69.9,80
Oklahoma,Lahoma,3 replications,KS84170E-8-3,24,2747,70,88
Oklahoma,Lahoma,3 replications,HBC302E,25,2623,70.3,87
Oklahoma,Lahoma,3 replications,KS87H325-2,26,3303,73.4,90
Oklahoma,Lahoma,3 replications,KS89H48-1,27,3475,71.7,98
Oklahoma,Lahoma,3 replications,KS89H50-4,28,3135,68.9,93
Oklahoma,Lahoma,3 replications,N87V106,29,1749,60.1,85
Oklahoma,Lahoma,3 replications,NE88595,30,2877,68.2,98
Oklahoma,Lahoma,3 replications,NE88427,31,3105,68.1,88
Oklahoma,Lahoma,3 replications,NE88584,32,1514,61.3,90
Oklahoma,Lahoma,3 replications,NE88588,33,2105,68.1,97
Oklahoma,Lahoma,3 replications,XH1319,34,2408,66.2,88
Oklahoma,Lahoma,3 replications,XH1436,35,3679,68.8,92
Oklahoma,Lahoma,3 replications,XH1437,36,2776,70,98
Oklahoma,Lahoma,3 replications,XH1497,37,3086,68.9,95
Oklahoma,Lahoma,3 replications,W87-018,38,2417,64.4,82
Oklahoma,Lahoma,3 replications,WI88-181,39,2367,68.2,80
Oklahoma,Lahoma,3 replications,WI88-028,40,2801,65.4,77
Oklahoma,Lahoma,3 replications,T13,41,2356,65,82
Oklahoma,Lahoma,3 replications,T67,42,2517,68.8,85
Oklahoma,Lahoma,3 replications,T21-3,43,3512,65.8,77
Oklahoma,Lahoma,3 replications,TH901,44,2313,64,85
Oklahoma,Lahoma,3 replications,TH902,45,2035,64.2,92
