state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
South Dakota,Pierre,3 replications,CI1442,1,2338,76.5,58
South Dakota,Pierre,3 replications,CI13996,2,2717,78.3,56
South Dakota,Pierre,3 replications,PI495594,3,3300,77.6,45
South Dakota,Pierre,3 replications,OK88767-11,4,2208,75.8,48
South Dakota,Pierre,3 replications,OK88767-02,5,2641,76.4,47
South Dakota,Pierre,3 replications,OK90604,6,3087,77,47
South Dakota,Pierre,3 replications,OK90649,7,2816,77.4,48
South Dakota,Pierre,3 replications,OK91783,8,2681,76.4,47
South Dakota,Pierre,3 replications,HBZ374C,9,3170,77.1,46
South Dakota,Pierre,3 replications,TX90D9277,10,2923,78.1,45
South Dakota,Pierre,3 replications,TX89A7137,11,2910,76.2,46
South Dakota,Pierre,3 replications,TX91V4931,12,2831,76.8,55
South Dakota,Pierre,3 replications,TX90V8410,13,2636,76.5,48
South Dakota,Pierre,3 replications,TX90V7911,14,2589,76.9,46
South Dakota,Pierre,3 replications,TX91V3308,15,2654,77.1,44
South Dakota,Pierre,3 replications,TX89A7141,16,2872,76.1,44
South Dakota,Pierre,3 replications,TX90V6313,17,2782,77.4,51
South Dakota,Pierre,3 replications,TX92V4135,18,2396,76.2,41
South Dakota,Pierre,3 replications,HBE0726-1,19,2746,76.5,45
South Dakota,Pierre,3 replications,CO880169,20,3340,78.1,48
South Dakota,Pierre,3 replications,CO880210,21,3156,77.1,46
South Dakota,Pierre,3 replications,CO910927,22,2820,76.8,41
South Dakota,Pierre,3 replications,KS92PO59E,23,2968,78.7,40
South Dakota,Pierre,3 replications,KS92PO263-137,24,3195,77.2,43
South Dakota,Pierre,3 replications,KS92PO363-134,25,3028,78.4,50
South Dakota,Pierre,3 replications,KS92PO425-155,26,2564,76.4,43
South Dakota,Pierre,3 replications,KS84063-9-39-3,27,2874,78.2,49
South Dakota,Pierre,3 replications,KS93U206,28,3445,78,42
South Dakota,Pierre,3 replications,N87V106,29,2721,76.5,43
South Dakota,Pierre,3 replications,NE90479,30,2923,77.3,52
South Dakota,Pierre,3 replications,NE90524,31,3197,78,46
South Dakota,Pierre,3 replications,NE91608,32,2838,78,47
South Dakota,Pierre,3 replications,NE91635,33,2470,77,50
South Dakota,Pierre,3 replications,NE91651,34,2952,77.8,45
South Dakota,Pierre,3 replications,XH1520,35,3076,77.6,46
South Dakota,Pierre,3 replications,XH1529,36,2578,77,46
South Dakota,Pierre,3 replications,XH1689,37,2717,76.9,52
South Dakota,Pierre,3 replications,XH1693,38,2768,76.5,46
South Dakota,Pierre,3 replications,XH1706,39,2737,76.8,44
South Dakota,Pierre,3 replications,WI89-273-13,40,2753,77.7,45
South Dakota,Pierre,3 replications,WI89-189-14,41,2556,76.4,44
South Dakota,Pierre,3 replications,T4731,42,2632,76.8,45
South Dakota,Pierre,3 replications,T4732,43,2759,78.6,44
South Dakota,Pierre,3 replications,T81,44,2670,77,45
South Dakota,Pierre,3 replications,T83,45,3017,77,48
