state,city,reps,line,entry,winter survival (%)
Iowa,Crawfordsville,2 replications,CI1442,1,72
Iowa,Crawfordsville,2 replications,CI13996,2,65
Iowa,Crawfordsville,2 replications,PI495594,3,71
Iowa,Crawfordsville,2 replications,KS93U206,4,40
Iowa,Crawfordsville,2 replications,OK91P648,5,23
Iowa,Crawfordsville,2 replications,OK93P735,6,43
Iowa,Crawfordsville,2 replications,OK93P634,7,52
Iowa,Crawfordsville,2 replications,OK92403,8,33
Iowa,Crawfordsville,2 replications,TX91D6913,9,63
Iowa,Crawfordsville,2 replications,TX91D6991,10,65
Iowa,Crawfordsville,2 replications,TX92V3108,11,58
Iowa,Crawfordsville,2 replications,HBI0531-A2,12,43
Iowa,Crawfordsville,2 replications,TX93V5919,13,28
Iowa,Crawfordsville,2 replications,TX93V5922,14,13
Iowa,Crawfordsville,2 replications,TX93V4927,15,23
Iowa,Crawfordsville,2 replications,TX92V2519,16,38
Iowa,Crawfordsville,2 replications,TXGH12588-105,17,33
Iowa,Crawfordsville,2 replications,CO910424,18,66
Iowa,Crawfordsville,2 replications,CO910748,19,57
Iowa,Crawfordsville,2 replications,KS91H153-2,20,52
Iowa,Crawfordsville,2 replications,KS941064-3,21,66
Iowa,Crawfordsville,2 replications,KS941064-6,22,62
Iowa,Crawfordsville,2 replications,KS940935-7-2-1,23,67
Iowa,Crawfordsville,2 replications,KS940935-125-5-2,24,58
Iowa,Crawfordsville,2 replications,KS85W663-11-6-MB,25,53
Iowa,Crawfordsville,2 replications,KS84W063-9-39-3-MB,26,44
Iowa,Crawfordsville,2 replications,NE90476,27,77
Iowa,Crawfordsville,2 replications,NE92458,28,59
Iowa,Crawfordsville,2 replications,NE92646,29,54
Iowa,Crawfordsville,2 replications,NE93405,30,68
Iowa,Crawfordsville,2 replications,NE93427,31,47
Iowa,Crawfordsville,2 replications,WX92-0408,32,75
Iowa,Crawfordsville,2 replications,W93-460,33,36
Iowa,Crawfordsville,2 replications,T702,34,52
Iowa,Crawfordsville,2 replications,T834,35,57
Iowa,Crawfordsville,2 replications,T812,36,63
Iowa,Crawfordsville,2 replications,T861,37,69
Iowa,Crawfordsville,2 replications,T89,38,61
Iowa,Crawfordsville,2 replications,G1878,39,48
