state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,winter survival (%),winter injury (0-9)
Kansas,Colby,3 replications,CI1442,1,2789,71.3,105,120,100,2
Kansas,Colby,3 replications,CI13996,2,3024,72.9,85,120,93,3
Kansas,Colby,3 replications,PI495594,3,2647,71.9,58,120,100,2.3
Kansas,Colby,3 replications,KS93U206,4,2930,73.2,61,120,100,2.7
Kansas,Colby,3 replications,OK91P648,5,105,65,51,120,27,5
Kansas,Colby,3 replications,OK93P735,6,1914,67.9,56,120,93,3.3
Kansas,Colby,3 replications,OK93P634,7,1417,66.4,58,120,68,5
Kansas,Colby,3 replications,OK92403,8,2172,70.3,54,120,100,2.7
Kansas,Colby,3 replications,TX91D6913,9,2757,69,63,120,92,5
Kansas,Colby,3 replications,TX91D6991,10,2412,64.7,56,120,80,5
Kansas,Colby,3 replications,TX92V3108,11,2443,71.1,61,120,97,2.7
Kansas,Colby,3 replications,HBI0531-A2,12,2573,69.1,59,120,70,5.3
Kansas,Colby,3 replications,TX93V5919,13,1015,61.2,58,120,22,5.7
Kansas,Colby,3 replications,TX93V5922,14,220,.,52,120,0,6
Kansas,Colby,3 replications,TX93V4927,15,995,59.7,52,120,10,6
Kansas,Colby,3 replications,TX92V2519,16,1085,64.1,56,120,18,5.3
Kansas,Colby,3 replications,TXGH12588-105,17,2356,69.6,61,120,97,3
Kansas,Colby,3 replications,CO910424,18,3315,74.1,68,120,100,2.7
Kansas,Colby,3 replications,CO910748,19,2506,72.2,69,120,75,4.3
Kansas,Colby,3 replications,KS91H153-2,20,2186,70,56,120,65,4
Kansas,Colby,3 replications,KS941064-3,21,2484,68.4,58,120,85,4.3
Kansas,Colby,3 replications,KS941064-6,22,2614,71.2,54,120,82,4.7
Kansas,Colby,3 replications,KS940935-7-2-1,23,2302,67.9,54,120,93,3.7
Kansas,Colby,3 replications,KS940935-125-5-2,24,2865,68.2,59,120,93,5
Kansas,Colby,3 replications,KS85W663-11-6-MB,25,2145,70.5,61,120,73,5
Kansas,Colby,3 replications,KS84W063-9-39-3-MB,26,2827,70.6,66,120,97,3.7
Kansas,Colby,3 replications,NE90476,27,3089,70.1,69,120,100,2
Kansas,Colby,3 replications,NE92458,28,2556,72.7,66,120,97,2.3
Kansas,Colby,3 replications,NE92646,29,2369,70.7,63,120,100,3.3
Kansas,Colby,3 replications,NE93405,30,2645,72.2,71,120,100,2
Kansas,Colby,3 replications,NE93427,31,2340,71.6,64,120,93,3.7
Kansas,Colby,3 replications,WX92-0408,32,3309,74.6,63,120,100,2
Kansas,Colby,3 replications,W93-460,33,2665,67.3,66,120,67,5
Kansas,Colby,3 replications,T702,34,2757,67.2,59,120,67,5
Kansas,Colby,3 replications,T834,35,3004,71.9,66,120,93,3.3
Kansas,Colby,3 replications,T812,36,2825,71.5,56,120,93,3.7
Kansas,Colby,3 replications,T861,37,2647,70.4,59,120,100,3
Kansas,Colby,3 replications,T89,38,2432,69,59,120,100,2.7
Kansas,Colby,3 replications,G1878,39,2369,70.7,63,120,100,3.3
