state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Sidney,3 replications,CI1442,1,2345,85.1,121
Nebraska,Sidney,3 replications,CI13996,2,3380,85.8,108
Nebraska,Sidney,3 replications,PI495594,3,4687,82.4,99
Nebraska,Sidney,3 replications,HBZ374C,4,5916,85.5,109
Nebraska,Sidney,3 replications,OK91P648,5,6021,83.9,95
Nebraska,Sidney,3 replications,OK93P735,6,5936,85,91
Nebraska,Sidney,3 replications,OK93P656,7,5149,85.8,94
Nebraska,Sidney,3 replications,OK93P727,8,5736,86.3,94
Nebraska,Sidney,3 replications,TX91D6913,9,6304,83.3,102
Nebraska,Sidney,3 replications,TX91D6991,10,6487,84.1,99
Nebraska,Sidney,3 replications,TX90V6313,11,4261,85.1,95
Nebraska,Sidney,3 replications,TX92V4135,12,5239,85.3,89
Nebraska,Sidney,3 replications,HBE0726-1,13,6373,84.9,97
Nebraska,Sidney,3 replications,TX92V3108,14,5414,86.6,94
Nebraska,Sidney,3 replications,HBI0531-A2,15,5640,84.6,91
Nebraska,Sidney,3 replications,TX93V5919,16,6158,84.4,98
Nebraska,Sidney,3 replications,TX93V5922,17,6066,86.2,95
Nebraska,Sidney,3 replications,TX93V4927,18,3755,84,79
Nebraska,Sidney,3 replications,TX92V2519,19,5425,84.9,90
Nebraska,Sidney,3 replications,CO890323,20,4826,85.3,104
Nebraska,Sidney,3 replications,CO900166,21,5479,86.2,99
Nebraska,Sidney,3 replications,KS92PO263-137,22,5938,85.4,104
Nebraska,Sidney,3 replications,KS93U206,23,4618,82.6,99
Nebraska,Sidney,3 replications,KS91H153-2,24,4604,85.3,97
Nebraska,Sidney,3 replications,N93L058,25,5073,83.5,97
Nebraska,Sidney,3 replications,NE91651,26,5562,84.2,105
Nebraska,Sidney,3 replications,NE90476,27,4557,84,100
Nebraska,Sidney,3 replications,NE92458,28,6046,85.3,104
Nebraska,Sidney,3 replications,NE92614,29,4501,84,112
Nebraska,Sidney,3 replications,NE92646,30,5795,84.9,102
Nebraska,Sidney,3 replications,XH1706,31,6133,86.3,105
Nebraska,Sidney,3 replications,XH1752,32,5427,85.4,109
Nebraska,Sidney,3 replications,XH1778,33,5517,85.3,90
Nebraska,Sidney,3 replications,XH1798,34,5990,86.2,102
Nebraska,Sidney,3 replications,W91-091,35,5376,84.6,91
Nebraska,Sidney,3 replications,W91-287,36,5497,85,95
Nebraska,Sidney,3 replications,AP 7501,37,5949,85.4,97
Nebraska,Sidney,3 replications,WX92-0408,38,6301,85.8,95
Nebraska,Sidney,3 replications,WI89-163W,39,6216,86.7,94
Nebraska,Sidney,3 replications,WI90-540W,40,3773,83.6,86
Nebraska,Sidney,3 replications,W88-2619W,41,5911,85.1,95
Nebraska,Sidney,3 replications,T702,42,6153,85.8,94
Nebraska,Sidney,3 replications,T834,43,5687,83.5,107
Nebraska,Sidney,3 replications,T812,44,5974,83.9,94
Nebraska,Sidney,3 replications,T861,45,5667,83.3,98
