state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Colorado,Julesburg,3 replications,CI1442,1,1410,72.4
Colorado,Julesburg,3 replications,CI13996,2,1738,72
Colorado,Julesburg,3 replications,PI495594,3,1772,70.5
Colorado,Julesburg,3 replications,OK88767-11,4,1922,71.5
Colorado,Julesburg,3 replications,OK88767-02,5,1422,72.3
Colorado,Julesburg,3 replications,OK90604,6,1861,70.9
Colorado,Julesburg,3 replications,OK90649,7,1599,71.3
Colorado,Julesburg,3 replications,OK91783,8,1664,71.9
Colorado,Julesburg,3 replications,HBZ374C,9,2078,69.9
Colorado,Julesburg,3 replications,TX90D9277,10,1979,68.8
Colorado,Julesburg,3 replications,TX89A7137,11,1981,69
Colorado,Julesburg,3 replications,TX91V4931,12,1872,75.7
Colorado,Julesburg,3 replications,TX90V8410,13,1609,70.7
Colorado,Julesburg,3 replications,TX90V7911,14,1480,71
Colorado,Julesburg,3 replications,TX91V3308,15,1582,70.5
Colorado,Julesburg,3 replications,TX89A7141,16,1925,69.9
Colorado,Julesburg,3 replications,TX90V6313,17,1628,70.1
Colorado,Julesburg,3 replications,TX92V4135,18,1316,70.5
Colorado,Julesburg,3 replications,HBE0726-1,19,1635,66.6
Colorado,Julesburg,3 replications,CO880169,20,1625,67.7
Colorado,Julesburg,3 replications,CO880210,21,1847,71.3
Colorado,Julesburg,3 replications,CO910927,22,1742,68.8
Colorado,Julesburg,3 replications,KS92PO59E,23,2044,65.5
Colorado,Julesburg,3 replications,KS92PO263-137,24,1741,71
Colorado,Julesburg,3 replications,KS92PO363-134,25,1615,65.4
Colorado,Julesburg,3 replications,KS92PO425-155,26,2174,66.8
Colorado,Julesburg,3 replications,KS84063-9-39-3,27,2110,69.1
Colorado,Julesburg,3 replications,KS93U206,28,2011,69.4
Colorado,Julesburg,3 replications,N87V106,29,1501,71.2
Colorado,Julesburg,3 replications,NE90479,30,1695,71.8
Colorado,Julesburg,3 replications,NE90524,31,1888,70.9
Colorado,Julesburg,3 replications,NE91608,32,1764,70.7
Colorado,Julesburg,3 replications,NE91635,33,1710,70.7
Colorado,Julesburg,3 replications,NE91651,34,1444,68.1
Colorado,Julesburg,3 replications,XH1520,35,2176,70
Colorado,Julesburg,3 replications,XH1529,36,1815,70
Colorado,Julesburg,3 replications,XH1689,37,2457,67.4
Colorado,Julesburg,3 replications,XH1693,38,1912,69.8
Colorado,Julesburg,3 replications,XH1706,39,2368,68.9
Colorado,Julesburg,3 replications,WI89-273-13,40,1666,69.7
Colorado,Julesburg,3 replications,WI89-189-14,41,1625,71.6
Colorado,Julesburg,3 replications,T4731,42,1844,66.9
Colorado,Julesburg,3 replications,T4732,43,1770,66.2
Colorado,Julesburg,3 replications,T81,44,1892,70.8
Colorado,Julesburg,3 replications,T83,45,1653,69
Colorado,Julesburg,3 replications,PI559720,46,1580,69.8
Colorado,Julesburg,3 replications,CO860094,47,1628,64.2
Colorado,Julesburg,3 replications,PI559719,48,1661,70.5
Colorado,Julesburg,3 replications,NE84557,49,1864,72.3
Colorado,Julesburg,3 replications,MV16-85,50,1728,65.2
