state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
NEBRASKA,NORTH PLATTE,3,HBC302E,25,5884,79.5,88
NEBRASKA,NORTH PLATTE,3,N87V106,29,5882,79.2,95
NEBRASKA,NORTH PLATTE,3,T67,42,5435,80.1,95
NEBRASKA,NORTH PLATTE,3,T21-3,43,5284,76.5,93
NEBRASKA,NORTH PLATTE,3,KSSB-369-7,22,5278,80.5,89
NEBRASKA,NORTH PLATTE,3,TX84V1418HF,9,5222,78.3,90
NEBRASKA,NORTH PLATTE,3,XH1437,36,5154,80.2,90
NEBRASKA,NORTH PLATTE,3,TH902,45,5117,77.4,94
NEBRASKA,NORTH PLATTE,3,KS831374-142,23,5067,77.7,89
NEBRASKA,NORTH PLATTE,3,XH1497,37,5015,80,91
NEBRASKA,NORTH PLATTE,3,OK89421,7,4973,79.5,94
NEBRASKA,NORTH PLATTE,3,TH901,44,4972,77.1,94
NEBRASKA,NORTH PLATTE,3,OK88W833,4,4873,80.4,86
NEBRASKA,NORTH PLATTE,3,NE88595,30,4768,78.8,89
NEBRASKA,NORTH PLATTE,3,KS89H48-1,27,4651,78.7,89
NEBRASKA,NORTH PLATTE,3,W87-018,38,4639,79.5,80
NEBRASKA,NORTH PLATTE,3,TX88A6533,17,4588,79.7,75
NEBRASKA,NORTH PLATTE,3,KS84170E-8-3,24,4540,80.2,93
NEBRASKA,NORTH PLATTE,3,TX88A6480,16,4534,78.6,79
NEBRASKA,NORTH PLATTE,3,NE88588,3,4534,80.5,108
NEBRASKA,NORTH PLATTE,3,TAM-107,3,4530,78.7,86
NEBRASKA,NORTH PLATTE,3,TX88V4636,8,4505,77.9,89
NEBRASKA,NORTH PLATTE,3,WI88-181,39,4486,81,79
NEBRASKA,NORTH PLATTE,3,NE88427,31,4398,79.3,88
NEBRASKA,NORTH PLATTE,3,XH1436,35,4367,77.5,84
NEBRASKA,NORTH PLATTE,3,TX88V5433,15,4354,78.2,83
NEBRASKA,NORTH PLATTE,3,TX87V1613,12,4330,80,6
NEBRASKA,NORTH PLATTE,3,OK89399,6,4329,77.9,91
NEBRASKA,NORTH PLATTE,3,TX88V4524,13,4325,79.5,77
NEBRASKA,NORTH PLATTE,3,TX89V4138,14,4120,81,83
NEBRASKA,NORTH PLATTE,3,OK89499,5,4117,79.5,83
NEBRASKA,NORTH PLATTE,3,NE88584,32,3969,77.7,105
NEBRASKA,NORTH PLATTE,3,TX88V4635,11,3959,78.7,86
NEBRASKA,NORTH PLATTE,3,XH1319,34,3817,76.9,79
NEBRASKA,NORTH PLATTE,3,KS87H325-2,26,3795,78.3,93
NEBRASKA,NORTH PLATTE,3,KS89H50-4,28,3739,78.4,90
NEBRASKA,NORTH PLATTE,3,T13,41,3733,78.7,86
NEBRASKA,NORTH PLATTE,3,CO870499,21,3561,79.2,83
NEBRASKA,NORTH PLATTE,3,TX88V5440,10,3475,76.5,77
NEBRASKA,NORTH PLATTE,3,CO860086,18,3408,80,72
NEBRASKA,NORTH PLATTE,3,SCOUT66,2,3248,80.6,19
NEBRASKA,NORTH PLATTE,3,KHARKOF,1,2640,80.9,116
NEBRASKA,NORTH PLATTE,3,WI88-028,40,2561,80.9,67
NEBRASKA,NORTH PLATTE,3,CO860094,9,2251,82.4,88
NEBRASKA,NORTH PLATTE,3,CO860235,20,1679,77.5,81
