state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,North Platte,3 replications,CI1442,1,2640,80.9,116
Nebraska,North Platte,3 replications,CI13996,2,3248,80.6,109
Nebraska,North Platte,3 replications,PI495594,3,4530,78.7,86
Nebraska,North Platte,3 replications,OK88W833,4,4873,80.4,86
Nebraska,North Platte,3 replications,OK89499,5,4117,79.5,83
Nebraska,North Platte,3 replications,OK89399,6,4329,77.9,91
Nebraska,North Platte,3 replications,OK89421,7,4973,79.5,94
Nebraska,North Platte,3 replications,TX88V4636,8,4505,77.9,89
Nebraska,North Platte,3 replications,TX84V1418HF,9,5222,78.3,90
Nebraska,North Platte,3 replications,TX88V5440,10,3475,76.5,77
Nebraska,North Platte,3 replications,TX88V4635,11,3959,78.7,86
Nebraska,North Platte,3 replications,TX87V1613,12,4330,80,86
Nebraska,North Platte,3 replications,TX88V4524,13,4325,79.5,77
Nebraska,North Platte,3 replications,TX89V4138,14,4120,81,83
Nebraska,North Platte,3 replications,TX88V5433,15,4354,78.2,83
Nebraska,North Platte,3 replications,TX88A6480,16,4534,78.6,79
Nebraska,North Platte,3 replications,TX88A6533,17,4588,79.7,75
Nebraska,North Platte,3 replications,C0860086,18,3408,80,72
Nebraska,North Platte,3 replications,C0860094,19,2251,82.4,88
Nebraska,North Platte,3 replications,C0860235,20,1679,77.5,81
Nebraska,North Platte,3 replications,C0870449,21,3561,79.2,83
Nebraska,North Platte,3 replications,KSSB-369-7,22,5278,80.5,89
Nebraska,North Platte,3 replications,KS831374-142,23,5067,77.7,89
Nebraska,North Platte,3 replications,KS84170E-8-3,24,4540,80.2,93
Nebraska,North Platte,3 replications,HBC302E,25,5884,79.5,88
Nebraska,North Platte,3 replications,KS87H325-2,26,3795,78.3,93
Nebraska,North Platte,3 replications,KS89H48-1,27,4651,78.7,89
Nebraska,North Platte,3 replications,KS89H50-4,28,3739,78.4,90
Nebraska,North Platte,3 replications,N87V106,29,5882,79.2,95
Nebraska,North Platte,3 replications,NE88595,30,4768,78.8,89
Nebraska,North Platte,3 replications,NE88427,31,4398,79.3,88
Nebraska,North Platte,3 replications,NE88584,32,3969,77.7,105
Nebraska,North Platte,3 replications,NE88588,33,4534,80.5,108
Nebraska,North Platte,3 replications,XH1319,34,3817,76.9,79
Nebraska,North Platte,3 replications,XH1436,35,4367,77.5,84
Nebraska,North Platte,3 replications,XH1437,36,5154,80.2,90
Nebraska,North Platte,3 replications,XH1497,37,5015,80,91
Nebraska,North Platte,3 replications,W87-018,38,4639,79.5,80
Nebraska,North Platte,3 replications,WI88-181,39,4486,81,79
Nebraska,North Platte,3 replications,WI88-028,40,2561,80.9,67
Nebraska,North Platte,3 replications,T13,41,3733,78.7,86
Nebraska,North Platte,3 replications,T67,42,5435,80.1,95
Nebraska,North Platte,3 replications,T21-3,43,5284,76.5,93
Nebraska,North Platte,3 replications,TH901,44,4972,77.1,94
Nebraska,North Platte,3 replications,TH902,45,5117,77.4,94
