state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
OKLAHOMA,STILLWATER,3,KS92PO425-155,27,3985,70.3,84,124
OKLAHOMA,STILLWATER,3,KS92PO263-137,25,3924,76,93,124
OKLAHOMA,STILLWATER,3,KS92PO363-134,26,3836,73.1,91,125
OKLAHOMA,STILLWATER,3,XH1529,37,3653,78,94,120
OKLAHOMA,STILLWATER,3,T4731,42,3635,69.9,91,124
OKLAHOMA,STILLWATER,3,KS84063-9-7,23,3599,74.4,98,124
OKLAHOMA,STILLWATER,3,KS92PO59E,24,3574,72.8,86,124
OKLAHOMA,STILLWATER,3,XH1610,38,3511,75.7,98,123
OKLAHOMA,STILLWATER,3,OK88767-02,5,3501,76.6,91,121
OKLAHOMA,STILLWATER,3,W87-017-44,39,3481,74,88,125
OKLAHOMA,STILLWATER,3,TX91V3308,16,3463,71.1,94,123
OKLAHOMA,STILLWATER,3,WI89-055,40,3420,74.9,84,123
OKLAHOMA,STILLWATER,3,OK88767-15,6,3407,76.6,84,122
OKLAHOMA,STILLWATER,3,OK88767-11,4,3328,77.3,87,121
OKLAHOMA,STILLWATER,3,XH1455,34,3321,75.5,96,123
OKLAHOMA,STILLWATER,3,TX90V7911,14,3163,74.9,86,126
OKLAHOMA,STILLWATER,3,XH1520,36,3154,75.9,93,121
OKLAHOMA,STILLWATER,3,TH905,45,3142,75.3,91,122
OKLAHOMA,STILLWATER,3,TX90D9277,10,3120,75.1,89,125
OKLAHOMA,STILLWATER,3,OK88767-24,7,3081,73.9,88,121
OKLAHOMA,STILLWATER,3,NE90479,31,3024,78.2,90,126
OKLAHOMA,STILLWATER,3,N87v106,29,2887,71.9,90,122
OKLAHOMA,STILLWATER,3,XH1485,35,2855,74.9,98,124
OKLAHOMA,STILLWATER,3,KS831374-142,22,2846,76.1,87,121
OKLAHOMA,STILLWATER,3,KS89H48-1,28,2839,72.8,94,126
OKLAHOMA,STILLWATER,3,T70,43,2699,72.2,90,122
OKLAHOMA,STILLWATER,3,NE90574,33,2593,71.1,89,127
OKLAHOMA,STILLWATER,3,TX88A6533,9,2566,69.9,84,125
OKLAHOMA,STILLWATER,3,TX88A6480,8,2518,71.2,84,121
OKLAHOMA,STILLWATER,3,CO880054,18,2518,1.9,89,124
OKLAHOMA,STILLWATER,3,TX89A7141,17,2468,73.9,91,121
OKLAHOMA,STILLWATER,3,CO880210,20,2333,71.5,87,123
OKLAHOMA,STILLWATER,3,TX91V4931,12,2304,76.8,84,123
OKLAHOMA,STILLWATER,3,TAM-107,3,2295,71.6,87,121
OKLAHOMA,STILLWATER,3,NE88584,30,2292,77,92,126
OKLAHOMA,STILLWATER,3,TX89A7137,11,2287,72.6,84,121
OKLAHOMA,STILLWATER,3,NE90524,32,2283,75.1,89,126
OKLAHOMA,STILLWATER,3,CO880169,19,2227,71,90,124
OKLAHOMA,STILLWATER,3,T64,44,2095,71.3,89,126
OKLAHOMA,STILLWATER,3,TX90V8410,13,2073,74,83,125
OKLAHOMA,STILLWATER,3,CO880240,21,1946,68.5,92,131
OKLAHOMA,STILLWATER,3,T13,41,1915,68.2,86,126
OKLAHOMA,STILLWATER,3,TX91V5739,15,1558,68.9,83,120
OKLAHOMA,STILLWATER,3,Scout66,2,1406,76.2,91,127
OKLAHOMA,STILLWATER,3,Kharkof,1,1203,74.9,102,133
