state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,Sidney,2 replications,CI1442,1,3391,78.7,99
Nebraska,Sidney,2 replications,CI13996,2,3709,77.4,91
Nebraska,Sidney,2 replications,PI495594,3,3551,77.4,69
Nebraska,Sidney,2 replications,OK88767-11,4,2910,76.1,69
Nebraska,Sidney,2 replications,OK88767-02,5,3566,78.7,71
Nebraska,Sidney,2 replications,OK90604,6,2897,77.4,71
Nebraska,Sidney,2 replications,OK90649,7,3152,76.1,76
Nebraska,Sidney,2 replications,OK91783,8,2924,76.1,76
Nebraska,Sidney,2 replications,HBZ374C,9,3988,77.4,76
Nebraska,Sidney,2 replications,TX90D9277,10,2919,74.8,69
Nebraska,Sidney,2 replications,TX89A7137,11,4297,76.1,71
Nebraska,Sidney,2 replications,TX91V4931,12,2687,81.3,69
Nebraska,Sidney,2 replications,TX90V8410,13,3726,77.4,74
Nebraska,Sidney,2 replications,TX90V7911,14,2194,77.4,71
Nebraska,Sidney,2 replications,TX91V3308,15,3243,76.1,76
Nebraska,Sidney,2 replications,TX89A7141,16,4544,76.1,76
Nebraska,Sidney,2 replications,TX90V6313,17,3620,77.4,74
Nebraska,Sidney,2 replications,TX92V4135,18,3307,78.7,71
Nebraska,Sidney,2 replications,HBE0726-1,19,4943,78.7,76
Nebraska,Sidney,2 replications,CO880169,20,4625,78.7,84
Nebraska,Sidney,2 replications,CO880210,21,3882,78.7,79
Nebraska,Sidney,2 replications,CO910927,22,3855,76.1,74
Nebraska,Sidney,2 replications,KS92PO59E,23,4714,76.1,76
Nebraska,Sidney,2 replications,KS92PO263-137,24,4349,77.4,76
Nebraska,Sidney,2 replications,KS92PO363-134,25,3776,74.8,79
Nebraska,Sidney,2 replications,KS92PO425-155,26,4067,74.8,69
Nebraska,Sidney,2 replications,KS84063-9-39-3,27,4467,77.4,76
Nebraska,Sidney,2 replications,KS93U206,28,4386,77.4,74
Nebraska,Sidney,2 replications,N87V106,29,3694,77.4,74
Nebraska,Sidney,2 replications,NE90479,30,4067,78.7,86
Nebraska,Sidney,2 replications,NE90524,31,4625,77.4,76
Nebraska,Sidney,2 replications,NE91608,32,3110,77.4,79
Nebraska,Sidney,2 replications,NE91635,33,4351,77.4,79
Nebraska,Sidney,2 replications,NE91651,34,3959,74.8,76
Nebraska,Sidney,2 replications,XH1520,35,4373,77.4,76
Nebraska,Sidney,2 replications,XH1529,36,3980,77.4,69
Nebraska,Sidney,2 replications,XH1689,37,4368,77.4,76
Nebraska,Sidney,2 replications,XH1693,38,4908,78.7,74
Nebraska,Sidney,2 replications,XH1706,39,4761,76.1,69
Nebraska,Sidney,2 replications,WI89-273-13,40,3073,77.4,66
Nebraska,Sidney,2 replications,WI89-189-14,41,2927,78.7,61
Nebraska,Sidney,2 replications,T4731,42,3695,73.5,66
Nebraska,Sidney,2 replications,T4732,43,3104,74.8,69
Nebraska,Sidney,2 replications,T81,44,4672,78.7,69
Nebraska,Sidney,2 replications,T83,45,2991,74.8,71
