state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,days to flower from 1/1
Texas,Bushland (Drl.),3 replications,CI1442,1,1502,74.2,59,125,125
Texas,Bushland (Drl.),3 replications,CI13996,2,1029,74.8,47,118,120
Texas,Bushland (Drl.),3 replications,PI495594,3,520,74.3,39,110,112
Texas,Bushland (Drl.),3 replications,HBZ374C,4,684,72.4,39,119,121
Texas,Bushland (Drl.),3 replications,OK91P648,5,715,70.3,34,113,112
Texas,Bushland (Drl.),3 replications,OK93P735,6,1004,70.2,36,119,121
Texas,Bushland (Drl.),3 replications,OK93P656,7,720,73.9,40,112,111
Texas,Bushland (Drl.),3 replications,OK93P727,8,614,72.9,40,122,122
Texas,Bushland (Drl.),3 replications,TX91D6913,9,1874,72.1,47,119,120
Texas,Bushland (Drl.),3 replications,TX91D6991,10,751,71.9,39,117,120
Texas,Bushland (Drl.),3 replications,TX90V6313,11,525,70.6,37,123,126
Texas,Bushland (Drl.),3 replications,TX92V4135,12,502,74.2,39,115,115
Texas,Bushland (Drl.),3 replications,HBE0726-1,13,676,70.4,42,118,120
Texas,Bushland (Drl.),3 replications,TX92V3108,14,495,73.5,40,111,112
Texas,Bushland (Drl.),3 replications,HBI0531-A2,15,767,73.9,38,117,119
Texas,Bushland (Drl.),3 replications,TX93V5919,16,995,73.3,44,120,125
Texas,Bushland (Drl.),3 replications,TX93V5922,17,711,73.5,46,117,120
Texas,Bushland (Drl.),3 replications,TX93V4927,18,1148,74.4,39,111,111
Texas,Bushland (Drl.),3 replications,TX92V2519,19,715,74.3,38,110,109
Texas,Bushland (Drl.),3 replications,CO890323,20,1013,76.4,42,116,116
Texas,Bushland (Drl.),3 replications,CO900166,21,1235,74.8,43,117,120
Texas,Bushland (Drl.),3 replications,KS92PO263-137,22,1013,72.4,43,117,120
Texas,Bushland (Drl.),3 replications,KS93U206,23,383,74,39,110,109
Texas,Bushland (Drl.),3 replications,KS91H153-2,24,926,75.1,38,118,121
Texas,Bushland (Drl.),3 replications,N93L058,25,473,71.9,36,114,112
Texas,Bushland (Drl.),3 replications,NE91651,26,677,70.8,42,114,116
Texas,Bushland (Drl.),3 replications,NE90476,27,758,73.3,37,116,116
Texas,Bushland (Drl.),3 replications,NE92458,28,771,73.1,47,116,119
Texas,Bushland (Drl.),3 replications,NE92614,29,1047,73.9,41,118,119
Texas,Bushland (Drl.),3 replications,NE92646,30,827,72.6,41,119,121
Texas,Bushland (Drl.),3 replications,XH1706,31,1154,74.2,42,115,114
Texas,Bushland (Drl.),3 replications,XH1752,32,1024,72.1,44,115,116
Texas,Bushland (Drl.),3 replications,XH1778,33,628,74.4,36,116,116
Texas,Bushland (Drl.),3 replications,XH1798,34,509,71.2,37,110,109
Texas,Bushland (Drl.),3 replications,W91-091,35,572,72.4,39,112,116
Texas,Bushland (Drl.),3 replications,W91-287,36,621,73.3,39,116,115
Texas,Bushland (Drl.),3 replications,AP 7501,37,536,72.1,42,116,114
Texas,Bushland (Drl.),3 replications,WX92-0408,38,659,72.4,41,115,114
Texas,Bushland (Drl.),3 replications,WI89-163W,39,843,74.9,41,119,120
Texas,Bushland (Drl.),3 replications,WI90-540W,40,157,.,31,118,120
Texas,Bushland (Drl.),3 replications,W88-2619W,41,865,74.6,38,118,121
Texas,Bushland (Drl.),3 replications,T702,42,1430,75.9,43,113,115
Texas,Bushland (Drl.),3 replications,T834,43,677,70.4,49,116,116
Texas,Bushland (Drl.),3 replications,T812,44,442,73,38,110,109
Texas,Bushland (Drl.),3 replications,T861,45,336,74,37,113,116
