state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK87W663,4,
,,,OK87542,5,
,,,OK87630,6,
,,,OK88767,7,
,,,OK88W833,8,
,,,TX88V4636,9,
,,,TX84V1418HF,10,
,,,TX88V5440,11,
,,,TX88V4635,12,
,,,TX87V1613,13,
,,,TX88V4524,14,
,,,TX89V4138,15,
,,,TX88V5433,16,
,,,TX86D1310,17,
,,,TX86D1332,18,
,,,TX88D3424,19,
,,,C0850034,20,
,,,C0850061,21,
,,,C0860086,22,
,,,C0860094,23,
,,,KSSB-369-7,24,
,,,KSSB-192-3,25,
,,,HBC197F,26,
,,,KS87H6,27,
,,,KS88H12-1,28,
,,,KS88H12-2,29,
,,,NE87615,30,
,,,NE87409,31,
,,,NE87451,32,
,,,NE88595,33,
,,,NE88427,34,
,,,XH900,35,
,,,XH1231,36,
,,,XH1322,37,
,,,XH1514,38,
,,,WI88-083,39,
,,,WI88-024,40,
,,,T19-3,41,
,,,T67,42,
,,,T21-3,43,
,,,TH901,44,
,,,TH902,45,
