state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Nebraska,North Platte,3 replications,CI1442,1,370,.,107
Nebraska,North Platte,3 replications,CI13996,2,1074,81.3,102
Nebraska,North Platte,3 replications,PI495594,3,3123,79.1,97
Nebraska,North Platte,3 replications,HBZ374C,4,3405,84.4,99
Nebraska,North Platte,3 replications,OK91P648,5,4196,81.3,91
Nebraska,North Platte,3 replications,OK93P735,6,3656,82.3,91
Nebraska,North Platte,3 replications,OK93P656,7,2988,83.1,94
Nebraska,North Platte,3 replications,OK93P727,8,4317,83.3,91
Nebraska,North Platte,3 replications,TX91D6913,9,3488,81.3,102
Nebraska,North Platte,3 replications,TX91D6991,10,4817,82.3,104
Nebraska,North Platte,3 replications,TX90V6313,11,2284,80,86
Nebraska,North Platte,3 replications,TX92V4135,12,2939,82.6,89
Nebraska,North Platte,3 replications,HBE0726-1,13,3172,83.3,99
Nebraska,North Platte,3 replications,TX92V3108,14,3179,81.8,97
Nebraska,North Platte,3 replications,HBI0531-A2,15,4636,83.9,94
Nebraska,North Platte,3 replications,TX93V5919,16,4409,83.5,102
Nebraska,North Platte,3 replications,TX93V5922,17,4629,84.4,97
Nebraska,North Platte,3 replications,TX93V4927,18,2493,80.6,86
Nebraska,North Platte,3 replications,TX92V2519,19,3078,81.9,94
Nebraska,North Platte,3 replications,CO890323,20,2694,81.4,94
Nebraska,North Platte,3 replications,CO900166,21,2195,83.2,94
Nebraska,North Platte,3 replications,KS92PO263-137,22,3717,82.7,107
Nebraska,North Platte,3 replications,KS93U206,23,2708,80,94
Nebraska,North Platte,3 replications,KS91H153-2,24,1993,82.6,89
Nebraska,North Platte,3 replications,N93L058,25,4001,80.4,89
Nebraska,North Platte,3 replications,NE91651,26,3389,78.9,102
Nebraska,North Platte,3 replications,NE90476,27,2340,80.6,99
Nebraska,North Platte,3 replications,NE92458,28,3840,81.7,107
Nebraska,North Platte,3 replications,NE92614,29,1520,81.3,99
Nebraska,North Platte,3 replications,NE92646,30,3441,81.9,102
Nebraska,North Platte,3 replications,XH1706,31,2647,80.4,102
Nebraska,North Platte,3 replications,XH1752,32,3714,81.4,109
Nebraska,North Platte,3 replications,XH1778,33,2683,79.3,86
Nebraska,North Platte,3 replications,XH1798,34,2970,84.5,99
Nebraska,North Platte,3 replications,W91-091,35,4111,80.8,94
Nebraska,North Platte,3 replications,W91-287,36,2638,79.5,89
Nebraska,North Platte,3 replications,AP 7501,37,4098,80,97
Nebraska,North Platte,3 replications,WX92-0408,38,5284,81.4,94
Nebraska,North Platte,3 replications,WI89-163W,39,4147,82.6,89
Nebraska,North Platte,3 replications,WI90-540W,40,2105,79.3,94
Nebraska,North Platte,3 replications,W88-2619W,41,3466,77.1,91
Nebraska,North Platte,3 replications,T702,42,4051,81.7,84
Nebraska,North Platte,3 replications,T834,43,2085,80.2,94
Nebraska,North Platte,3 replications,T812,44,4125,80,91
Nebraska,North Platte,3 replications,T861,45,3853,79.1,99
