state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Oklahoma,Altus,3 replications,CI1442,1,618,71.1,77
Oklahoma,Altus,3 replications,CI13996,2,1066,77,77
Oklahoma,Altus,3 replications,PI495594,3,1534,72,68
Oklahoma,Altus,3 replications,OK88W833,4,2157,77,75
Oklahoma,Altus,3 replications,OK89499,5,2121,75.2,70
Oklahoma,Altus,3 replications,OK89399,6,1832,74.7,68
Oklahoma,Altus,3 replications,OK89421,7,2070,75.3,77
Oklahoma,Altus,3 replications,TX88V4636,8,2077,74.6,70
Oklahoma,Altus,3 replications,TX84V1418HF,9,1673,77.5,78
Oklahoma,Altus,3 replications,TX88V5440,10,2091,73.9,75
Oklahoma,Altus,3 replications,TX88V4635,11,2168,74.4,72
Oklahoma,Altus,3 replications,TX87V1613,12,1906,73.9,78
Oklahoma,Altus,3 replications,TX88V4524,13,1890,75.7,70
Oklahoma,Altus,3 replications,TX89V4138,14,1852,75.6,70
Oklahoma,Altus,3 replications,TX88V5433,15,2132,75.2,77
Oklahoma,Altus,3 replications,TX88A6480,16,1929,72.9,72
Oklahoma,Altus,3 replications,TX88A6533,17,2005,75.9,62
Oklahoma,Altus,3 replications,C0860086,18,1645,71.1,62
Oklahoma,Altus,3 replications,C0860094,19,1472,74.3,53
Oklahoma,Altus,3 replications,C0860235,20,664,74.9,53
Oklahoma,Altus,3 replications,C0870449,21,1548,72.2,68
Oklahoma,Altus,3 replications,KSSB-369-7,22,2075,73.1,72
Oklahoma,Altus,3 replications,KS831374-142,23,2348,75.1,78
Oklahoma,Altus,3 replications,KS84170E-8-3,24,2252,77,75
Oklahoma,Altus,3 replications,HBC302E,25,2042,74.3,73
Oklahoma,Altus,3 replications,KS87H325-2,26,2236,75.9,75
Oklahoma,Altus,3 replications,KS89H48-1,27,2347,73.8,75
Oklahoma,Altus,3 replications,KS89H50-4,28,2318,73.8,75
Oklahoma,Altus,3 replications,N87V106,29,2375,74.6,73
Oklahoma,Altus,3 replications,NE88595,30,1843,75.1,63
Oklahoma,Altus,3 replications,NE88427,31,1730,76.9,67
Oklahoma,Altus,3 replications,NE88584,32,1978,75.5,78
Oklahoma,Altus,3 replications,NE88588,33,1606,78.9,75
Oklahoma,Altus,3 replications,XH1319,34,1593,73.9,77
Oklahoma,Altus,3 replications,XH1436,35,2022,73.5,75
Oklahoma,Altus,3 replications,XH1437,36,2014,76.4,78
Oklahoma,Altus,3 replications,XH1497,37,1907,74.2,73
Oklahoma,Altus,3 replications,W87-018,38,2318,73.3,70
Oklahoma,Altus,3 replications,WI88-181,39,1931,73.8,68
Oklahoma,Altus,3 replications,WI88-028,40,2072,71.7,63
Oklahoma,Altus,3 replications,T13,41,1539,72.6,63
Oklahoma,Altus,3 replications,T67,42,1750,77.4,73
Oklahoma,Altus,3 replications,T21-3,43,1764,71.3,75
Oklahoma,Altus,3 replications,TH901,44,1694,72.2,75
Oklahoma,Altus,3 replications,TH902,45,1544,72.4,77
