state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl)
Nebraska,North Platte,3 replications,CI1442,1,2545,76.1
Nebraska,North Platte,3 replications,CI13996,2,3228,76.1
Nebraska,North Platte,3 replications,PI495594,3,3261,72.2
Nebraska,North Platte,3 replications,OK88767-11,4,2663,69.7
Nebraska,North Platte,3 replications,OK88767-02,5,1864,76.1
Nebraska,North Platte,3 replications,OK90604,6,2736,73.5
Nebraska,North Platte,3 replications,OK90649,7,2376,73.5
Nebraska,North Platte,3 replications,OK91783,8,2941,73.5
Nebraska,North Platte,3 replications,HBZ374C,9,3250,76.1
Nebraska,North Platte,3 replications,TX90D9277,10,3040,74.8
Nebraska,North Platte,3 replications,TX89A7137,11,3532,74.8
Nebraska,North Platte,3 replications,TX91V4931,12,2663,80
Nebraska,North Platte,3 replications,TX90V8410,13,2765,76.1
Nebraska,North Platte,3 replications,TX90V7911,14,2603,76.1
Nebraska,North Platte,3 replications,TX91V3308,15,2987,73.5
Nebraska,North Platte,3 replications,TX89A7141,16,3515,74.8
Nebraska,North Platte,3 replications,TX90V6313,17,2594,76.1
Nebraska,North Platte,3 replications,TX92V4135,18,2265,76.1
Nebraska,North Platte,3 replications,HBE0726-1,19,2840,73.5
Nebraska,North Platte,3 replications,CO880169,20,2886,76.1
Nebraska,North Platte,3 replications,CO880210,21,3069,77.4
Nebraska,North Platte,3 replications,CO910927,22,3150,74.8
Nebraska,North Platte,3 replications,KS92PO59E,23,3593,74.8
Nebraska,North Platte,3 replications,KS92PO263-137,24,3997,71
Nebraska,North Platte,3 replications,KS92PO363-134,25,3499,72.2
Nebraska,North Platte,3 replications,KS92PO425-155,26,3216,74.8
Nebraska,North Platte,3 replications,KS84063-9-39-3,27,3342,76.1
Nebraska,North Platte,3 replications,KS93U206,28,3472,76.1
Nebraska,North Platte,3 replications,N87V106,29,3348,76.1
Nebraska,North Platte,3 replications,NE90479,30,3460,76.1
Nebraska,North Platte,3 replications,NE90524,31,3785,76.1
Nebraska,North Platte,3 replications,NE91608,32,3295,77.4
Nebraska,North Platte,3 replications,NE91635,33,3648,76.1
Nebraska,North Platte,3 replications,NE91651,34,3395,73.5
Nebraska,North Platte,3 replications,XH1520,35,3349,76.1
Nebraska,North Platte,3 replications,XH1529,36,2471,73.5
Nebraska,North Platte,3 replications,XH1689,37,4203,76.1
Nebraska,North Platte,3 replications,XH1693,38,3967,77.4
Nebraska,North Platte,3 replications,XH1706,39,4108,74.8
Nebraska,North Platte,3 replications,WI89-273-13,40,2830,76.1
Nebraska,North Platte,3 replications,WI89-189-14,41,3011,78.7
Nebraska,North Platte,3 replications,T4731,42,3389,72.2
Nebraska,North Platte,3 replications,T4732,43,3874,73.5
Nebraska,North Platte,3 replications,T81,44,3578,77.4
Nebraska,North Platte,3 replications,T83,45,3002,72.2
