state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),winter survival (%)
Colorado,Julesburg,3 replications,CI1442,1,2184,72.1,112,80
Colorado,Julesburg,3 replications,CI13996,2,2221,77.4,91,80
Colorado,Julesburg,3 replications,PI495594,3,2151,80.8,71,80
Colorado,Julesburg,3 replications,OK88W833,4,2012,78,76,80
Colorado,Julesburg,3 replications,OK89499,5,2185,78.3,71,80
Colorado,Julesburg,3 replications,OK89399,6,2243,75.2,76,80
Colorado,Julesburg,3 replications,OK89421,7,2053,79.5,76,80
Colorado,Julesburg,3 replications,TX88V4636,8,1575,73,71,80
Colorado,Julesburg,3 replications,TX84V1418HF,9,1264,78.9,76,80
Colorado,Julesburg,3 replications,TX88V5440,10,1773,73.3,71,80
Colorado,Julesburg,3 replications,TX88V4635,11,1315,79.2,66,80
Colorado,Julesburg,3 replications,TX87V1613,12,1675,77.7,76,80
Colorado,Julesburg,3 replications,TX88V4524,13,2560,76.1,66,80
Colorado,Julesburg,3 replications,TX89V4138,14,1490,76.8,71,80
Colorado,Julesburg,3 replications,TX88V5433,15,1823,76.1,76,50
Colorado,Julesburg,3 replications,TX88A6480,16,2091,77.7,69,80
Colorado,Julesburg,3 replications,TX88A6533,17,2338,76.4,69,80
Colorado,Julesburg,3 replications,C0860086,18,1785,73.7,71,80
Colorado,Julesburg,3 replications,C0860094,19,3243,70.3,76,80
Colorado,Julesburg,3 replications,C0860235,20,2619,69.6,76,60
Colorado,Julesburg,3 replications,C0870449,21,1621,76.8,76,50
Colorado,Julesburg,3 replications,KSSB-369-7,22,1625,79.2,64,50
Colorado,Julesburg,3 replications,KS831374-142,23,1720,75.5,71,80
Colorado,Julesburg,3 replications,KS84170E-8-3,24,2253,75.8,66,80
Colorado,Julesburg,3 replications,HBC302E,25,1608,73.3,71,80
Colorado,Julesburg,3 replications,KS87H325-2,26,1837,77.4,76,80
Colorado,Julesburg,3 replications,KS89H48-1,27,2183,74.9,76,80
Colorado,Julesburg,3 replications,KS89H50-4,28,2070,78.3,79,80
Colorado,Julesburg,3 replications,N87V106,29,1504,77.1,76,80
Colorado,Julesburg,3 replications,NE88595,30,2517,77.4,81,80
Colorado,Julesburg,3 replications,NE88427,31,2274,77.7,71,80
Colorado,Julesburg,3 replications,NE88584,32,2280,76.8,81,80
Colorado,Julesburg,3 replications,NE88588,33,2026,79.2,79,80
Colorado,Julesburg,3 replications,XH1319,34,2169,74.9,81,80
Colorado,Julesburg,3 replications,XH1436,35,2230,75.8,76,80
Colorado,Julesburg,3 replications,XH1437,36,2090,78.3,86,80
Colorado,Julesburg,3 replications,XH1497,37,2144,78,76,80
Colorado,Julesburg,3 replications,W87-018,38,2017,78.3,71,80
Colorado,Julesburg,3 replications,WI88-181,39,1344,78.9,66,50
Colorado,Julesburg,3 replications,WI88-028,40,1622,69.6,69,50
Colorado,Julesburg,3 replications,T13,41,2272,77.4,74,80
Colorado,Julesburg,3 replications,T67,42,1519,77.4,81,80
Colorado,Julesburg,3 replications,T21-3,43,1832,77.4,79,80
Colorado,Julesburg,3 replications,TH901,44,1661,76.8,71,80
Colorado,Julesburg,3 replications,TH902,45,1717,77.4,76,80
