state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
KANSAS,HAYS,3,XH1529,37,5030,77,93,139
KANSAS,HAYS,3,OK88767-11,4,4409,76.9,97,141
KANSAS,HAYS,3,XH1520,36,4338,76.5,97,14
KANSAS,HAYS,3,KS89H48-1,28,4158,75.7,101,142
KANSAS,HAYS,3,XH1455,34,4145,76.5,101,143
KANSAS,HAYS,3,TX8947141,17,4073,74.2,96,141
KANSAS,HAYS,3,TX88A6533,9,4048,74.4,86,143
KANSAS,HAYS,3,TAM-107,3,4028,74.1,104,14
KANSAS,HAYS,3,KSB31374-142,22,3977,76.1,93,140
KANSAS,HAYS,3,OK88767-15,6,3945,76.4,80,142
KANSAS,HAYS,3,KS92PO425-155,27,3901,72.6,85,144
KANSAS,HAYS,3,XH1485,35,3856,75.9,102,142
KANSAS,HAYS,3,OK88767-02,5,3818,77,90,141
KANSAS,HAYS,3,TX90V8410,13,3813,74,91,142
KANSAS,HAYS,3,NE90479,31,3811,75.9,98,142
KANSAS,HAYS,3,T13,41,3741,72,97,143
KANSAS,HAYS,3,KS92PO263-137,25,3717,72.6,93,143
KANSAS,HAYS,3,OK88767-24,7,3712,76.2,89,142
KANSAS,HAYS,3,TX91V5739,15,3701,74.5,97,139
KANSAS,HAYS,3,KS92PO59E,24,3674,69.7,91,144
KANSAS,HAYS,3,TX88A6480,8,3658,74.5,89,142
KANSAS,HAYS,3,T64,44,3598,74.9,98,142
KANSAS,HAYS,3,T70,43,3589,74.6,91,143
KANSAS,HAYS,3,TX89A7137,11,3571,73.2,93,141
KANSAS,HAYS,3,CO880169,19,3566,73.1,102,143
KANSAS,HAYS,3,WI89-055,40,3537,76.7,88,141
KANSAS,HAYS,3,CO880210,20,3488,74,91,143
KANSAS,HAYS,3,CO880240,21,3468,73.5,99,147
KANSAS,HAYS,3,TX91V4931,12,3459,78,91,142
KANSAS,HAYS,3,TX90V7911,14,3450,73.2,89,144
KANSAS,HAYS,3,TH905,45,3360,72.8,101,141
KANSAS,HAYS,3,NE90574,33,3199,70.6,10,143
KANSAS,HAYS,3,TX90D9277,10,3109,71.3,91,144
KANSAS,HAYS,3,CO880054,18,3040,71.7,92,144
KANSAS,HAYS,3,Scout66,2,3031,76.3,119,145
KANSAS,HAYS,3,XH1610,38,3020,72,95,143
KANSAS,HAYS,3,KS92P0363-134,26,2887,73.6,97,143
KANSAS,HAYS,3,W87-017-44,39,2589,75.6,93,142
KANSAS,HAYS,3,T4731,42,2401,67.4,95,143
KANSAS,HAYS,3,TX91V3308,16,2091,72.6,95,143
KANSAS,HAYS,3,KS84063-9-7,23,2062,72.9,100,142
KANSAS,HAYS,3,NE88584,30,2040,74.8,108,142
KANSAS,HAYS,3,NE90524,32,2024,75.2,108,142
KANSAS,HAYS,3,Kharkof,1,1986,74.2,113,151
KANSAS,HAYS,3,N87V106,29,1892,74.9,102,140
