state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK88767-11,4,
,,,OK88767-02,5,
,,,OK90604,6,
,,,OK90649,7,
,,,OK91783,8,
,,,HBZ374C,9,
,,,TX90D9277,10,
,,,TX89A7137,11,
,,,TX91V4931,12,
,,,TX90V8410,13,
,,,TX90V7911,14,
,,,TX91V3308,15,
,,,TX89A7141,16,
,,,TX90V6313,17,
,,,TX92V4135,18,
,,,HBE0726-1,19,
,,,CO880169,20,
,,,CO880210,21,
,,,CO910927,22,
,,,KS92PO59E,23,
,,,KS92PO263-137,24,
,,,KS92PO363-134,25,
,,,KS92PO425-155,26,
,,,KS84063-9-39-3,27,
,,,KS93U206,28,
,,,N87V106,29,
,,,NE90479,30,
,,,NE90524,31,
,,,NE91608,32,
,,,NE91635,33,
,,,NE91651,34,
,,,XH1520,35,
,,,XH1529,36,
,,,XH1689,37,
,,,XH1693,38,
,,,XH1706,39,
,,,WI89-273-13,40,
,,,WI89-189-14,41,
,,,T4731,42,
,,,T4732,43,
,,,T81,44,
,,,T83,45,
