state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
Kansas,Garden City ,3 replications,CI1442,1,2836,74.4,108,146,2
Kansas,Garden City ,3 replications,CI13996,2,4090,78.3,108,141,0
Kansas,Garden City ,3 replications,PI495594,3,4256,76.1,85,139,2
Kansas,Garden City ,3 replications,OK88767-11,4,4037,79.6,83,140,8
Kansas,Garden City ,3 replications,OK88767-02,5,3508,78.7,80,140,0
Kansas,Garden City ,3 replications,OK88767-15,6,3645,77,80,141,0
Kansas,Garden City ,3 replications,OK88767-24,7,3672,78.3,80,140,3
Kansas,Garden City ,3 replications,TX88A6480,8,3460,76.5,86,140,0
Kansas,Garden City ,3 replications,TX88A6533,9,3373,77,76,141,2
Kansas,Garden City ,3 replications,TX90D9277,10,3660,75.3,82,142,0
Kansas,Garden City ,3 replications,TX89A7137,11,3591,75.3,80,140,0
Kansas,Garden City ,3 replications,TX91V4931,12,3770,79.6,81,141,7
Kansas,Garden City ,3 replications,TX90V8410,13,4287,75.7,85,142,0
Kansas,Garden City ,3 replications,TX9OV7911,14,4130,77.8,85,141,0
Kansas,Garden City ,3 replications,TX91V5739,15,3086,72.7,81,140,0
Kansas,Garden City ,3 replications,TX91V3308,16,3615,76.1,86,141,0
Kansas,Garden City ,3 replications,TX89A7141,17,3907,77,83,139,0
Kansas,Garden City ,3 replications,C0880054,18,3821,77,83,141,0
Kansas,Garden City ,3 replications,CO880169,19,3885,78.3,92,142,2
Kansas,Garden City ,3 replications,CO88021,20,4377,77.8,86,140,0
Kansas,Garden City ,3 replications,CO880240,21,4019,77.4,94,144,0
Kansas,Garden City ,3 replications,KS831374-142,22,3907,77.8,85,138,0
Kansas,Garden City ,3 replications,KS84063-9-7,23,3274,76.1,89,141,2
Kansas,Garden City ,3 replications,KS92PO59E,24,4402,74.4,85,142,0
Kansas,Garden City ,3 replications,KS92PO263-137,25,4225,78.7,84,141,0
Kansas,Garden City ,3 replications,KS92PO363-134,26,3891,76.5,88,141,0
Kansas,Garden City ,3 replications,KS92PO425-155,27,4980,74,79,143,0
Kansas,Garden City ,3 replications,KS89H48-1,28,4428,77.4,91,141,0
Kansas,Garden City ,3 replications,N87V106,29,3610,77,91,140,2
Kansas,Garden City ,3 replications,NE88584,30,3523,77.8,108,142,3
Kansas,Garden City ,3 replications,NE90479,31,4105,79.6,95,141,0
Kansas,Garden City ,3 replications,NE90524,32,4461,77.8,101,140,0
Kansas,Garden City ,3 replications,NE90574,33,3847,76.5,99,142,0
Kansas,Garden City ,3 replications,XH1455,34,4498,79.6,89,140,0
Kansas,Garden City ,3 replications,XH1485,35,4377,77.8,89,141,2
Kansas,Garden City ,3 replications,XH1520,36,3854,78.7,86,139,7
Kansas,Garden City ,3 replications,XH1529,37,4655,78.7,86,139,0
Kansas,Garden City ,3 replications,XH1610,38,4258,77.4,89,141,0
Kansas,Garden City ,3 replications,W87-017-44,39,3341,78.7,84,140,0
Kansas,Garden City ,3 replications,WI89-055,40,4054,80,80,140,0
Kansas,Garden City ,3 replications,T13,41,3858,76.1,85,141,0
Kansas,Garden City ,3 replications,T4731,42,3976,75.7,89,141,0
Kansas,Garden City ,3 replications,T70,43,4482,79.6,86,141,2
Kansas,Garden City ,3 replications,T64,44,4590,77.8,90,140,0
Kansas,Garden City ,3 replications,TH905,45,3833,76.5,92,139,2
