state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm
S. DAKOTA,WINNER,3,NE89522,17,4960,71.8,91
S. DAKOTA,WINNER,3,XNH1687,28,4896,71.9,94
S. DAKOTA,WINNER,3,NE89657,19,4889,71.6,86
S. DAKOTA,WINNER,3,WI88-083,30,4836,72.1,82
S. DAKOTA,WINNER,3,NE88595,23,4745,70.5,97
S. DAKOTA,WINNER,3,Abilene,3,4732,74.5,79
S. DAKOTA,WINNER,3,NE87615,20,4675,71.6,80
S. DAKOTA,WINNER,3,NE88526,22,4600,72.3,93
S. DAKOTA,WINNER,3,NE89526,18,4566,72.5,93
S. DAKOTA,WINNER,3,XNH1650,27,4470,69,93
S. DAKOTA,WINNER,3,NE90625,21,4468,67.8,90
S. DAKOTA,WINNER,3,NE88588,24,4263,73.9,103
S. DAKOTA,WINNER,3,SD89119,9,4136,71.8,94
S. DAKOTA,WINNER,3,SD89204,6,4103,67.6,90
S. DAKOTA,WINNER,3,ND8955,13,4017,69,96
S. DAKOTA,WINNER,3,SD88231,8,4011,73.4,92
S. DAKOTA,WINNER,3,SD89102,7,3974,75,95
S. DAKOTA,WINNER,3,SD87143,5,3905,71.6,93
S. DAKOTA,WINNER,3,ND90109,16,3891,71.2,95
S. DAKOTA,WINNER,3,SD89333,10,3878,71.6,102
S. DAKOTA,WINNER,3,XNH1643,25,3802,69.9,89
S. DAKOTA,WINNER,3,ND8889,15,3801,70.5,102
S. DAKOTA,WINNER,3,XNH1648,26,3789,71,90
S. DAKOTA,WINNER,3,XNH1712,29,3787,71.4,87
S. DAKOTA,WINNER,3,SD88201,4,3496,73.4,104
S. DAKOTA,WINNER,3,MT8713,31,3280,70.1,90
S. DAKOTA,WINNER,3,W-198,34,3080,68.1,102
S. DAKOTA,WINNER,3,Roughrider,2,2982,70.3,101
S. DAKOTA,WINNER,3,ND89142,14,2892,71.8,100
S. DAKOTA,WINNER,3,ND8933,12,2815,69,99
S. DAKOTA,WINNER,3,ND8930,11,2772,71.8,102
S. DAKOTA,WINNER,3,MT8719,32,2674,70.5,91
S. DAKOTA,WINNER,3,W-235,35,2623,68.7,100
S. DAKOTA,WINNER,3,Kharkof,1,2618,68.7,98
S. DAKOTA,WINNER,3,IDO426,33,2335,65.6,82
