state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
KANSAS,COLBY,3,T13,41,2425,72.2,76,130
KANSAS,COLBY,3,XH1497,37,2289,68.8,80,128
KANSAS,COLBY,3,OK88W833,4,2230,66.4,76,127
KANSAS,COLBY,3,NE88427,31,2132,68.7,76,131
KANSAS,COLBY,3,TAM-107,3,2038,63,77,127
KANSAS,COLBY,3,CO860086,18,2011,71,68,133
KANSAS,COLBY,3,KHARKOF,1,1984,76.7,102,137
KANSAS,COLBY,3,W87-018,38,1932,62.3,73,127
KANSAS,COLBY,3,TX89V4138,14,1928,71.9,74,129
KANSAS,COLBY,3,KS89H50-4,28,1903,68.7,79,130
KANSAS,COLBY,3,TH901,44,1883,60.9,81,128
KANSAS,COLBY,3,KS89H48-1,27,1879,62,75,130
KANSAS,COLBY,3,OK89421,7,1865,64.5,79,139
KANSAS,COLBY,3,NE88588,33,1861,64.3,85,131
KANSAS,COLBY,3,NE88595,30,1834,68.3,78,131
KANSAS,COLBY,3,XH1437,36,1825,69.8,86,130
KANSAS,COLBY,3,WI88-181,39,1814,60.8,69,128
KANSAS,COLBY,3,NE88584,32,1733,63.8,86,131
KANSAS,COLBY,3,TX88V4524,13,1722,56,70,128
KANSAS,COLBY,3,SCOUT66,2,1704,76.2,95,132
KANSAS,COLBY,3,KS831374-142,23,1681,59.4,74,127
KANSAS,COLBY,3,TX88V5440,10,1657,55.8,72,127
KANSAS,COLBY,3,TX88V4636,8,1632,67.8,75,132
KANSAS,COLBY,3,TX88V5433,15,1610,55.2,71,128
KANSAS,COLBY,3,XH1319,34,1583,62.7,82,129
KANSAS,COLBY,3,XH1436,35,1576,61.3,79,130
KANSAS,COLBY,3,TH902,45,1556,57.8,83,128
KANSAS,COLBY,3,N87V106,29,1533,56.8,80,129
KANSAS,COLBY,3,TX88V4635,11,1511,65.7,73,132
KANSAS,COLBY,3,TX88A6533,17,1502,60.2,69,130
KANSAS,COLBY,3,KS84170E-8-3,24,1417,58.2,80,129
KANSAS,COLBY,3,OK89499,5,1410,66.1,69,132
KANSAS,COLBY,3,CO870449,21,1408,57.1,75,131
KANSAS,COLBY,3,TX88A6480,16,1374,51.1,69,129
KANSAS,COLBY,3,OK89399,6,1367,64.2,79,131
KANSAS,COLBY,3,T21-3,43,1363,60.3,80,128
KANSAS,COLBY,3,KS87H325-2,26,1338,59,75,128
KANSAS,COLBY,3,T67,42,1246,57.6,85,130
KANSAS,COLBY,3,CO860094,19,1222,71.1,74,135
KANSAS,COLBY,3,HBC302E,25,1175,60.2,73,131
KANSAS,COLBY,3,TX84V1418HF,9,1114,54.1,80,130
KANSAS,COLBY,3,CO860235,20,1047,65.8,69,134
KANSAS,COLBY,3,TX87V1613,12,1031,60.2,79,130
KANSAS,COLBY,3,KSSB-369-7,22,908,54.8,69,130
KANSAS,COLBY,3,WI88-028,40,890,68.8,65,132
