state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm)
Oklahoma,Lahoma,3 replications,CI1442,1,2575,70.2,78
Oklahoma,Lahoma,3 replications,CI13996,2,3011,72.6,77
Oklahoma,Lahoma,3 replications,PI495594,3,3389,73.1,63
Oklahoma,Lahoma,3 replications,KS93U206,4,3418,72.4,65
Oklahoma,Lahoma,3 replications,OK91P648,5,3088,70.8,53
Oklahoma,Lahoma,3 replications,OK93P735,6,2821,72.2,58
Oklahoma,Lahoma,3 replications,OK93P634,7,2625,73.5,62
Oklahoma,Lahoma,3 replications,OK92403,8,2932,76,55
Oklahoma,Lahoma,3 replications,TX91D6913,9,2989,69.5,62
Oklahoma,Lahoma,3 replications,TX91D6991,10,3059,71.7,58
Oklahoma,Lahoma,3 replications,TX92V3108,11,3508,77.3,68
Oklahoma,Lahoma,3 replications,HBI0531-A2,12,3284,69.4,58
Oklahoma,Lahoma,3 replications,TX93V5919,13,4051,74.6,63
Oklahoma,Lahoma,3 replications,TX93V5922,14,2871,75.5,58
Oklahoma,Lahoma,3 replications,TX93V4927,15,2719,73.5,50
Oklahoma,Lahoma,3 replications,TX92V2519,16,2848,73,55
Oklahoma,Lahoma,3 replications,TXGH12588-105,17,2973,72,62
Oklahoma,Lahoma,3 replications,CO910424,18,2873,75.3,62
Oklahoma,Lahoma,3 replications,CO910748,19,2929,69.9,60
Oklahoma,Lahoma,3 replications,KS91H153-2,20,3224,72.4,60
Oklahoma,Lahoma,3 replications,KS941064-3,21,3133,70.3,58
Oklahoma,Lahoma,3 replications,KS941064-6,22,2837,68.9,52
Oklahoma,Lahoma,3 replications,KS940935-7-2-1,23,2900,73.4,57
Oklahoma,Lahoma,3 replications,KS940935-125-5-2,24,3244,72.5,62
Oklahoma,Lahoma,3 replications,KS85W663-11-6-MB,25,2814,72.6,55
Oklahoma,Lahoma,3 replications,KS84W063-9-39-3-MB,26,2756,70.4,63
Oklahoma,Lahoma,3 replications,NE90476,27,3676,72.2,58
Oklahoma,Lahoma,3 replications,NE92458,28,3770,75.1,65
Oklahoma,Lahoma,3 replications,NE92646,29,3208,73.9,67
Oklahoma,Lahoma,3 replications,NE93405,30,2864,72.4,65
Oklahoma,Lahoma,3 replications,NE93427,31,3472,74.7,58
Oklahoma,Lahoma,3 replications,WX92-0408,32,3899,72.2,62
Oklahoma,Lahoma,3 replications,W93-460,33,2446,71.7,60
Oklahoma,Lahoma,3 replications,T702,34,3805,73,63
Oklahoma,Lahoma,3 replications,T834,35,3675,69,70
Oklahoma,Lahoma,3 replications,T812,36,3230,71.3,62
Oklahoma,Lahoma,3 replications,T861,37,3319,73.1,62
Oklahoma,Lahoma,3 replications,T89,38,3581,72.4,60
Oklahoma,Lahoma,3 replications,G1878,39,3149,77.7,65
