state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),lodging (%)
Texas,Bushland (Irr.),3 replications,CI1442,1,3107,75.1,110,80
Texas,Bushland (Irr.),3 replications,CI13996,2,4268,73.4,106,85
Texas,Bushland (Irr.),3 replications,PI495594,3,5259,71.9,85,43
Texas,Bushland (Irr.),3 replications,OK88W833,4,6261,76.2,84,38
Texas,Bushland (Irr.),3 replications,OK89499,5,4999,73.1,93,25
Texas,Bushland (Irr.),3 replications,OK89399,6,4907,72,93,33
Texas,Bushland (Irr.),3 replications,OK89421,7,5438,74.2,96,50
Texas,Bushland (Irr.),3 replications,TX88V4636,8,5577,72.5,89,58
Texas,Bushland (Irr.),3 replications,TX84V1418HF,9,4974,73,89,35
Texas,Bushland (Irr.),3 replications,TX88V5440,10,5331,73,72,37
Texas,Bushland (Irr.),3 replications,TX88V4635,11,5748,72,92,35
Texas,Bushland (Irr.),3 replications,TX87V1613,12,5580,75.3,91,32
Texas,Bushland (Irr.),3 replications,TX88V4524,13,6075,74.7,80,10
Texas,Bushland (Irr.),3 replications,TX89V4138,14,5064,75.6,90,52
Texas,Bushland (Irr.),3 replications,TX88V5433,15,5784,74,81,42
Texas,Bushland (Irr.),3 replications,TX88A6480,16,5483,73.7,86,27
Texas,Bushland (Irr.),3 replications,TX88A6533,17,5506,75.5,83,18
Texas,Bushland (Irr.),3 replications,C0860086,18,4634,70.7,85,20
Texas,Bushland (Irr.),3 replications,C0860094,19,4129,69.3,88,25
Texas,Bushland (Irr.),3 replications,C0860235,20,3578,71.9,88,13
Texas,Bushland (Irr.),3 replications,C0870449,21,4936,71.9,89,53
Texas,Bushland (Irr.),3 replications,KSSB-369-7,22,6436,76.8,78,47
Texas,Bushland (Irr.),3 replications,KS831374-142,23,6012,74.9,86,40
Texas,Bushland (Irr.),3 replications,KS84170E-8-3,24,6528,77.8,89,23
Texas,Bushland (Irr.),3 replications,HBC302E,25,6032,76.9,90,20
Texas,Bushland (Irr.),3 replications,KS87H325-2,26,6023,74.7,88,33
Texas,Bushland (Irr.),3 replications,KS89H48-1,27,6225,74.2,94,53
Texas,Bushland (Irr.),3 replications,KS89H50-4,28,5521,74.4,97,47
Texas,Bushland (Irr.),3 replications,N87V106,29,5987,75.2,93,60
Texas,Bushland (Irr.),3 replications,NE88595,30,4985,72.8,94,68
Texas,Bushland (Irr.),3 replications,NE88427,31,5138,75.5,91,35
Texas,Bushland (Irr.),3 replications,NE88584,32,5183,75.9,102,62
Texas,Bushland (Irr.),3 replications,NE88588,33,5907,77.8,95,45
Texas,Bushland (Irr.),3 replications,XH1319,34,6023,72.9,90,42
Texas,Bushland (Irr.),3 replications,XH1436,35,5671,72.2,93,25
Texas,Bushland (Irr.),3 replications,XH1437,36,5530,76.8,93,47
Texas,Bushland (Irr.),3 replications,XH1497,37,6328,75.3,92,35
Texas,Bushland (Irr.),3 replications,W87-018,38,6575,75.9,86,17
Texas,Bushland (Irr.),3 replications,WI88-181,39,5532,74.6,82,40
Texas,Bushland (Irr.),3 replications,WI88-028,40,5492,75.1,76,18
Texas,Bushland (Irr.),3 replications,T13,41,5001,73,91,37
Texas,Bushland (Irr.),3 replications,T67,42,5528,76.4,94,40
Texas,Bushland (Irr.),3 replications,T21-3,43,5849,74,95,38
Texas,Bushland (Irr.),3 replications,TH901,44,5319,73.7,90,57
Texas,Bushland (Irr.),3 replications,TH902,45,5006,71.5,91,47
