"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","plant heigh (cm)","days to heading from 1/1","lodging %"
"TEXAS","BUSHLAND (IRR.)",3,"CI1442",1,4286,75.9,110,132,57
"TEXAS","BUSHLAND (IRR.)",3,"CI13996",2,5311,78,97,123,33
"TEXAS","BUSHLAND (IRR.)",3,"PI495594",3,6682,77.8,83,117,5
"TEXAS","BUSHLAND (IRR.)",3,"OK87W663",4,6382,79.6,82,119,0
"TEXAS","BUSHLAND (IRR.)",3,"OK87542",5,6205,77.3,86,121,8
"TEXAS","BUSHLAND (IRR.)",3,"OK87630",6,6191,76.8,86,118,0
"TEXAS","BUSHLAND (IRR.)",3,"OK88767",7,6059,79.2,86,121,10
"TEXAS","BUSHLAND (IRR.)",3,"OK88W833",8,5990,78.8,85,118,8
"TEXAS","BUSHLAND (IRR.)",3,"TX88V4636",9,7402,76.8,87,123,15
"TEXAS","BUSHLAND (IRR.)",3,"TX84V1418HF",10,6344,78.8,90,122,10
"TEXAS","BUSHLAND (IRR.)",3,"TX88V5440",11,5667,75.9,82,117,10
"TEXAS","BUSHLAND (IRR.)",3,"TX99V4635",12,7577,76.9,86,122,13
"TEXAS","BUSHLAND (IRR.)",3,"TX87V1613",13,6588,78.7,86,118,8
"TEXAS","BUSHLAND (IRR.)",3,"TX88V4524",14,6270,78.3,82,117,0
"TEXAS","BUSHLAND (IRR.)",3,"TX89V4138",15,7664,80.8,84,118,13
"TEXAS","BUSHLAND (IRR.)",3,"TX88V5433",16,6183,76.5,84,121,1
"TEXAS","BUSHLAND (IRR.)",3,"TX86D1310",17,4914,79.9,85,121,17
"TEXAS","BUSHLAND (IRR.)",3,"TX86D1332",18,4947,80,8,119,5
"TEXAS","BUSHLAND (IRR.)",3,"TX88D3424",19,5398,72.6,71,117,0
"TEXAS","BUSHLAND (IRR.)",3,"CO850034",20,7016,79.9,87,122,8
"TEXAS","BUSHLAND (IRR.)",3,"CO850061",21,7030,78.6,86,121,10
"TEXAS","BUSHLAND (IRR.)",3,"CO860068",22,7391,78.7,84,126,10
"TEXAS","BUSHLAND (IRR.)",3,"CO860094",23,7552,79.7,87,128,10
"TEXAS","BUSHLAND (IRR.)",3,"KSSB-369-7",24,6806,79.9,83,117,8
"TEXAS","BUSHLAND (IRR.)",3,"KSSB-192-3",25,7034,78.8,85,120,10
"TEXAS","BUSHLAND (IRR.)",3,"HBC197F",26,6422,77.7,80,123,0
"TEXAS","BUSHLAND (IRR.)",3,"KS87H6",27,6059,78.8,86,123,8
"TEXAS","BUSHLAND (IRR.)",3,"KS88H12-1",28,7368,79.6,86,127,15
"TEXAS","BUSHLAND (IRR.)",3,"KS88H12-2",29,7146,79.2,87,126,10
"TEXAS","BUSHLAND (IRR.)",3,"NE87615",30,6402,76.4,87,123,20
"TEXAS","BUSHLAND (IRR.)",3,"NE87409",31,6976,79.3,90,125,15
"TEXAS","BUSHLAND (IRR.)",3,"NE87451",32,6978,76.9,81,123,20
"TEXAS","BUSHLAND (IRR.)",3,"NE88595",33,6933,77.7,86,123,13
"TEXAS","BUSHLAND (IRR.)",3,"NE88427",34,6828,78.7,86,125,15
"TEXAS","BUSHLAND (IRR.)",3,"XH900",35,6998,76.6,90,121,20
"TEXAS","BUSHLAND (IRR.)",3,"XH1231",36,6691,77.3,89,123,18
"TEXAS","BUSHLAND (IRR.)",3,"XH1322",37,6174,77.5,93,121,10
"TEXAS","BUSHLAND (IRR.)",3,"XH1514",38,7427,78.8,92,123,10
"TEXAS","BUSHLAND (IRR.)",3,"WI88-083",39,6698,78.2,6,12,10
"TEXAS","BUSHLAND (IRR.)",3,"WI88-024",40,6328,78.7,90,123,0
"TEXAS","BUSHLAND (IRR.)",3,"T19-3",41,6797,78,89,121,22
"TEXAS","BUSHLAND (IRR.)",3,"T67",42,5136,79.3,87,122,10
"TEXAS","BUSHLAND (IRR.)",3,"T21-3",43,6577,76,87,122,18
"TEXAS","BUSHLAND (IRR.)",3,"TH901",44,5501,75.7,86,119,18
"TEXAS","BUSHLAND (IRR.)",3,"TH902",45,6165,75.7,89,118,7
