state,city,reps,line,entry,yield (kg/ha),volume weight kg/hl,plant height cm,days to heading from 1/1
KANSAS,COLBY,3,XH1529,37,3065,74.4,88,141
KANSAS,COLBY,3,XH1485,35,2887,73.6,93,143
KANSAS,COLBY,3,XH1455,34,2822,75.6,93,144
KANSAS,COLBY,3,OK88767-15,6,2696,76.2,81,143
KANSAS,COLBY,3,XH1520,36,2624,74.8,93,142
KANSAS,COLBY,3,TX91V4931,12,2610,76.8,87,142
KANSAS,COLBY,3,TX88A6480,8,2608,71.9,86,142
KANSAS,COLBY,3,KS89H48-1,28,2549,74,92,144
KANSAS,COLBY,3,XH1610,38,2512,73.4,93,145
KANSAS,COLBY,3,T64,44,2499,73.1,95,142
KANSAS,COLBY,3,NE90479,31,2495,74.3,101,145
KANSAS,COLBY,3,OK88767-02,5,2479,76.6,86,143
KANSAS,COLBY,3,TAM-107,3,2434,70.8,91,141
KANSAS,COLBY,3,KS92PO59E,24,2429,71.6,85,146
KANSAS,COLBY,3,TX88A6533,9,2346,73.4,81,144
KANSAS,COLBY,3,CO880169,19,2299,72.6,91,146
KANSAS,COLBY,3,T70,43,2279,73.3,86,145
KANSAS,COLBY,3,TX90V8410,13,2254,72.5,89,145
KANSAS,COLBY,3,T13,41,2179,71.6,91,143
KANSAS,COLBY,3,TX91V5739,15,2174,70.2,92,143
KANSAS,COLBY,3,OK88767-11,4,2167,73.6,86,142
KANSAS,COLBY,3,CO880240,21,2156,73.1,96,148
KANSAS,COLBY,3,OK88767-24,7,2101,75,84,142
KANSAS,COLBY,3,CO880210,20,2038,72.5,86,143
KANSAS,COLBY,3,TX89A7141,17,1988,70,89,142
KANSAS,COLBY,3,Scout66,2,1948,74,113,144
KANSAS,COLBY,3,TX90D9277,10,1941,71.3,89,146
KANSAS,COLBY,3,TX90D7911,14,1830,73.4,89,145
KANSAS,COLBY,3,TX89A7137,11,1816,69.7,89,142
KANSAS,COLBY,3,KS92PO425-155,27,1768,71.8,85,148
KANSAS,COLBY,3,KS831374-142,22,1681,72.6,86,142
KANSAS,COLBY,3,NE90574,33,1604,71.3,101,145
KANSAS,COLBY,3,NE90524,32,1542,73,107,145
KANSAS,COLBY,3,CO880054,18,1487,68.8,90,146
KANSAS,COLBY,3,WI89-055,40,1473,74.2,82,144
KANSAS,COLBY,3,TH905,45,1434,71.3,95,142
KANSAS,COLBY,3,NE88584,30,1415,73.5,113,145
KANSAS,COLBY,3,KS92PO263-137,25,1382,71.3,87,145
KANSAS,COLBY,3,N87V106,29,1264,73.7,91,143
KANSAS,COLBY,3,Kharkof,1,1204,73.6,124,131
KANSAS,COLBY,3,KS84063-9-7,23,1197,72.7,91,145
KANSAS,COLBY,3,TX91V3308,16,1108,69.4,88,145
KANSAS,COLBY,3,KS92PO363-134,26,801,68.2,91,145
KANSAS,COLBY,3,T4731,42,693,67,91,145
KANSAS,COLBY,3,W87-017-44,39,341,58.7,90,142
