state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%),grn leaf duration (0-9)
Kansas,Hutchinson,3 replications,CI1442,1,169,.,82,145,100,9
Kansas,Hutchinson,3 replications,CI13996,2,162,.,95,141,100,9
Kansas,Hutchinson,3 replications,PI495594,3,857,74.9,97,130,15,9
Kansas,Hutchinson,3 replications,HBZ374C,4,1294,73.5,102,132,5,4
Kansas,Hutchinson,3 replications,OK91P648,5,1738,69.1,90,131,40,5
Kansas,Hutchinson,3 replications,OK93P735,6,819,65.9,90,132,25,5
Kansas,Hutchinson,3 replications,OK93P656,7,1017,71.7,95,131,30,7
Kansas,Hutchinson,3 replications,OK93P727,8,863,73.3,93,131,15,6
Kansas,Hutchinson,3 replications,TX91D6913,9,931,67.4,97,135,8,3
Kansas,Hutchinson,3 replications,TX91D6991,10,1375,69.9,98,133,5,6
Kansas,Hutchinson,3 replications,TX90V6313,11,708,69.6,92,131,60,7
Kansas,Hutchinson,3 replications,TX92V4135,12,991,72,93,130,15,6
Kansas,Hutchinson,3 replications,HBE0726-1,13,1243,65.7,90,135,60,4
Kansas,Hutchinson,3 replications,TX92V3108,14,1769,77.8,88,131,5,6
Kansas,Hutchinson,3 replications,HBI0531-A2,15,2113,67.8,97,131,0,5
Kansas,Hutchinson,3 replications,TX93V5919,16,984,66.1,103,133,40,4
Kansas,Hutchinson,3 replications,TX93V5922,17,1775,74,97,133,5,4
Kansas,Hutchinson,3 replications,TX93V4927,18,1030,72.9,92,136,40,3
Kansas,Hutchinson,3 replications,TX92V2519,19,1051,73.7,87,136,50,4
Kansas,Hutchinson,3 replications,CO890323,20,1021,76.7,92,134,40,6
Kansas,Hutchinson,3 replications,CO900166,21,620,72.1,95,134,30,7
Kansas,Hutchinson,3 replications,KS92PO263-137,22,1559,68.2,95,136,0,3
Kansas,Hutchinson,3 replications,KS93U206,23,1726,73.9,97,128,23,2
Kansas,Hutchinson,3 replications,KS91H153-2,24,884,77.5,98,136,45,4
Kansas,Hutchinson,3 replications,N93L058,25,1267,71.2,95,137,0,6
Kansas,Hutchinson,3 replications,NE91651,26,683,65.1,98,134,5,7
Kansas,Hutchinson,3 replications,NE90476,27,863,73.7,98,136,50,7
Kansas,Hutchinson,3 replications,NE92458,28,832,75.6,100,135,10,8
Kansas,Hutchinson,3 replications,NE92614,29,500,72.6,97,139,43,9
Kansas,Hutchinson,3 replications,NE92646,30,566,70.3,93,138,55,6
Kansas,Hutchinson,3 replications,XH1706,31,487,68.3,100,133,5,9
Kansas,Hutchinson,3 replications,XH1752,32,780,63.9,88,133,15,8
Kansas,Hutchinson,3 replications,XH1778,33,577,72.8,92,135,40,3
Kansas,Hutchinson,3 replications,XH1798,34,1167,74.9,102,132,25,5
Kansas,Hutchinson,3 replications,W91-091,35,780,63.9,88,133,15,8
Kansas,Hutchinson,3 replications,W91-287,36,1124,71.7,98,132,8,5
Kansas,Hutchinson,3 replications,AP 7501,37,1056,69.3,95,135,5,6
Kansas,Hutchinson,3 replications,WX92-0408,38,2150,73,97,133,20,3
Kansas,Hutchinson,3 replications,WI89-163W,39,500,72.6,97,139,43,9
Kansas,Hutchinson,3 replications,WI90-540W,40,283,.,88,132,30,9
Kansas,Hutchinson,3 replications,W88-2619W,41,329,69.5,93,136,10,8
Kansas,Hutchinson,3 replications,T702,42,1041,67.1,98,134,40,5
Kansas,Hutchinson,3 replications,T834,43,669,72.8,90,137,45,6
Kansas,Hutchinson,3 replications,T812,44,1945,74.5,92,129,65,5
Kansas,Hutchinson,3 replications,T861,45,2380,74.7,103,128,25,6
