state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
Texas,Bushland (Irr.),3 replications,CI1442,1,4252,76.1,116,137,37
Texas,Bushland (Irr.),3 replications,CI13996,2,6185,81.3,98,128,17
Texas,Bushland (Irr.),3 replications,PI495594,3,6747,78.7,83,123,0
Texas,Bushland (Irr.),3 replications,OK88767-11,4,6389,80,75,123,0
Texas,Bushland (Irr.),3 replications,OK88767-02,5,5833,80,78,125,0
Texas,Bushland (Irr.),3 replications,OK88767-15,6,6068,80,77,125,0
Texas,Bushland (Irr.),3 replications,OK88767-24,7,6434,80,76,123,0
Texas,Bushland (Irr.),3 replications,TX88A6480,8,7658,81.3,84,124,0
Texas,Bushland (Irr.),3 replications,TX88A6533,9,7960,81.3,83,126,0
Texas,Bushland (Irr.),3 replications,TX90D9277,10,6026,77.4,91,129,3
Texas,Bushland (Irr.),3 replications,TX89A7137,11,7243,78.7,81,124,0
Texas,Bushland (Irr.),3 replications,TX91V4931,12,7810,82.6,81,123,0
Texas,Bushland (Irr.),3 replications,TX90V8410,13,8323,81.3,85,126,0
Texas,Bushland (Irr.),3 replications,TX9OV7911,14,8009,81.3,84,124,0
Texas,Bushland (Irr.),3 replications,TX91V5739,15,7032,80,91,123,5
Texas,Bushland (Irr.),3 replications,TX91V3308,16,6638,77.4,85,126,0
Texas,Bushland (Irr.),3 replications,TX89A7141,17,7346,78.7,83,123,0
Texas,Bushland (Irr.),3 replications,C0880054,18,6021,80,87,128,0
Texas,Bushland (Irr.),3 replications,CO880169,19,7241,78.7,93,127,0
Texas,Bushland (Irr.),3 replications,CO88021,20,7357,78.7,88,127,0
Texas,Bushland (Irr.),3 replications,CO880240,21,6478,78.7,99,134,0
Texas,Bushland (Irr.),3 replications,KS831374-142,22,6431,78.7,79,123,0
Texas,Bushland (Irr.),3 replications,KS84063-9-7,23,6149,78.7,93,128,0
Texas,Bushland (Irr.),3 replications,KS92PO59E,24,7678,77.4,84,127,0
Texas,Bushland (Irr.),3 replications,KS92PO263-137,25,6772,80,88,126,0
Texas,Bushland (Irr.),3 replications,KS92PO363-134,26,6030,77.4,85,127,0
Texas,Bushland (Irr.),3 replications,KS92PO425-155,27,8081,65.8,82,129,0
Texas,Bushland (Irr.),3 replications,KS89H48-1,28,7113,80,88,125,0
Texas,Bushland (Irr.),3 replications,N87V106,29,6055,78.7,88,124,0
Texas,Bushland (Irr.),3 replications,NE88584,30,6855,80,98,128,0
Texas,Bushland (Irr.),3 replications,NE90479,31,7207,81.3,98,128,0
Texas,Bushland (Irr.),3 replications,NE90524,32,7216,81.3,93,127,0
Texas,Bushland (Irr.),3 replications,NE90574,33,6864,77.4,99,128,0
Texas,Bushland (Irr.),3 replications,XH1455,34,7505,80,87,126,3
Texas,Bushland (Irr.),3 replications,XH1485,35,7855,80,86,127,0
Texas,Bushland (Irr.),3 replications,XH1520,36,7835,78.7,88,124,0
Texas,Bushland (Irr.),3 replications,XH1529,37,8393,82.9,83,121,0
Texas,Bushland (Irr.),3 replications,XH1610,38,7660,78.7,87,127,0
Texas,Bushland (Irr.),3 replications,W87-017-44,39,6534,81.3,84,125,0
Texas,Bushland (Irr.),3 replications,WI89-055,40,7303,81.3,79,124,0
Texas,Bushland (Irr.),3 replications,T13,41,6662,77.4,87,127,0
Texas,Bushland (Irr.),3 replications,T4731,42,6620,74.8,81,126,0
Texas,Bushland (Irr.),3 replications,T70,43,7176,80,81,127,0
Texas,Bushland (Irr.),3 replications,T64,44,7294,78.7,80,126,0
Texas,Bushland (Irr.),3 replications,TH905,45,6344,77.4,87,124,0
