entry num,variety or pedigree,selection num,source
1,Kharlof,CI1442,Check
2,Scout 66,CI13996,Check
3,TAM-107,PI495594,Check
4,HBY756A/Sxl//2180,OK94P549,Oklahoma
5,OK86216/Crr sib//2180,OK95548,Oklahoma
6,OK87W663/Mesa//2180,OK95571,Oklahoma
7,Mesa/OK88701,OK95593,Oklahoma
8,Rio Blanco/TAM-200,OK95G701,Oklahoma
9,TXGH12588/TX86D1317,TX91D6825,"TX, Dallas"
10,Kavkaz/TX86D1308//Sturdy/TAM-300,TX91D6856,"TX, Dallas"
11,NE83407/3/FLN/ACC//ANA,TX94V2327,Texas
12,Rio Blanco/Bai Quan #3039,TX95V4926,Texas
13,NE83407/TX88V4834,TX95V4933,Texas
14,TX88V4914/NE83407,TX95V5332,Texas
15,TX85V1326/Karl,TX94V2130,Texas
16,Yuma-R21,CO940700,Colorado
17,KS87H325/Rio Blanco,KS95HW62-6,"KS, Hays"
18,PI220350/KS87H57//TAM-200/KS87H66/3/KS87H325,KS95H167-3,"KS, Hays"
19,PI220350/KS87H57//TAM-200/KS87H66/3/KS87H325,KS95H176-1,"KS, Hays"
20,KS8010-72/KS811252,KS90175-3,"KS, Manhattan"
21,KS8010-73/KS8010-1-4-2//107349/KS811252/Karl,KS89180B-2-1,"KS, Manhattan"
22,HBA142A/HBZ621A//Abilene,KS97P0630-4-5,"KS, Manhattan"
23,2180/Karl//2163,KS97W0935-29-15,"KS, Manhattan"
24,KS82W428/Vee'S'//VIC/BOW/3/PVI124-79,KS91W009-6-11,"KS, Manhattan"
25,KS831936-3//Colt/Cody,N95L158,"NE, ARS"
26,Abilene/Norkan//Rawhide,NE94632,Nebraska
27,Abilene/Norkan//Rawhide,NE94632,Nebraska
28,W84-179/W81-171/3/Sturdy/Hawk//Vona/W76-1141,W95-210,Agripro
29,Abilene/KS90WGRC10,W95-188,Agripro
30,TAM-200/Abilene/6/Era/Tobari 66//Lovrin 11/3/Oligoculm/4/Archer/5/W81-171,W94-244-132,Agripro
31,KS85W663-2-4/3/Vona/W76-1141//Thunderbird,W95-301,Agripro
32,Vona/W76-1141//N84-0758/3/Arlin,W95-221,Agripro
33,Quantum Hybrid Wheat,WX94-3504,HybriTech
34,Quantum Hybrid Wheat,XH1881,HybriTech
35,Quantum Hybrid Wheat,XH1875,HybriTech
36,Quantum Hybrid Wheat,WH1872,HybriTech
37,T67*2/T80,T99,Trio
38,T67*2/Karl,T100,Trio
39,5630 sib//Vona/Talent,T101,Trio
40,T702/Karl,T102,Trio
41,Oelson/Hamra//Australia 215/3/Karl 92,G14264,Goertzen
42,Cebeco/Lilifen//Hail/3/Karl92/4/CO2643//Can/Era,G15048,Goertzen
43,Sut/*5AG/Max//CIMMYT line/3/Abilene,G15011,Goertzen
44,Random mating population,G15458,Goertzen
45,Rusian population selection,G15111,Goertzen
