state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,HBZ374C,4,
,,,OK91P648,5,
,,,OK93P735,6,
,,,OK93P656,7,
,,,OK93P727,8,
,,,TX91D6913,9,
,,,TX91D6991,10,
,,,TX90V6313,11,
,,,TX92V4135,12,
,,,HBE0726-1,13,
,,,TX92V3108,14,
,,,HBI0531-A2,15,
,,,TX93V5919,16,
,,,TX93V5922,17,
,,,TX93V4927,18,
,,,TX92V2519,19,
,,,CO890323,20,
,,,CO900166,21,
,,,KS92PO263-137,22,
,,,KS93U206,23,
,,,KS91H153-2,24,
,,,N93L058,25,
,,,NE91651,26,
,,,NE90476,27,
,,,NE92458,28,
,,,NE92614,29,
,,,NE92646,30,
,,,XH1706,31,
,,,XH1752,32,
,,,XH1778,33,
,,,XH1798,34,
,,,W91-091,35,
,,,W91-287,36,
,,,AP 7501,37,
,,,WX92-0408,38,
,,,WI89-163W,39,
,,,WI90-540W,40,
,,,W88-2619W,41,
,,,T702,42,
,,,T834,43,
,,,T812,44,
,,,T861,45,
