state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1
Oklahoma,Goodwell,3 replications,CI1442,1,2280,73.5,106,131
Oklahoma,Goodwell,3 replications,CI13996,2,2749,77.1,98,131
Oklahoma,Goodwell,3 replications,PI495594,3,3854,76,90,126
Oklahoma,Goodwell,3 replications,OK88767-11,4,5082,78.9,89,127
Oklahoma,Goodwell,3 replications,OK88767-02,5,4187,79.7,86,127
Oklahoma,Goodwell,3 replications,OK90604,6,4308,78.4,79,127
Oklahoma,Goodwell,3 replications,OK90649,7,3902,79.1,86,127
Oklahoma,Goodwell,3 replications,OK91783,8,4042,76.5,93,127
Oklahoma,Goodwell,3 replications,HBZ374C,9,4689,81.1,92,128
Oklahoma,Goodwell,3 replications,TX90D9277,10,3417,77.7,87,128
Oklahoma,Goodwell,3 replications,TX89A7137,11,4005,75.3,86,128
Oklahoma,Goodwell,3 replications,TX91V4931,12,3750,79.9,87,127
Oklahoma,Goodwell,3 replications,TX90V8410,13,3297,76.9,87,128
Oklahoma,Goodwell,3 replications,TX90V7911,14,4092,76.4,89,130
Oklahoma,Goodwell,3 replications,TX91V3308,15,3942,75.1,89,129
Oklahoma,Goodwell,3 replications,TX89A7141,16,4171,77.4,87,127
Oklahoma,Goodwell,3 replications,TX90V6313,17,3830,78.8,82,128
Oklahoma,Goodwell,3 replications,TX92V4135,18,4290,77.8,85,127
Oklahoma,Goodwell,3 replications,HBE0726-1,19,4534,72.8,90,130
Oklahoma,Goodwell,3 replications,CO880169,20,4193,77.5,95,129
Oklahoma,Goodwell,3 replications,CO880210,21,4066,76,86,129
Oklahoma,Goodwell,3 replications,CO910927,22,3645,74.9,81,127
Oklahoma,Goodwell,3 replications,KS92PO59E,23,4813,74.8,92,129
Oklahoma,Goodwell,3 replications,KS92PO263-137,24,4298,79.7,96,129
Oklahoma,Goodwell,3 replications,KS92PO363-134,25,3313,76.9,92,128
Oklahoma,Goodwell,3 replications,KS92PO425-155,26,4853,75.6,86,130
Oklahoma,Goodwell,3 replications,KS84063-9-39-3,27,4285,77.4,86,127
Oklahoma,Goodwell,3 replications,KS93U206,28,4513,78,91,126
Oklahoma,Goodwell,3 replications,N87V106,29,3752,77,90,127
Oklahoma,Goodwell,3 replications,NE90479,30,4172,78.8,101,130
Oklahoma,Goodwell,3 replications,NE90524,31,3866,78.3,100,130
Oklahoma,Goodwell,3 replications,NE91608,32,3311,77,95,131
Oklahoma,Goodwell,3 replications,NE91635,33,2146,76.9,95,128
Oklahoma,Goodwell,3 replications,NE91651,34,3486,76.8,94,128
Oklahoma,Goodwell,3 replications,XH1520,35,4425,78.9,95,127
Oklahoma,Goodwell,3 replications,XH1529,36,4665,77.5,89,126
Oklahoma,Goodwell,3 replications,XH1689,37,4086,76.6,99,130
Oklahoma,Goodwell,3 replications,XH1693,38,4776,79.6,91,127
Oklahoma,Goodwell,3 replications,XH1706,39,4882,78.7,93,127
Oklahoma,Goodwell,3 replications,WI89-273-13,40,4859,78,82,128
Oklahoma,Goodwell,3 replications,WI89-189-14,41,4115,77.9,77,126
Oklahoma,Goodwell,3 replications,T4731,42,3039,71.1,88,130
Oklahoma,Goodwell,3 replications,T4732,43,3042,71.5,93,128
Oklahoma,Goodwell,3 replications,T81,44,4225,77.7,88,126
Oklahoma,Goodwell,3 replications,T83,45,3747,76.1,90,126
