state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,OK88W833,4,
,,,OK89499,5,
,,,OK89399,6,
,,,OK89421,7,
,,,TX88V4636,8,
,,,TX84V1418HF,9,
,,,TX88V5440,10,
,,,TX88V4635,11,
,,,TX87V1613,12,
,,,TX88V4524,13,
,,,TX89V4138,14,
,,,TX88V5433,15,
,,,TX88A6480,16,
,,,TX88A6533,17,
,,,C0860086,18,
,,,C0860094,19,
,,,C0860235,20,
,,,C0870449,21,
,,,KSSB-369-7,22,
,,,KS831374-142,23,
,,,KS84170E-8-3,24,
,,,HBC302E,25,
,,,KS87H325-2,26,
,,,KS89H48-1,27,
,,,KS89H50-4,28,
,,,N87V106,29,
,,,NE88595,30,
,,,NE88427,31,
,,,NE88584,32,
,,,NE88588,33,
,,,XH1319,34,
,,,XH1436,35,
,,,XH1437,36,
,,,XH1497,37,
,,,W87-018,38,
,,,WI88-181,39,
,,,WI88-028,40,
,,,T13,41,
,,,T67,42,
,,,T21-3,43,
,,,TH901,44,
,,,TH902,45,
